label,score_total,score_swd,score_Nd,score_Nd_drop,score_Rd,score_pressure,score_fdot_prior,f_n,K_d,rho_d,fission_rate,Dv_scale,Dg_scale,b_scale,gb_scale,gd_scale,coalescence_d_scale,capture_scale,swD_1p3_1600K,swB_1p3_1600K,Rd_1p3_1600K,Nd_1p3_1600K,Nd_1p3_1400K,Nd_1p3_1725K,Nd_drop_1725_over_1400_log10,swD_3p2_1600K,swB_3p2_1600K,max_f_cap_step_3p2_1600K,capture_fraction_sum_3p2_1600K,capture_raw_sum_3p2_1600K,dt_h,n_modes,use_full_exp,D2_xe_scale,Dg_D1_scale,Dg_D3_scale,Dv_D1_scale,Dv_D2_scale,b_bulk_scale,b_dislocation_scale,gd_bubble_scale,gd_line_scale,gd_line_alpha,family,score_swig_diag,score_Rd_exp,score_rizk_prior,score_partition,score_qgb,score_radius_guard,score_radius_saturation,score_Nd_coalescence_shape,score_Nd_highT_low_target,score_highT_pressure,score_rizk_fig8_dislocation_radius,score_rizk_fig8_bulk_radius,score_rizk_fig6_dislocation_burnup,score_base_highT_guard,p_d_over_eq_1p3_1600K,p_b_over_eq_1p3_1600K,bulk_gas_1p3_1600K,disl_gas_1p3_1600K,qgb_gas_1p3_1600K,bulk_gas_3p2_1600K,disl_gas_3p2_1600K,qgb_gas_3p2_1600K,v13_bulk_gas_1p1_1200,v13_disl_gas_1p1_1200,v13_qgb_gas_1p1_1200,v13_matrix_gas_1p1_1200,v13_bulk_gas_1p1_1500,v13_disl_gas_1p1_1500,v13_qgb_gas_1p1_1500,v13_matrix_gas_1p1_1500,v13_bulk_gas_1p1_1600,v13_disl_gas_1p1_1600,v13_qgb_gas_1p1_1600,v13_matrix_gas_1p1_1600,v13_bulk_gas_1p1_1800,v13_disl_gas_1p1_1800,v13_qgb_gas_1p1_1800,v13_matrix_gas_1p1_1800,v13_bulk_gas_1p1_1900,v13_disl_gas_1p1_1900,v13_qgb_gas_1p1_1900,v13_matrix_gas_1p1_1900,v13_bulk_gas_1p1_2000,v13_disl_gas_1p1_2000,v13_qgb_gas_1p1_2000,v13_matrix_gas_1p1_2000,v13_bulk_gas_3p2_1200,v13_disl_gas_3p2_1200,v13_qgb_gas_3p2_1200,v13_matrix_gas_3p2_1200,v13_bulk_gas_3p2_1500,v13_disl_gas_3p2_1500,v13_qgb_gas_3p2_1500,v13_matrix_gas_3p2_1500,v13_bulk_gas_3p2_1600,v13_disl_gas_3p2_1600,v13_qgb_gas_3p2_1600,v13_matrix_gas_3p2_1600,v13_bulk_gas_3p2_1800,v13_disl_gas_3p2_1800,v13_qgb_gas_3p2_1800,v13_matrix_gas_3p2_1800,v13_bulk_gas_3p2_1900,v13_disl_gas_3p2_1900,v13_qgb_gas_3p2_1900,v13_matrix_gas_3p2_1900,v13_bulk_gas_3p2_2000,v13_disl_gas_3p2_2000,v13_qgb_gas_3p2_2000,v13_matrix_gas_3p2_2000,v13_qgb_delta_1600_1200_1p1,v13_qgb_delta_2000_1600_1p1,v13_qgb_delta_1600_1200_3p2,v13_qgb_delta_2000_1600_3p2,v13_disl_min_target_1p1_1800,v13_disl_min_err_1p1_1800,v13_disl_min_target_1p1_1900,v13_disl_min_err_1p1_1900,v13_disl_min_target_1p1_2000,v13_disl_min_err_1p1_2000,v13_disl_min_target_3p2_1800,v13_disl_min_err_3p2_1800,v13_disl_min_target_3p2_1900,v13_disl_min_err_3p2_1900,v13_disl_min_target_3p2_2000,v13_disl_min_err_3p2_2000,v13_disl_delta_1900_1800_1p1,v13_disl_delta_2000_1900_1p1,v13_disl_delta_1900_1800_3p2,v13_disl_delta_2000_1900_3p2,Rd_1p3_1700K,Rd_1p3_1800K,Rd_1p3_1900K,Rd_1p3_2000K,Rd_ratio_2000_over_1800,Rd_ratio_2000_over_1700,Rd_ratio_2000_over_1900,Rd_inc_1600_1700_nm,Rd_inc_1700_1800_nm,Rd_inc_1800_1900_nm,Rd_inc_1900_2000_nm,Rd_inc_1800_2000_nm,Rd2000_max_nm,Rd1900_soft_max_nm,Rd_ratio_max,Rd_post1800_delta_max_nm,Rd_last_increment_factor_max,Rd_1900_2000_ratio_max,score_Nd_coalescence_shape_terms_rmse,Nd_drop_1600_over_1400_log10_v7,Nd_drop_1650_over_1400_log10_v7,Nd_drop_1725_over_1400_log10_v7,Nd_drop_1800_over_1400_log10_v7,Nd_drop_1725_over_1550_log10_v7,Nd_1p3_1550K_v7,Nd_1p3_1650K_v7,Nd_1p3_1800K_v7,Nd_1400_1p3,Nd_1900_1p3,Nd_2000_1p3,Nd_logdrop_1900_over_1400,Nd_logdrop_2000_over_1400,Nd_logdrop_target_1900_over_1400,Nd_logdrop_target_2000_over_1400,pd_over_eq_highT_3p2_1700,pb_over_eq_highT_3p2_1700,pd_over_eq_highT_3p2_1800,pb_over_eq_highT_3p2_1800,pd_over_eq_highT_3p2_1900,pb_over_eq_highT_3p2_1900,pd_over_eq_highT_3p2_2000,pb_over_eq_highT_3p2_2000,pd_over_eq_highT_1p1_1900,pb_over_eq_highT_1p1_1900,pd_over_eq_highT_1p1_2000,pb_over_eq_highT_1p1_2000,rizk_fig8_Rd_pred_1033K,rizk_fig8_Rd_target_1033K,rizk_fig8_Rd_logerr_1033K,rizk_fig8_Rd_pred_1333K,rizk_fig8_Rd_target_1333K,rizk_fig8_Rd_logerr_1333K,rizk_fig8_Rd_pred_1589K,rizk_fig8_Rd_target_1589K,rizk_fig8_Rd_logerr_1589K,rizk_fig8_Rd_pred_1742K,rizk_fig8_Rd_target_1742K,rizk_fig8_Rd_logerr_1742K,rizk_fig8_Rd_pred_1836K,rizk_fig8_Rd_target_1836K,rizk_fig8_Rd_logerr_1836K,rizk_fig8_Rd_pred_1900K,rizk_fig8_Rd_target_1900K,rizk_fig8_Rd_logerr_1900K,rizk_fig8_Rd_pred_1961K,rizk_fig8_Rd_target_1961K,rizk_fig8_Rd_logerr_1961K,rizk_fig8_Rb_pred_1061K,rizk_fig8_Rb_target_1061K,rizk_fig8_Rb_logerr_1061K,rizk_fig8_Rb_pred_1539K,rizk_fig8_Rb_target_1539K,rizk_fig8_Rb_logerr_1539K,rizk_fig8_Rb_pred_1800K,rizk_fig8_Rb_target_1800K,rizk_fig8_Rb_logerr_1800K,rizk_fig8_Rb_pred_1989K,rizk_fig8_Rb_target_1989K,rizk_fig8_Rb_logerr_1989K,rizk_fig6_Sd_pred_1p1FIMA,rizk_fig6_Sd_target_1p1FIMA,rizk_fig6_Sd_err_scaled_1p1FIMA,rizk_fig6_Sd_pred_3p2FIMA,rizk_fig6_Sd_target_3p2FIMA,rizk_fig6_Sd_err_scaled_3p2FIMA,rizk_fig6_Sd_pred_6p0FIMA,rizk_fig6_Sd_target_6p0FIMA,rizk_fig6_Sd_err_scaled_6p0FIMA,rhoFT2_enabled,rho_scale,rho_shape,rhoFT2_base_1025_1p1FIMA,rhoFT2_factor_1025K,rhoFT2_eff_1p1FIMA_1025K,rhoFT2_factor_1300K,rhoFT2_eff_1p1FIMA_1300K,rhoFT2_factor_1600K,rhoFT2_eff_1p1FIMA_1600K,rhoFT2_factor_1800K,rhoFT2_eff_1p1FIMA_1800K,rhoFT2_factor_2000K,rhoFT2_eff_1p1FIMA_2000K,rhoFT2_base_1025_1p3FIMA,rhoFT2_eff_1p3FIMA_1025K,rhoFT2_eff_1p3FIMA_1300K,rhoFT2_eff_1p3FIMA_1600K,rhoFT2_eff_1p3FIMA_1800K,rhoFT2_eff_1p3FIMA_2000K,rhoFT2_base_1025_3p2FIMA,rhoFT2_eff_3p2FIMA_1025K,rhoFT2_eff_3p2FIMA_1300K,rhoFT2_eff_3p2FIMA_1600K,rhoFT2_eff_3p2FIMA_1800K,rhoFT2_eff_3p2FIMA_2000K,rhoFT2_base_1025_6p0FIMA,rhoFT2_eff_6p0FIMA_1025K,rhoFT2_eff_6p0FIMA_1300K,rhoFT2_eff_6p0FIMA_1600K,rhoFT2_eff_6p0FIMA_1800K,rhoFT2_eff_6p0FIMA_2000K
FINAL_rank1_capture_only_capture_only_v13_trial_00076,2.7219409185122223,0.9931389343447492,0.5218548584068957,0.5216105019737964,0.15568884997746277,0.14312430895993672,0.09011905363895206,2.2151256533564155e-08,308028.4256605788,30000000000000.0,6.153030360081542e+19,1.0,1.0,1.0,7.632424660198404,1.0,0.5052818995394412,2.676796224316067,1.824047517055796,3.395465900918441,81.36262166462625,8.084864328735922e+18,8.140079340788596e+18,7.522821926100871e+18,-0.034247856260036125,7.328422460070862,6.496054918891055,0.00011954025390633611,0.40036549234647345,0.40036549234647345,1.0,40,1,1.0,0.23383762113728837,1.747604951672033,0.2591879623450064,0.2927667951192956,0.06058633802172695,0.16901233563523196,8.676242581956354,1.7861565400327641,0.3563716559011963,capture_only,2.8625544474287508,0.15568884997746277,0.22730013489209486,0.0,0.06212861543610928,0.0,0.01990792118939475,0.3597831413162687,0.023340834982537483,0.08883708273551509,0.18056176274123864,0.5317586885022813,1.9809313939749615,0.012958349434454241,1.1240302342745834,1.2903910362536801,72.06690414208029,21.20989164614098,6.417964693537353,54.91313018499118,39.60648944543193,5.3555619603078295,73.33040481745562,19.005809924243124,7.052077738821401,0.6117075194798599,71.29923027471531,21.675160110202576,6.504989694864177,0.5206199202179341,67.21282775990463,25.857045455308896,6.557442386849632,0.37268439793683383,22.307729100607492,69.69275612011965,7.953332020964448,0.04618275830842949,5.071546941525869,86.69252300758902,8.224107496588275,0.011822554296838383,0.9164710913609089,90.82782553850296,8.252839616135308,0.0028637540008125645,63.59157048766564,30.395539111817286,5.811876628780939,0.20101377173616505,60.34621258649398,34.13367853501137,5.347101565248667,0.17300731324597698,54.91313018499118,39.60648944543193,5.3555619603078295,0.12481840926905484,7.5550071262820735,85.86440174092718,6.565850476750453,0.014740656040322615,0.8181379116002467,92.23278750709832,6.945376885674193,0.003697695627254024,0.12121902384993702,92.41727954785847,7.460502775752576,0.0009986525390286354,-0.4946353519717688,1.6953972292856756,-0.45631466847310964,2.1049408154447464,55.0,0.0,78.0,0.0,84.0,0.0,45.0,0.0,70.0,0.0,80.0,0.0,16.999766887469363,4.135302530913947,6.368385766171144,0.1844920407601478,110.40250506085063,154.34675381672275,201.52942251588118,252.4968368148183,1.6359063638918037,2.2870571340355856,1.2529030930702971,29.039883396224383,43.944248755872124,47.18266869915843,50.967414298937115,98.15008299809554,1400.0,1300.0,12.0,350.0,0.75,1.35,0.3597831413162687,-0.002955901494799878,-0.01009774329733575,-0.034247856260036125,-0.08337755144075053,-0.034905903565605585,8.15242261869214e+18,7.952998392128226e+18,6.718171504430095e+18,8.140079340788596e+18,5.314838261882811e+18,3.8913726447392215e+18,-0.18513858508880918,-0.32052581634376404,-0.2,-0.35,1.3138434834543442,1.2008521625398654,1.528120177574683,1.0386116651460402,1.8686296110052492,1.0015764595121228,3.6528165688182743,1.0004549494434087,1.1749417580435266,1.0043717159693206,1.1076888122030444,1.0006710849261045,38.46283877925402,54.90035634986601,-0.15453382887668046,48.416945110741715,62.35471248401371,-0.10987189708423149,79.01177270888542,79.02146884249838,-5.329229835257626e-05,127.48322771289891,128.1481728359008,-0.0022593675768106647,171.46060509474168,288.0994861369096,-0.22537813161547945,201.52942251588118,387.4383570341449,-0.28386415395915826,231.34605243984055,408.3316765847392,-0.24675097855538305,23.54471498705773,7.390267027041024,0.5032333068800339,39.26810918065488,8.818447970098383,0.6486478329694789,89.64595302619209,21.99481236607679,0.6102104271277269,101.77559688272113,52.06772800089737,0.29107503061212,1.761768704836599,2.6,-0.20955782379085025,7.328422460070862,3.85,0.8696056150177155,20.12123643480051,5.2,3.730309108700128,1,0.7357699333215966,saturating_RayBlank,30000000000000.0,0.7357699333215966,22073097999647.9,0.8709816356437702,26129449069313.105,0.9074646934398298,27223940803194.895,0.9142552340663072,27427657021989.215,0.9167998599570194,27503995798710.582,30000000000000.0,22073097999647.9,26129449069313.105,27223940803194.895,27427657021989.215,27503995798710.582,128000000000000.05,94178551465164.39,111485649362402.62,116155480760298.27,117024669960487.36,117350382074498.53,576000000000000.0,423803481593239.6,501685422130811.6,522699663421342.0,526611014822192.94,528076719335243.2
FINAL_rank2_capture_only_capture_only_v13_trial_00075,2.7386987769503084,0.9801683419295018,0.5238070964558326,0.4981584222353056,0.14416064338124765,0.15952308163252044,0.09081623857260064,2.1171536757466668e-08,300408.24746411585,30000000000000.0,6.162915922419511e+19,1.0,1.0,1.0,5.724557043779537,1.0,0.901911174762059,2.6950272002727647,1.8459876306170298,3.3650186587362323,83.86983283374163,7.470038585818897e+18,7.686267821556207e+18,6.628091284832598e+18,-0.06432703194608254,7.281409869934547,6.552197038639362,0.0001187096296388754,0.39898317594464017,0.39898317594464017,1.0,40,1,1.0,0.21181269899337177,2.3927321793419254,0.25900298324534893,0.29468618027278604,0.04415875063029198,0.1752435617696613,6.278183671579966,1.9266783659905073,0.33441316657760034,capture_only,2.830916770704459,0.14416064338124765,0.23351572220778063,0.0,0.0842024136179241,0.0,0.08333054246695029,0.3350820428318352,0.0,0.46655508537398405,0.13809291174363522,0.5198916786043697,1.9260224443555582,0.0,1.0984794248891916,1.2795944541897237,72.18622213891551,20.462185575639282,7.0752910927837265,55.97381898137848,38.111787206316926,5.801783436787027,71.15718252341738,20.419304085510845,7.910717685365368,0.5127957057064163,69.66020465829735,22.59585895242609,7.300696924680207,0.44323946459635366,66.77784461684267,25.611425573149543,7.267112179442752,0.34361763056505806,26.7649095690686,64.42501663371304,8.753996572155645,0.05607722506274187,6.860357728959994,83.86764294261258,9.25578676977903,0.01621255864839606,1.1696847620121757,89.37729571956105,9.448704517041762,0.0043150013850332255,61.88859103564866,31.624526515544705,6.322737127592682,0.1641453212139521,59.48405931188068,34.54053075806751,5.831628462131947,0.1437814679198548,55.97381898137848,38.111787206316926,5.801783436787027,0.11261037551758961,9.881484525718509,82.76866177574598,7.3311186509245445,0.018735047610979137,1.3109173512594139,90.81959258728074,7.8647878194401555,0.004702242019719831,0.2331653248141041,91.56448144061756,8.201227926255145,0.0011253083132096936,-0.6436055059226158,2.1815923375990094,-0.5209536908056549,2.3994444894681175,55.0,0.0,78.0,0.0,84.0,0.0,45.0,0.0,70.0,0.0,80.0,0.0,19.442626308899534,5.509652776948471,8.050930811534755,0.7448888533368176,112.36703820178508,163.03653666305303,234.15863613552355,344.5070706245045,2.1130666639251294,3.065908616420501,1.47125502740422,28.497205368043453,50.66949846126795,71.12209947247052,110.34843448898093,181.47053396145145,1400.0,1300.0,12.0,350.0,0.75,1.35,0.3350820428318352,-0.012392667888329026,-0.024819568407877822,-0.06432703194608254,-0.1490528264196113,-0.059404943407328374,7.599647078809836e+18,7.259320059108539e+18,5.453341394577491e+18,7.686267821556207e+18,3.458545501788245e+18,1.6698659499445663e+18,-0.346822019242374,-0.6630339038690221,-0.2,-0.35,1.35485330231511,1.201378999187963,1.8768898141829855,1.0432281910858645,2.9715898801181115,1.0020673917060627,6.428465688200712,1.0004602403260858,1.2535379959907293,1.0048387297108428,1.2520856659117412,1.0005600896084725,39.78857560989658,54.90035634986601,-0.13981677127001127,49.89945336257448,62.35471248401371,-0.09677349299586557,81.52609235821822,79.02146884249838,0.013551528536825265,130.65772016263054,128.1481728359008,0.008422657645384028,186.40621399425416,288.0994861369096,-0.1890820978608742,234.15863613552355,387.4383570341449,-0.21869243450810183,293.08708263561607,408.3316765847392,-0.14401639389948337,23.669724167043967,7.390267027041024,0.505533066228771,39.012362837116335,8.818447970098383,0.645810097884961,84.12711804357535,21.99481236607679,0.5826157500355238,95.364748948728,52.06772800089737,0.26281924236626,1.8018085349551314,2.6,-0.19954786626121718,7.281409869934547,3.85,0.8578524674836366,19.696967409059276,5.2,3.624241852264819,1,0.71818946366264,saturating_RayBlank,30000000000000.0,0.71818946366264,21545683909879.2,0.8501704207170917,25505112621512.75,0.8857817531794535,26573452595383.605,0.8924100407862774,26772301223588.32,0.8948938654451927,26846815963355.78,30000000000000.0,21545683909879.2,25505112621512.75,26573452595383.605,26772301223588.32,26846815963355.78,128000000000000.05,91928251348817.95,108821813851787.78,113380064406970.1,114228485220643.55,114546414776984.7,576000000000000.0,413677131069680.6,489698162333044.8,510210289831365.25,514028183492895.75,515458866496431.0
FINAL_rank3_capture_only_capture_only_v13_trial_00074,2.7536595301688624,1.0180995005871922,0.4911565230985519,0.44319492810489175,0.15179456339098155,0.17748155859789494,0.09144710489050414,1.9946317297558245e-08,312717.08250622463,30000000000000.0,6.171874823552195e+19,1.0,1.0,1.0,7.823969737524148,1.0,1.6117934260087716,2.610472942484409,1.8895796988145492,3.322408102328843,81.65756480096175,8.284901175403997e+18,8.868642028489172e+18,6.502363776426591e+18,-0.13478586294726128,7.614404605603972,6.144992246956282,0.00013584133356259618,0.4755591958371593,0.4755591958371593,1.0,40,1,1.0,0.23210507478327244,1.7763219961837224,0.26091457163261755,0.2531280941957856,0.06527033793098054,0.12919024764042775,6.764044789386725,1.2993900677348509,0.3218695279873905,capture_only,2.8228829947362883,0.15179456339098155,0.2312292180135056,0.0,0.07058830325825406,0.03358006203644548,0.24378454335649644,0.279484594426045,0.0,1.1370553070527076,0.1029581204424539,0.5446065969623382,1.8713739672452447,0.0,1.1988614626683718,1.297722162790321,69.96016149300519,23.19643520268794,6.526379920678915,51.83523670892978,42.56865553455672,5.464580748502268,71.33616891310442,20.82362836965223,7.209765398393499,0.6304373188498472,69.34099040774883,23.50179226516713,6.622453262188431,0.534764064895633,65.3673822523909,27.59287846516307,6.6561890265439745,0.38355025590210634,23.855614585713266,68.00327937453409,8.092149649654157,0.04895639009849136,6.219354018176654,85.11552039569379,8.650446317286537,0.014679268843026828,1.1365223663151187,89.77477650242078,9.084306306091342,0.004394825172776503,59.66185447973439,34.20568167866644,5.92365357759769,0.2088102640015085,56.69087962152746,37.686723895079844,5.442541729968641,0.17985475342406199,51.83523670892978,42.56865553455672,5.464580748502268,0.13152700801123884,10.48713556867167,82.44136870976298,7.054361435440052,0.017134286125320305,2.399713204183606,89.91678250786467,7.679268478164677,0.004235809787036009,0.5708516438237146,91.44048913212545,7.987653871096271,0.0010053529546032011,-0.5535763718495241,2.428117279547368,-0.45907282909542246,2.5230731225940026,55.0,0.0,78.0,0.0,84.0,0.0,45.0,0.0,70.0,0.0,80.0,0.0,17.112241021159704,4.6592561067269855,7.475413798101684,1.5237066242607824,114.92228850492168,178.1816246171968,289.02030330054265,521.4347152575356,2.9264224993894823,4.537280992583128,1.8041456233450592,33.26472370395993,63.25933611227512,110.83867868334585,232.41441195699292,343.25309064033877,1400.0,1300.0,12.0,350.0,0.75,1.35,0.279484594426045,-0.029569793102997982,-0.055119096151989254,-0.13478586294726128,-0.29500173869727137,-0.12018669209041474,8.575470448016241e+18,7.811564612822853e+18,4.496301102488151e+18,8.868642028489172e+18,1.9267479924141174e+18,4.97201983297399e+17,-0.6630322103616677,-1.251324273166712,-0.2,-0.35,1.6413295107014494,1.2194979080462773,2.594143983494032,1.0694744940849235,5.0039736418976215,1.0076375556428985,11.111745021424358,1.0009147610455558,1.4310692578000457,1.0074558562544007,1.6648145946490716,1.0009339650553377,38.180601659605344,54.90035634986601,-0.157732395564518,47.49190576813249,62.35471248401371,-0.11824968362677538,79.12536351979895,79.02146884249838,0.0005706202377616485,136.95199534186466,128.1481728359008,0.028855945851564896,210.98410788341127,288.0994861369096,-0.13529273982438333,289.02030330054265,387.4383570341449,-0.1272742619281758,406.3931430704811,408.3316765847392,-0.002066700256802737,23.688712535104244,7.390267027041024,0.5058813270450095,39.813792100828785,8.818447970098383,0.654641387464196,93.16760000179976,21.99481236607679,0.6269446467654198,111.30116854982012,52.06772800089737,0.3299310965609483,1.7902076861840432,2.6,-0.2024480784539892,7.614404605603972,3.85,0.9411011514009929,19.17483187343535,5.2,3.4937079683588372,1,0.8070418832975076,saturating_RayBlank,30000000000000.0,0.8070418832975076,24211256498925.227,0.9553511603473667,28660534810421.0,0.995368228643788,29861046859313.64,1.0028165497121146,30084496491363.438,1.0056076663072941,30168229989218.824,30000000000000.0,24211256498925.227,28660534810421.0,29861046859313.64,30084496491363.438,30168229989218.824,128000000000000.05,103301361062081.02,122284948524462.98,127407133266404.92,128360518363150.72,128717781287333.7,576000000000000.0,464856124779364.4,550282268360083.2,573332099698821.9,577622332634178.0,579230015793001.4
FINAL_rank4_capture_only_capture_only_v13_trial_00091,2.8157178869977972,1.0384198066262407,0.4928700854931364,0.47188487380868654,0.14390471068995972,0.19101580530681656,0.10233064784767286,8.687392308662324e-09,329097.0769097806,30000000000000.0,6.328498072808826e+19,1.0,1.0,1.0,4.337097443117277,1.0,0.9987346663933906,3.0852621789389176,2.2303987379650856,2.8590626927676652,84.01477511109448,8.978977715968851e+18,9.412112621704362e+18,7.517697140742525e+18,-0.09760228946809975,8.010884299017302,5.207233920253579,0.00014301926551449942,0.5170194187310705,0.5170194187310705,1.0,40,1,1.0,0.1704055886329283,1.6203316489722468,0.2417559895882366,0.2381232186987435,0.04732905411928273,0.20195789683918564,8.229552363788578,1.4815282989689602,0.5213298643943896,capture_only,2.6599458018271127,0.14390471068995972,0.2297993163787142,6.845723600187323e-05,0.11186980572932459,0.0,0.0782218976573487,0.3114946155459648,0.0,0.4649271028008684,0.1470109380850309,0.48234696440490216,1.927058887535054,0.0,1.2462039060751777,1.270869933433842,62.93506454187824,27.631217910754312,8.883537532044533,45.29035940811654,47.51062209354012,6.976325043425373,64.24593088217742,24.788448052170708,9.933770644565456,1.031850421086397,61.32551198290801,28.684898277152946,9.094114045271953,0.8954756946671051,55.94686534867261,34.3118843861864,9.05180406844772,0.6894461966932788,12.037894007488061,78.05489133488427,9.810526708460557,0.09668794916710614,2.224398506574607,88.05176072618337,9.700681716929079,0.02315905031295767,0.34781273000599405,89.91455669897522,9.731805123261752,0.0058254477570328245,54.95981807461999,37.0079245568398,7.705389800496052,0.3268675680441629,51.08044541794555,41.60818672593075,7.0247130732324345,0.28665478289128504,45.29035940811654,47.51062209354012,6.976325043425373,0.2226934549179639,4.882216538144656,86.80460854771317,8.282504331695328,0.030670582446853036,0.7036644813157892,90.37995721099288,8.908876969516836,0.007501338174485059,0.14633683518560409,90.36253084370553,9.48930956785769,0.0018227532511957572,-0.8819665761177369,0.6800010548140332,-0.7290647570706792,2.5129845244323175,55.0,0.0,78.0,0.0,84.0,0.0,45.0,0.0,70.0,0.0,80.0,0.0,9.9968693912991,1.8627959727918437,3.575348663279712,-0.01742636728735647,116.37119657038424,165.12745956358899,227.51795240537453,329.811270768774,1.9973132975001466,2.8341314731544918,1.4496054807189056,32.35642145928976,48.75626299320474,62.390492841785544,102.2933183633995,164.68381120518504,1400.0,1300.0,12.0,350.0,0.75,1.35,0.3114946155459648,-0.020460221406165352,-0.04007364010937681,-0.09760228946809975,-0.1987955047416367,-0.08862155286882771,9.219478981129425e+18,8.582493338805942e+18,5.9551349892966e+18,9.412112621704362e+18,3.7877401095540393e+18,1.848889966973717e+18,-0.395306942285038,-0.7067760493832231,-0.2,-0.35,1.5761788258664258,1.1502107254031069,1.9872158731919578,1.0178861086217244,2.9935869890451396,1.0010731587693198,6.416502508357882,1.0003966217315865,1.269153170423698,1.0013592931412174,1.2332533465510211,1.0004228309938674,38.990458115066964,54.90035634986601,-0.1486168254747015,48.23785706676578,62.35471248401371,-0.11148127471528313,81.34448418230711,79.02146884249838,0.01258301153357415,135.07627023717575,128.1481728359008,0.02286664197056336,185.64964502220096,288.0994861369096,-0.19084836050488277,227.51795240537453,387.4383570341449,-0.23118694383437138,281.24900160236916,408.3316765847392,-0.16192208246258671,22.921692563023417,7.390267027041024,0.49158655254330275,37.55689024841808,8.818447970098383,0.6292974681619994,73.12083454228494,21.99481236607679,0.5217208780034164,72.55767738146432,52.06772800089737,0.1441147447741841,2.1338908975477464,2.6,-0.11652727561306342,8.010884299017302,3.85,1.0402210747543257,19.52770538210752,5.2,3.58192634552688,1,0.8060718105714489,saturating_RayBlank,30000000000000.0,0.8060718105714489,24182154317143.47,0.9542028183298807,28626084549896.42,0.9941717856945729,29825153570837.188,1.0016111538036134,30048334614108.402,1.0043989154476556,30131967463429.668,30000000000000.0,24182154317143.47,28626084549896.42,29825153570837.188,30048334614108.402,30131967463429.668,128000000000000.05,103177191753145.5,122137960746224.78,127253988568905.38,128206227686862.56,128563061177299.97,576000000000000.0,464297362889154.56,549620823358011.3,572642948560074.0,576928024590881.4,578533775297849.6
