block,component,n,min,p10,median,p90,max
D1_b_gd_escape,score_total,250,2.0910616603066297,2.1412675809114283,2.3972298453068253,4.152149532337746,5.99357445141428
D1_b_gd_escape,score_swd,250,0.7037000828763631,0.9156929677010067,1.0966520404143525,2.2030158040141052,3.306424603259067
D1_b_gd_escape,score_Rd,250,0.024274284695515704,0.06160413743355929,0.1445055644877884,0.32353528418260014,1.1365339000139403
D1_b_gd_escape,score_Nd,250,0.27528627828397945,0.5869057105327732,0.6277370666996107,0.7352491280621609,1.05981950797291
D1_b_gd_escape,score_Nd_drop,250,0.0,0.4311193627034696,0.4820904371682234,0.5249392669796838,0.5491860760231896
D1_b_gd_escape,score_pressure,250,0.0,0.0,0.011001737366956801,0.22347648609468035,0.745262581917336
D1_b_gd_escape,score_partition,250,0.013873182698509528,0.09471902431368036,0.1402497186739201,0.3776763309871171,0.6278849684998161
D1_b_gd_escape,score_qgb,250,0.0,0.0,0.04104530316952182,0.22709902877935587,1.165233804351297
D1_b_gd_escape,score_radius_guard,250,0.0,0.0,0.0,0.0,1.7025131388931263
D1_b_gd_escape,score_radius_saturation,250,0.0,0.003429299441069374,0.024136819926670067,0.17398465614957548,3.3625309000043497
D1_b_gd_escape,score_rizk_prior,250,0.07253267418467757,0.1497100802182448,0.17444624118541918,0.24239356198385434,0.4094739732688297
