block,parameter,top_n,min,median,max,direction_vs_1
D1_b_gd_escape,f_n,25,6.213246487247474e-08,1.3145793331741666e-07,9.634915940846073e-07,near/mixed
D1_b_gd_escape,K_d,25,463263.2033051213,634897.8231514462,752229.1244402756,near/mixed
D1_b_gd_escape,rho_d,25,15082228677469.385,18427951498931.22,30034311177809.645,near/mixed
D1_b_gd_escape,fission_rate,25,6.292023471123748e+19,6.7324132130414174e+19,7.134475967930422e+19,near/mixed
D1_b_gd_escape,Dv_scale,25,0.5876489999457949,1.0831087095613674,1.549583923026889,near/mixed
D1_b_gd_escape,Dg_scale,25,0.42475587703414647,0.5038400855139108,0.7261981221200914,low
D1_b_gd_escape,D2_xe_scale,25,0.3275002556615118,0.5590155569264385,4.443876407113734,low
D1_b_gd_escape,b_scale,25,0.06420314080310098,0.3772147409885244,0.741042739495225,low
D1_b_gd_escape,gb_scale,25,1.945644957949919,2.884080314281213,3.9517462989029655,high
D1_b_gd_escape,gd_scale,25,2.573577192848942,5.752791973443718,8.345473963606578,high
D1_b_gd_escape,coalescence_d_scale,25,0.4067966168263664,0.6725041263859612,0.7683054306532408,low
D1_b_gd_escape,capture_scale,25,0.08025815899547425,0.12829194598204535,0.7759601450986564,low
