label,score_total,score_swd,score_Nd,score_Nd_drop,score_Rd,score_pressure,score_fdot_prior,f_n,K_d,rho_d,fission_rate,Dv_scale,Dg_scale,b_scale,gb_scale,gd_scale,coalescence_d_scale,capture_scale,swD_1p3_1600K,swB_1p3_1600K,Rd_1p3_1600K,Nd_1p3_1600K,Nd_1p3_1400K,Nd_1p3_1725K,Nd_drop_1725_over_1400_log10,swD_3p2_1600K,swB_3p2_1600K,max_f_cap_step_3p2_1600K,capture_fraction_sum_3p2_1600K,capture_raw_sum_3p2_1600K,dt_h,n_modes,use_full_exp,D1_Xe,D2_Xe,D2_Xe_over_Dg_unscaled,D2_Xe_scaled,D2_xe_scale,D3_Xe,Dg,Dv,Rd1900_soft_max_nm,Rd2000_max_nm,Rd_1900_2000_ratio_max,Rd_1p3_1700K,Rd_1p3_1800K,Rd_1p3_1900K,Rd_1p3_2000K,Rd_inc_1600_1700_nm,Rd_inc_1700_1800_nm,Rd_inc_1800_1900_nm,Rd_inc_1800_2000_nm,Rd_inc_1900_2000_nm,Rd_last_increment_factor_max,Rd_post1800_delta_max_nm,Rd_ratio_2000_over_1700,Rd_ratio_2000_over_1800,Rd_ratio_2000_over_1900,Rd_ratio_max,bulk_gas_1p1_1200,bulk_gas_1p1_1500,bulk_gas_1p1_1600,bulk_gas_1p1_2000,bulk_gas_1p1_2200,bulk_gas_1p3_1600K,bulk_gas_3p2_1200,bulk_gas_3p2_1500,bulk_gas_3p2_1600K,bulk_gas_3p2_1800,bulk_gas_3p2_2000,bulk_gas_3p2_2200,disl_gas_1p1_1200,disl_gas_1p1_1500,disl_gas_1p1_1600,disl_gas_1p1_2000,disl_gas_1p1_2200,disl_gas_1p3_1600K,disl_gas_3p2_1200,disl_gas_3p2_1500,disl_gas_3p2_1600K,disl_gas_3p2_1800,disl_gas_3p2_2000,disl_gas_3p2_2200,family,matrix_gas_1p1_1200,matrix_gas_1p1_1500,matrix_gas_1p1_1600,matrix_gas_1p1_2000,matrix_gas_1p1_2200,matrix_gas_3p2_1200,matrix_gas_3p2_1500,matrix_gas_3p2_1800,matrix_gas_3p2_2000,matrix_gas_3p2_2200,p_b_over_eq_1p3_1600K,p_d_over_eq_1p3_1600K,qgb_gas_1p1_1200,qgb_gas_1p1_1500,qgb_gas_1p1_1600,qgb_gas_1p1_2000,qgb_gas_1p1_2200,qgb_gas_1p3_1600K,qgb_gas_3p2_1200,qgb_gas_3p2_1500,qgb_gas_3p2_1600K,qgb_gas_3p2_1800,qgb_gas_3p2_2000,qgb_gas_3p2_2200,score_base_highT_guard,score_partition,score_qgb,score_radius_guard,score_radius_saturation,score_rizk_prior,score_swig_diag,trial_number,state,selection_category,block,physical_metric
baseline_v5_C4_microstructure_escape_trial_00167,2.078692935496563,0.9260711540480416,0.6724458184791068,0.4752535834592463,0.18545189566197362,0.01978865553527375,0.016702343374698964,2.6058618890908287e-06,363380.9404356847,40515751006590.99,4.811357869172627e+19,0.576563651421459,1.770096201233097,0.5994653170454167,0.35978906732312876,1.8611992918092177,0.6948170569380349,0.0,2.826741565059332,0.729603002370192,79.22350432029023,1.357173431784911e+19,1.4443241816365074e+19,1.1639915553440055e+19,-0.09371485293846751,3.3108603726081465,2.4180408168141243,0.0,0.0,0.0,12.0,22,0,4.2934800659537927e-19,2.9966506428249495e-105,2.3098985680751286e-87,1.1973546957118062e-105,0.39956432645183393,8.90101205796936e-20,9.175437517908991e-19,1.1811904468852356e-20,700.0,800.0,1.35,108.00704813636423,142.20540430708303,177.43799793991204,216.5852614423784,28.783543816074,34.198356170718796,35.23259363282901,74.37985713529537,39.14726350246636,0.75,350.0,2.005288221273567,1.5230452210851078,1.2206250293453111,2.8,67.57888158043309,63.93219971424302,51.65193121039975,0.5758736702968243,0.045085637725430346,57.058258354678536,82.95404980293152,81.4574543443597,76.00916821260945,50.10607159006872,21.717913895098828,3.8954666882697078,22.463561191575845,26.38324809915002,38.54608123646296,87.81450393030092,88.3568457681932,33.07219229260683,8.119469218192135,9.505193243351147,13.910379972459763,35.56996659614382,60.50690782557603,77.09179687462614,baseline,2.035737274796315,1.5241302162671584,0.5228117720260518,0.0010801084414115251,8.077450402661883e-05,0.719839775633474,0.538817039976282,0.009926826792325497,0.0007776286531284588,7.42119603091537e-05,1.0000814100393218,1.1020426528010223,7.9218199531947375,8.160421970339797,9.279175781111233,11.608542290960846,11.59798781957735,9.423261572820815,8.206641203242869,8.498535372312872,9.894590005530265,14.314034986995134,17.774400650672025,19.012662225143846,0.0038611698674681466,0.08109975181398156,0.018724833072217548,0.0,0.016256620876935624,0.10322768404083578,1.1932538728548296,167,TrialState.COMPLETE,best_score_total,C4_microstructure_escape,2.078692935496563
baseline_v5_C4_microstructure_escape_trial_00167,2.078692935496563,0.9260711540480416,0.6724458184791068,0.4752535834592463,0.18545189566197362,0.01978865553527375,0.016702343374698964,2.6058618890908287e-06,363380.9404356847,40515751006590.99,4.811357869172627e+19,0.576563651421459,1.770096201233097,0.5994653170454167,0.35978906732312876,1.8611992918092177,0.6948170569380349,0.0,2.826741565059332,0.729603002370192,79.22350432029023,1.357173431784911e+19,1.4443241816365074e+19,1.1639915553440055e+19,-0.09371485293846751,3.3108603726081465,2.4180408168141243,0.0,0.0,0.0,12.0,22,0,4.2934800659537927e-19,2.9966506428249495e-105,2.3098985680751286e-87,1.1973546957118062e-105,0.39956432645183393,8.90101205796936e-20,9.175437517908991e-19,1.1811904468852356e-20,700.0,800.0,1.35,108.00704813636423,142.20540430708303,177.43799793991204,216.5852614423784,28.783543816074,34.198356170718796,35.23259363282901,74.37985713529537,39.14726350246636,0.75,350.0,2.005288221273567,1.5230452210851078,1.2206250293453111,2.8,67.57888158043309,63.93219971424302,51.65193121039975,0.5758736702968243,0.045085637725430346,57.058258354678536,82.95404980293152,81.4574543443597,76.00916821260945,50.10607159006872,21.717913895098828,3.8954666882697078,22.463561191575845,26.38324809915002,38.54608123646296,87.81450393030092,88.3568457681932,33.07219229260683,8.119469218192135,9.505193243351147,13.910379972459763,35.56996659614382,60.50690782557603,77.09179687462614,baseline,2.035737274796315,1.5241302162671584,0.5228117720260518,0.0010801084414115251,8.077450402661883e-05,0.719839775633474,0.538817039976282,0.009926826792325497,0.0007776286531284588,7.42119603091537e-05,1.0000814100393218,1.1020426528010223,7.9218199531947375,8.160421970339797,9.279175781111233,11.608542290960846,11.59798781957735,9.423261572820815,8.206641203242869,8.498535372312872,9.894590005530265,14.314034986995134,17.774400650672025,19.012662225143846,0.0038611698674681466,0.08109975181398156,0.018724833072217548,0.0,0.016256620876935624,0.10322768404083578,1.1932538728548296,167,TrialState.COMPLETE,best_physical_metric,C4_microstructure_escape,2.078692935496563
baseline_v5_C4_microstructure_escape_trial_00136,2.102933017849326,0.8969299871371016,0.7384305707100961,0.49631632432984185,0.22339816654724462,0.003987545006089058,0.025215543886654448,4.992552196046415e-06,299889.10108673986,61332698987860.19,4.717962237201136e+19,0.5921945898300316,1.370059684611876,0.7610397011189171,0.3310558555470221,1.6506059567673752,0.5354703703562697,0.0,2.744202067896666,0.6760544963407059,72.33782390580645,1.730737317744113e+19,1.8111998583691762e+19,1.5522966147698039e+19,-0.06699166516557029,3.1244563770274283,2.247755155581962,0.0,0.0,0.0,12.0,22,0,4.2934800659537927e-19,2.967423382457489e-105,2.3881315245688654e-87,1.2337811250433578e-105,0.4157752251792242,8.728230138822101e-20,7.078143568169477e-19,1.2129609886947574e-20,700.0,800.0,1.35,96.7969795566946,123.48835054315258,145.75810441433535,162.35948000903863,24.45915565088815,26.691370986457983,22.269753871182772,38.87112946588606,16.601375594703285,0.75,350.0,1.677319692748715,1.3147756796079535,1.113896758340873,2.8,66.95678787829554,63.409007769439924,51.203764757728564,0.5371113949557157,0.041065619341650976,56.682900238444915,82.59432778240141,81.17709051989877,75.86532405046172,49.188586130863825,18.985550237873372,3.0312392828837025,22.978783445002044,26.908515206947552,39.241815431426765,88.35228028536305,88.87003666219954,33.6985059905753,8.54118065957117,9.898775105640546,14.297994828849228,36.89215581467547,64.00569306151789,78.98947081909115,baseline,2.458709505193439,1.836654675962264,0.6267786267484072,0.0012592098339569361,9.319486096954248e-05,0.8919920119781238,0.6631363876401147,0.012009115192266943,0.0009249697577849438,8.51762320603014e-05,1.0001505511788766,1.0624143247586935,7.6057191715089685,7.845822347650258,8.927641184096274,11.109349109847273,11.088804523597844,9.083815287274446,7.972499546049297,8.260997986820573,9.611609953030603,13.90724893926843,17.00783173085095,17.97920472179308,0.033522957064884666,0.07190428395852116,0.012698642855694333,0.0,0.0,0.09409686284074681,1.0804213945828203,136,TrialState.COMPLETE,best_radius_saturated,C4_microstructure_escape,2.102933017849326
baseline_v5_C4_microstructure_escape_trial_00153,2.1401187009396363,0.9776018417168563,0.684927041113962,0.4908549429396948,0.1773776399099852,0.04207565258782402,0.039802759845474135,7.711056782442642e-06,312528.59633593005,47239144457027.32,4.56212567156324e+19,0.5186301295637537,1.643967455147686,0.471788904015692,0.31645880559365663,1.9506490386635127,0.5011676849898853,0.0,3.108596063963724,0.6679549631748476,81.24745025932548,1.383714402977806e+19,1.4550260882694056e+19,1.2275805119455631e+19,-0.07382079487384982,3.8236311896272905,2.302502152782027,0.0,0.0,0.0,12.0,22,0,4.2934800659537927e-19,2.9180041586630833e-105,2.3088157987764156e-87,1.1861479555909827e-105,0.40649289414804324,8.439932492391995e-20,8.445838931866969e-19,1.0619094042718929e-20,700.0,800.0,1.35,109.53030576650549,139.58336713406146,165.81141625392917,188.3424711175602,28.282855507180017,30.05306136755597,26.228049119867705,48.75910398349873,22.531054863631027,0.75,350.0,1.719546656968756,1.3493188693225069,1.1358836162953112,2.8,66.81352363467636,62.62585908154061,48.824137627265294,0.3994251371749375,0.030453753054941492,54.68340320990612,83.3998590257707,81.6993091610546,75.7111026729407,47.416480829752025,17.417466226511916,2.6102726972256436,24.909194286741805,29.292861227306773,42.94430684057366,90.06974676824699,90.4579589533069,37.008973930077005,9.066322757283892,10.653563558624178,15.73504247723437,40.53369120633295,67.96595647782668,81.97804491727528,baseline,1.5442144603879737,1.1437972170189326,0.38444979739085283,0.0007338357175882758,5.434579921750466e-05,0.5488567030556148,0.40640886360707196,0.00734248977936053,0.0005630468046286482,5.105563317866473e-05,1.0003272776266854,1.1524651939048827,6.7330676181938625,6.937482474133678,7.847105734770191,9.530094258860483,9.511532947838942,7.97812626074513,6.984961513889809,7.240718416714167,8.416195693858551,12.042485474135653,14.616014248856771,15.411631329865877,0.03680066868314604,0.06507313229601813,0.0,0.0,0.0036543969816773955,0.12178889259887855,1.3316241877539747,153,TrialState.COMPLETE,best_partition_qgb,C4_microstructure_escape,2.1401187009396363
baseline_v5_C4_microstructure_escape_trial_00122,2.0933930160543466,0.9060093863784654,0.7311116102772647,0.47746716480505447,0.22389139974899702,0.0,0.03180040202462595,5.370520588473389e-06,362958.5210089461,52271195938165.08,4.646967148977423e+19,0.6602338297686647,1.7774881167570253,0.5494037750605619,0.3225477712004443,1.5400872652541377,0.7218334621381327,0.0,2.7266230490236225,0.7101773673384273,71.93363347449035,1.7488014277864825e+19,1.8576903164529807e+19,1.5067002049640368e+19,-0.09094646991540434,3.0377014255086086,2.3506837838326833,0.0,0.0,0.0,12.0,22,0,4.2934800659537927e-19,2.9450121130614344e-105,3.0785271721425534e-87,1.5864170753784602e-105,0.5386793040145865,8.596889225608233e-20,9.159696640725549e-19,1.3521066265484302e-20,700.0,800.0,1.35,97.47991199170212,127.71015708889786,156.86133202221265,184.7675625678314,25.546278517211775,30.230245097195734,29.151174933314792,57.05740547893353,27.90623054561874,0.75,350.0,1.89544244339859,1.446772651287371,1.177903822349711,2.8,68.48018219914613,64.70859203772211,52.16270843466447,0.5813667574319737,0.04492445953003529,57.598801039873344,83.61999900620094,82.12616107138649,76.67927232610498,50.46604321188255,20.98348570679557,3.56486543329266,22.48687859670134,26.465006495048517,38.804847455912835,88.62995176274478,89.18178472392607,33.300398471369455,8.186294632310403,9.556297642909653,13.99995460868603,36.25193430852841,62.60690430939541,78.98795606912093,baseline,1.7086877618168006,1.2717543404138454,0.4320546211492881,0.0008927826225810643,6.639023849513815e-05,0.607195553933906,0.45124012341631126,0.008222799917649607,0.000641137184117412,6.051357934015633e-05,1.0002498463754177,1.0500108625214326,7.324251442335715,7.55464712681552,8.600389488273407,10.787788697200666,10.773224426305385,8.731754338744405,7.586510807554746,7.8663011622875425,9.16709914279777,13.273799679671379,16.4089688466249,17.44711798400708,0.014070910419991318,0.07213554401787528,0.008911101415110267,0.0,0.0077212696654998395,0.11054491482123949,1.1032171320906556,122,TrialState.COMPLETE,best_pressure,C4_microstructure_escape,2.0933930160543466
baseline_v5_C4_microstructure_escape_trial_00000,3.778054653229447,2.1035859472052385,0.7259841345380514,0.5411949171573808,0.5113427352862826,0.0,0.0,1e-06,500000.0,30000000000000.0,5e+19,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.25870886626603495,1.1831253032983298,34.65077044037695,1.4845130421148453e+19,1.4928678941624857e+19,1.4585792233727007e+19,-0.010091355142768606,0.26061305236042703,3.055788626779738,0.0,0.0,0.0,12.0,22,0,4.2934800659537927e-19,3.0548316844992837e-105,5.853872479899845e-87,3.0548316844992837e-105,1.0,9.25e-20,5.218480065953793e-19,2.0495206715334507e-20,700.0,800.0,1.35,45.3061323496483,58.87018369914631,75.54610206705541,96.60363863645594,10.655361909271349,13.564051349498008,16.675918367909105,37.73345493730963,21.057536569400526,0.75,350.0,2.1322420084530975,1.6409603735932765,1.2787375654498978,2.8,85.11255062867461,85.12754373484526,83.20402198649633,41.73188833437624,14.31043498082652,84.34056296031662,89.73858629686015,89.58533828783567,88.0581789399025,79.40184037771695,65.86813994259143,48.731120144015605,4.075069939862977,4.549900004663527,6.655411295573943,39.616214381731524,64.30344315602116,5.6363830956920005,1.4284043953669603,1.5842125963026008,2.30201480444103,6.255204791622078,14.005386394083821,25.39606731646813,baseline,3.1318632851513692,2.3635805711873275,0.8289964075693602,0.003708300320161184,0.0004325369112209834,1.0938310231327864,0.8230017441177128,0.015511238860942063,0.0013061511112106281,0.00016967098125178934,1.0000372209775745,1.0000195459805932,7.680516146311043,7.958975689303883,9.31157031036037,18.64818898357208,21.385689326241103,9.319650530738405,7.7391782846400945,8.007447371744021,9.35275291719056,14.327443591800035,20.12516751221355,25.872642868535014,0.0,0.3741486010822648,0.06723630651290241,0.0,0.010925553093974694,0.0,1.1273220344272452,0,TrialState.COMPLETE,best_rizk_near,C4_microstructure_escape,3.778054653229447
baseline_v5_C4_microstructure_escape_trial_00167,2.078692935496563,0.9260711540480416,0.6724458184791068,0.4752535834592463,0.18545189566197362,0.01978865553527375,0.016702343374698964,2.6058618890908287e-06,363380.9404356847,40515751006590.99,4.811357869172627e+19,0.576563651421459,1.770096201233097,0.5994653170454167,0.35978906732312876,1.8611992918092177,0.6948170569380349,0.0,2.826741565059332,0.729603002370192,79.22350432029023,1.357173431784911e+19,1.4443241816365074e+19,1.1639915553440055e+19,-0.09371485293846751,3.3108603726081465,2.4180408168141243,0.0,0.0,0.0,12.0,22,0,4.2934800659537927e-19,2.9966506428249495e-105,2.3098985680751286e-87,1.1973546957118062e-105,0.39956432645183393,8.90101205796936e-20,9.175437517908991e-19,1.1811904468852356e-20,700.0,800.0,1.35,108.00704813636423,142.20540430708303,177.43799793991204,216.5852614423784,28.783543816074,34.198356170718796,35.23259363282901,74.37985713529537,39.14726350246636,0.75,350.0,2.005288221273567,1.5230452210851078,1.2206250293453111,2.8,67.57888158043309,63.93219971424302,51.65193121039975,0.5758736702968243,0.045085637725430346,57.058258354678536,82.95404980293152,81.4574543443597,76.00916821260945,50.10607159006872,21.717913895098828,3.8954666882697078,22.463561191575845,26.38324809915002,38.54608123646296,87.81450393030092,88.3568457681932,33.07219229260683,8.119469218192135,9.505193243351147,13.910379972459763,35.56996659614382,60.50690782557603,77.09179687462614,baseline,2.035737274796315,1.5241302162671584,0.5228117720260518,0.0010801084414115251,8.077450402661883e-05,0.719839775633474,0.538817039976282,0.009926826792325497,0.0007776286531284588,7.42119603091537e-05,1.0000814100393218,1.1020426528010223,7.9218199531947375,8.160421970339797,9.279175781111233,11.608542290960846,11.59798781957735,9.423261572820815,8.206641203242869,8.498535372312872,9.894590005530265,14.314034986995134,17.774400650672025,19.012662225143846,0.0038611698674681466,0.08109975181398156,0.018724833072217548,0.0,0.016256620876935624,0.10322768404083578,1.1932538728548296,167,TrialState.COMPLETE,best_hard_physical_filter,C4_microstructure_escape,2.078692935496563
