Time (h)	Location	Phase	Phase instance	Moles (mol/m3)	Form units (mol/m3)	Sublattice	Sites	Constituent	Site fraction
56	at grain boundary	HCP_A3	HCP_A3	8.093830288	8.093830288	1	1	BA	8.561353732e-06
56	at grain boundary	HCP_A3	HCP_A3	8.093830288	8.093830288	1	1	CS	0.002373294155
56	at grain boundary	HCP_A3	HCP_A3	8.093830288	8.093830288	1	1	MO	0.2855789511
56	at grain boundary	HCP_A3	HCP_A3	8.093830288	8.093830288	1	1	PD	0.2696889029
56	at grain boundary	HCP_A3	HCP_A3	8.093830288	8.093830288	1	1	RH	0.08418924921
56	at grain boundary	HCP_A3	HCP_A3	8.093830288	8.093830288	1	1	RU	0.2825334108
56	at grain boundary	HCP_A3	HCP_A3	8.093830288	8.093830288	1	1	TC	0.07562763049
56	at grain boundary	HCP_A3	HCP_A3	8.093830288	8.093830288	2	0.5	O	1.100220044e-12
56	at grain boundary	HCP_A3	HCP_A3	8.093830288	8.093830288	2	0.5	VA	1
56	at grain boundary	gas	GAS	0.0757832301	0.0757832301	1	1	BA	0.0001066633715
56	at grain boundary	gas	GAS	0.0757832301	0.0757832301	1	1	BA2	1.228200967e-11
56	at grain boundary	gas	GAS	0.0757832301	0.0757832301	1	1	BA2O	3.434561904e-06
56	at grain boundary	gas	GAS	0.0757832301	0.0757832301	1	1	BA2O2	1.199096676e-06
56	at grain boundary	gas	GAS	0.0757832301	0.0757832301	1	1	BAMOO4	3.871732872e-10
56	at grain boundary	gas	GAS	0.0757832301	0.0757832301	1	1	BAO	0.000187788405
56	at grain boundary	gas	GAS	0.0757832301	0.0757832301	1	1	CS	0.9965303288
56	at grain boundary	gas	GAS	0.0757832301	0.0757832301	1	1	CS2	0.002927347995
56	at grain boundary	gas	GAS	0.0757832301	0.0757832301	1	1	CS2MOO4	1.46041549e-06
56	at grain boundary	gas	GAS	0.0757832301	0.0757832301	1	1	CS2O	1.826118595e-05
56	at grain boundary	gas	GAS	0.0757832301	0.0757832301	1	1	CS2O2	1.160216721e-12
56	at grain boundary	gas	GAS	0.0757832301	0.0757832301	1	1	CSO	9.346704595e-07
56	at grain boundary	gas	GAS	0.0757832301	0.0757832301	1	1	MO	1.86401079e-11
56	at grain boundary	gas	GAS	0.0757832301	0.0757832301	1	1	MO2	1.025552703e-17
56	at grain boundary	gas	GAS	0.0757832301	0.0757832301	1	1	MO2O6	4.77383833e-21
56	at grain boundary	gas	GAS	0.0757832301	0.0757832301	1	1	MO3O9	8.862896576e-30
56	at grain boundary	gas	GAS	0.0757832301	0.0757832301	1	1	MO4O12	1e-30
56	at grain boundary	gas	GAS	0.0757832301	0.0757832301	1	1	MO5O15	1e-30
56	at grain boundary	gas	GAS	0.0757832301	0.0757832301	1	1	MOO	2.356549728e-11
56	at grain boundary	gas	GAS	0.0757832301	0.0757832301	1	1	MOO2	3.704266118e-11
56	at grain boundary	gas	GAS	0.0757832301	0.0757832301	1	1	MOO3	1.433140605e-12
56	at grain boundary	gas	GAS	0.0757832301	0.0757832301	1	1	O	7.086086279e-10
56	at grain boundary	gas	GAS	0.0757832301	0.0757832301	1	1	O2	2.27477583e-12
56	at grain boundary	gas	GAS	0.0757832301	0.0757832301	1	1	O3	1.66392277e-25
