Time (h)	Temperature (K)	Fission rate (fiss / m3 s)	Hydrostatic stress (MPa)	Steam pressure (atm)	System pressure (Pa)	O/M ratio (/)	BA2 (gas, at grain boundary) (g/m3)	BA2O (gas, at grain boundary) (g/m3)	BA2O2 (gas, at grain boundary) (g/m3)	BAMOO4 (gas, at grain boundary) (g/m3)	BAO (gas, at grain boundary) (g/m3)	CS (gas, at grain boundary) (g/m3)	CS2 (gas, at grain boundary) (g/m3)	CS2MOO4 (gas, at grain boundary) (g/m3)	CS2O (gas, at grain boundary) (g/m3)	CS2O2 (gas, at grain boundary) (g/m3)	CSO (gas, at grain boundary) (g/m3)	HE (gas, at grain boundary) (g/m3)	MO (gas, at grain boundary) (g/m3)	MO2 (gas, at grain boundary) (g/m3)	MO2O6 (gas, at grain boundary) (g/m3)	MO3O9 (gas, at grain boundary) (g/m3)	MO4O12 (gas, at grain boundary) (g/m3)	MO5O15 (gas, at grain boundary) (g/m3)	MOO (gas, at grain boundary) (g/m3)	MOO2 (gas, at grain boundary) (g/m3)	MOO3 (gas, at grain boundary) (g/m3)	O (gas, at grain boundary) (g/m3)	O2 (gas, at grain boundary) (g/m3)	O3 (gas, at grain boundary) (g/m3)	PD (gas, at grain boundary) (g/m3)	RH (gas, at grain boundary) (g/m3)	RU (gas, at grain boundary) (g/m3)	TC (gas, at grain boundary) (g/m3)	LIQUID (liquid, at grain boundary) (g/m3)	BA2MOO5 (condensed, at grain boundary) (g/m3)	BA3MOO6 (condensed, at grain boundary) (g/m3)	BAMO2O7 (condensed, at grain boundary) (g/m3)	BAMO3O10 (condensed, at grain boundary) (g/m3)	BAMOO4 (condensed, at grain boundary) (g/m3)	HCP_ORD (condensed, at grain boundary) (g/m3)	CS2MO2O7_S1 (condensed, at grain boundary) (g/m3)	CS2MO2O7_S2 (condensed, at grain boundary) (g/m3)	CS2MO3O10 (condensed, at grain boundary) (g/m3)	CS2MO4O13 (condensed, at grain boundary) (g/m3)	CS2MO5O16 (condensed, at grain boundary) (g/m3)	CS2MO7O22 (condensed, at grain boundary) (g/m3)	CS2MOO4_S1 (condensed, at grain boundary) (g/m3)	CS2MOO4_S2 (condensed, at grain boundary) (g/m3)	CS2O1 (condensed, at grain boundary) (g/m3)	CS2O2 (condensed, at grain boundary) (g/m3)	CS3O (condensed, at grain boundary) (g/m3)	CS4O (condensed, at grain boundary) (g/m3)	CS7O1 (condensed, at grain boundary) (g/m3)	CS7O2 (condensed, at grain boundary) (g/m3)	CSO2 (condensed, at grain boundary) (g/m3)	CSO3 (condensed, at grain boundary) (g/m3)	HALITE (condensed, at grain boundary) (g/m3)	MO2_C11A (condensed, at grain boundary) (g/m3)	MO4O11 (condensed, at grain boundary) (g/m3)	MO8O23 (condensed, at grain boundary) (g/m3)	MO9O26 (condensed, at grain boundary) (g/m3)	MOO2 (condensed, at grain boundary) (g/m3)	MOO3 (condensed, at grain boundary) (g/m3)	PEROVSKITE (condensed, at grain boundary) (g/m3)	ZRO2_TETR (condensed, at grain boundary) (g/m3)	A15_CR3SI (condensed, at grain boundary) (g/m3)	BCC_A2 (condensed, at grain boundary) (g/m3)	C14_LAVES (condensed, at grain boundary) (g/m3)	C15_LAVES (condensed, at grain boundary) (g/m3)	DIAMOND_A4 (condensed, at grain boundary) (g/m3)	DIS_SIG (condensed, at grain boundary) (g/m3)	FCC_A1 (condensed, at grain boundary) (g/m3)	HCP_A3 (condensed, at grain boundary) (g/m3)	HCP_DIS (condensed, at grain boundary) (g/m3)	MC_ETA (condensed, at grain boundary) (g/m3)	MO3TE4 (condensed, at grain boundary) (g/m3)	MOPD2 (condensed, at grain boundary) (g/m3)	MOTE2_A (condensed, at grain boundary) (g/m3)	MOTE2_B (condensed, at grain boundary) (g/m3)	ORTHORHOMBIC_A20 (condensed, at grain boundary) (g/m3)	SIGMA (condensed, at grain boundary) (g/m3)	TETRAGONAL_U (condensed, at grain boundary) (g/m3)	O (gas, matrix) (g/m3)	O2 (gas, matrix) (g/m3)	C1_MO2 (condensed, matrix) (g/m3)	PU2O3 (condensed, matrix) (g/m3)	PUO152 (condensed, matrix) (g/m3)	M2O3_C (condensed, matrix) (g/m3)	U3O8_S1 (condensed, matrix) (g/m3)	U3O8_S2 (condensed, matrix) (g/m3)	U3O8_S3 (condensed, matrix) (g/m3)	U3O8_S4 (condensed, matrix) (g/m3)	U4O9_S1 (condensed, matrix) (g/m3)	U4O9_S2 (condensed, matrix) (g/m3)	U4O9_S3 (condensed, matrix) (g/m3)	UO3 (condensed, matrix) (g/m3)	
0	1955	3.45e+19	0	0	100000	1.975	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
28	1955	3.45e+19	0	0	100000	1.97461	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
56	1955	3.45e+19	0	0	100000	1.97422	2.556e-10	7.565e-05	2.787e-05	8.722e-09	0.002182	10.06	0.05897	4.712e-05	0.00039	2.618e-11	1.055e-05	0	1.059e-05	1.491e-16	1.042e-19	2.9e-28	4.364e-29	5.454e-29	1.999e-10	3.592e-10	1.563e-11	0.0002643	5.516e-12	6.052e-25	0.001789	3.561e-09	1.094e-09	4.581e-10	206.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	817.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
84	1955	3.45e+19	0	0	100000	1.97383	4.081e-10	0.000118	4.246e-05	1.228e-08	0.003283	14.95	0.08761	6.399e-05	0.0005661	3.713e-11	1.531e-05	0	1.438e-05	2.231e-16	1.354e-19	3.529e-28	6.483e-29	8.104e-29	2.912e-10	5.11e-10	2.173e-11	0.0003957	7.822e-12	8.385e-25	0.002655	5.278e-09	1.623e-09	6.806e-10	309.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1227	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
112	1955	3.45e+19	0	0	100000	1.97344	5.342e-10	0.0001509	5.307e-05	1.419e-08	0.004053	18.23	0.1068	7.137e-05	0.0006745	4.323e-11	1.824e-05	0	1.604e-05	2.738e-16	1.447e-19	3.53e-28	7.905e-29	9.882e-29	3.481e-10	5.97e-10	2.481e-11	0.0004862	9.108e-12	9.54e-25	0.003232	6.419e-09	1.977e-09	8.298e-10	412.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1637	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
140	1955	3.45e+19	0	0	100000	1.97305	6.433e-10	0.0001776	6.104e-05	1.51e-08	0.004606	20.47	0.1199	7.336e-05	0.0007401	4.637e-11	2.002e-05	0	1.648e-05	3.094e-16	1.426e-19	3.257e-28	8.876e-29	1.109e-28	3.832e-10	6.423e-10	2.609e-11	0.0005502	9.768e-12	1e-24	0.003624	7.189e-09	2.217e-09	9.316e-10	514.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2047	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
168	1955	3.45e+19	0	0	100000	1.97266	7.592e-10	0.0002049	6.885e-05	1.631e-08	0.00516	22.78	0.1335	7.69e-05	0.0008051	4.93e-11	2.177e-05	0	1.728e-05	3.664e-16	1.473e-19	3.244e-28	9.876e-29	1.235e-28	4.3e-10	7.046e-10	2.798e-11	0.0006145	1.039e-11	1.039e-24	0.003976	7.807e-09	2.44e-09	1.036e-09	540.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	64.82	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2464	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
196	1955	3.45e+19	0	0	100000	1.97227	8.741e-10	0.0002307	7.578e-05	1.795e-08	0.005679	25.07	0.1469	8.277e-05	0.0008665	5.188e-11	2.343e-05	0	1.86e-05	4.617e-16	1.622e-19	3.571e-28	1.087e-28	1.359e-28	4.951e-10	7.933e-10	3.079e-11	0.0006753	1.093e-11	1.069e-24	0.004243	8.146e-09	2.622e-09	1.137e-09	421.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	254.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2895	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
224	1955	3.45e+19	0	0	100000	1.97188	9.989e-10	0.0002578	8.282e-05	1.962e-08	0.006208	27.41	0.1606	8.848e-05	0.0009262	5.423e-11	2.505e-05	0	1.988e-05	5.769e-16	1.773e-19	3.904e-28	1.188e-28	1.485e-28	5.659e-10	8.867e-10	3.366e-11	0.0007368	1.143e-11	1.093e-24	0.004494	8.438e-09	2.796e-09	1.238e-09	235.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	500.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3332	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
252	1955	3.45e+19	0	0	100000	1.97149	1.14e-09	0.0002877	9.041e-05	2.132e-08	0.006776	29.92	0.1753	9.406e-05	0.0009889	5.664e-11	2.674e-05	0	2.114e-05	7.128e-16	1.918e-19	4.206e-28	1.297e-28	1.621e-28	6.428e-10	9.852e-10	3.658e-11	0.0008029	1.193e-11	1.117e-24	0.004763	8.759e-09	2.981e-09	1.347e-09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	788.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3774	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
