Time (h)	Temperature (K)	Fission rate (fiss / m3 s)	Hydrostatic stress (MPa)	Steam pressure (atm)	System pressure (Pa)	O/M ratio (/)	Grain radius (m)	Xe produced (at/m3)	Xe in grain (at/m3)	Xe in intragranular solution (at/m3)	Xe in intragranular bubbles (at/m3)	Xe at grain boundary (at/m3)	Xe released (at/m3)	Kr produced (at/m3)	Kr in grain (at/m3)	Kr in intragranular solution (at/m3)	Kr in intragranular bubbles (at/m3)	Kr at grain boundary (at/m3)	Kr released (at/m3)	Fission gas release (/)	Cs produced (at/m3)	Cs in grain (at/m3)	Cs in intragranular solution (at/m3)	Cs in intragranular bubbles (at/m3)	Cs at grain boundary (at/m3)	Cs released (at/m3)	Cs reacted (at/m3)	I produced (at/m3)	I in grain (at/m3)	I in intragranular solution (at/m3)	I in intragranular bubbles (at/m3)	I at grain boundary (at/m3)	I released (at/m3)	I reacted (at/m3)	Te produced (at/m3)	Te in grain (at/m3)	Te in intragranular solution (at/m3)	Te in intragranular bubbles (at/m3)	Te at grain boundary (at/m3)	Te released (at/m3)	Te reacted (at/m3)	Mo produced (at/m3)	Mo in solution (at/m3)	Mo reacted (at/m3)	Ba produced (at/m3)	Ba in solution (at/m3)	Ba reacted (at/m3)	Tc produced (at/m3)	Tc in solution (at/m3)	Tc reacted (at/m3)	Ru produced (at/m3)	Ru in solution (at/m3)	Ru reacted (at/m3)	Rh produced (at/m3)	Rh in solution (at/m3)	Rh reacted (at/m3)	Pd produced (at/m3)	Pd in solution (at/m3)	Pd reacted (at/m3)	Intragranular bubble concentration (bub/m3)	Intragranular bubble radius (m)	Intragranular gas bubble swelling (/)	Intergranular bubble concentration (bub/m2)	Intergranular atoms per bubble (at/bub)	Intergranular vacancies per bubble (vac/bub)	Intergranular bubble radius (m)	Intergranular bubble area (m2)	Intergranular bubble volume (m3)	Intergranular fractional coverage (/)	Intergranular saturation fractional coverage (/)	Intergranular gas swelling (/)	Intergranular fractional intactness (/)	Burnup (MWd/kgUO2)	FIMA (%)	Fuel density (kg/m3)	U235 (at/m3)	U238 (at/m3)	Pu (at/m3)	Pu238 (at/m3)	Pu239 (at/m3)	Pu240 (at/m3)	Pu241 (at/m3)	Pu242 (at/m3)	q (-)	Intergranular vented fraction (/)	Intergranular venting probability (/)	Porosity (/)	Fabrication porosity (/)	Open porosity (/)	Residual porosity (/)	Densification factor (/)	Gap oxygen partial pressure (MPa)	Stoichiometry deviation (/)	Equilibrium stoichiometry deviation (/)	Fuel oxygen partial pressure (MPa)	Fuel oxygen partial pressure - Blackburn (MPa)	Fuel oxygen partial pressure - Kato (MPa)	Fuel oxygen partial pressure - CALPHAD (MPa)	Fuel oxygen potential (KJ/mol)	Fuel oxygen potential - Blackburn (KJ/mol)	Fuel oxygen potential - Kato (KJ/mol)	Fuel oxygen potential - CALPHAD (KJ/mol)	U content (mol/m3)	O content (mol/m3)	O available content (mol/m3)	Pu content (mol/m3)	Mo/Ru in HCP_A3 (/)	Mo in oxide fraction (/)	Mo oxide valence (/)	Ba/Mo in oxide compounds (/)	Ba in oxide fraction (/)	Ba oxide valence (/)	JOG (Cs2MoO4) (/)	JOG (BaMoO4) (/)	
0	1955.013	3.45e+19	0	0	100000	1.975	1e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2e+13	0	0	0	0	0	0	0.5	0	1	0	0	10569.8	1.117189e+26	1.827432e+28	5.151575e+27	6.741065e+25	3.118866e+27	1.203261e+27	5.325573e+26	2.294797e+26	0.2188657	0	0.02897772	0.03560219	0.03560219	0.001424136	0.02670164	0	0	-0.025	0	2.529411e-13	0	2.529411e-13	0	-434.2405	0	-434.2405	0	30531.45	77194.93	1	8554.591	0	0	0	0	0	0	0	0	
28	1955.013	3.45e+19	0	0	100000	1.97461358	1.689657e-05	8.137584e+23	4.872302e+23	4.872302e+23	0	3.178581e+23	8.670152e+21	5.91192e+22	3.539706e+22	3.539706e+22	0	2.309225e+22	6.298829e+20	0.01065446	5.91192e+23	3.539706e+23	3.539706e+23	0	2.309225e+23	6.298829e+21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.615944e+23	7.615944e+23	0	3.442824e+23	3.442824e+23	0	1.843128e+23	1.843128e+23	0	6.885648e+23	6.885648e+23	0	2.051784e+23	2.051784e+23	0	6.572664e+23	6.572664e+23	0	1.316251e+24	0	0	1.391019e+13	232645	8425596	8.075521e-08	1.394051e-14	3.719509e-22	0.1939152	0.5	0.000918632	1	0.1188102	0.01477465	10569.8	1.117189e+26	1.827432e+28	5.151575e+27	6.741065e+25	3.118866e+27	1.203261e+27	5.325573e+26	2.294797e+26	0.2188657	0	0.02368304	0.03560219	0.03560219	0.001424136	0.02670164	0	0	-0.02538642	0	2.413188e-13	0	2.413188e-13	0	-435.005	0	-435.005	0	30537.42	77194.93	1	8556.266	0	0	0	0	0	0	0	0	
56	1955.013	3.45e+19	0	0	100000	1.97422716	1.85738e-05	1.627517e+24	1.270386e+24	1.867754e+22	1.251709e+24	3.04884e+23	5.224639e+22	1.182384e+23	9.229303e+22	1.356915e+21	9.093611e+22	2.214969e+22	3.795678e+21	0.03210191	1.182384e+24	9.229303e+23	1.356915e+22	9.093611e+23	2.11832e+23	3.481079e+22	1.281092e+22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.523189e+24	3.508968e+17	1.523188e+24	6.885648e+23	7.279892e+19	6.88492e+23	3.686256e+23	1.485448e+13	3.686256e+23	1.37713e+24	3.434858e+13	1.37713e+24	4.103568e+23	1.098685e+14	4.103568e+23	1.314533e+24	5.337352e+19	1.314479e+24	1.326215e+24	0	0	9.250547e+12	363211.5	3.996375e+07	1.334017e-07	3.80417e-14	1.676709e-21	0.3519066	0.5	0.002505218	1	0.2376204	0.0295493	10569.8	1.117189e+26	1.827432e+28	5.151575e+27	6.741065e+25	3.118866e+27	1.203261e+27	5.325573e+26	2.294797e+26	0.2188657	0	0.02216785	0.03560219	0.03560219	0.001424136	0.02670164	0	0	-0.02577284	0	2.303278e-13	0	2.303278e-13	0	-435.7627	0	-435.7627	0	30543.4	77194.93	1.797769	8557.941	1.010762	1	0.5170696	0.4523286	1	2	0	0	
84	1955.013	3.45e+19	0	0	100000	1.97384074	1.88526e-05	2.441275e+24	2.045571e+24	2.985184e+22	2.015719e+24	2.746698e+23	1.210347e+23	1.773576e+23	1.486098e+23	2.168724e+21	1.464411e+23	1.995465e+22	8.793116e+21	0.04957846	1.773576e+24	1.486098e+24	2.168724e+22	1.464411e+24	1.880762e+23	8.022555e+22	1.917593e+22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.284783e+24	3.118277e+17	2.284783e+24	1.032847e+24	7.226786e+19	1.032775e+24	5.529384e+23	1.442958e+13	5.529384e+23	2.065694e+24	3.333172e+13	2.065694e+24	6.155352e+23	1.064643e+14	6.155352e+23	1.971799e+24	5.177651e+19	1.971747e+24	1.326291e+24	2.551313e-10	9.22611e-05	6.432045e+12	475865	9.455683e+07	1.770889e-07	6.703788e-14	3.922366e-21	0.4311906	0.5	0.004014646	1	0.3564306	0.04432395	10569.8	1.117189e+26	1.827432e+28	5.151575e+27	6.741065e+25	3.118866e+27	1.203261e+27	5.325573e+26	2.294797e+26	0.2188657	0	0.02190375	0.03560219	0.03560219	0.001424136	0.02670164	0	0	-0.02615926	0	2.199287e-13	0	2.199287e-13	0	-436.5136	0	-436.5136	0	30549.38	77194.93	2.683871	8559.617	1.011999	1	0.5103399	0.4523451	1	2	0	0	
112	1955.013	3.45e+19	0	0	100000	1.97345432	1.88526e-05	3.255034e+24	2.820915e+24	2.940209e+22	2.791513e+24	2.906138e+23	1.435044e+23	2.364768e+23	2.049383e+23	2.13605e+21	2.028022e+23	2.111297e+22	1.042554e+22	0.04408693	2.364768e+24	2.049383e+24	2.13605e+22	2.028022e+24	1.95969e+23	9.389994e+22	2.551614e+22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.046378e+24	2.563083e+17	3.046377e+24	1.37713e+24	6.628934e+19	1.377063e+24	7.372512e+23	1.295463e+13	7.372512e+23	2.754259e+24	2.989414e+13	2.754259e+24	8.207136e+23	9.535023e+13	8.207136e+23	2.629066e+24	4.642149e+19	2.629019e+24	8.442341e+23	3.476292e-10	0.0001485595	4.945925e+12	651842.1	1.488532e+08	2.058794e-07	9.06073e-14	6.163289e-21	0.4481369	0.5	0.004850763	1	0.4752408	0.0590986	10569.8	1.117189e+26	1.827432e+28	5.151575e+27	6.741065e+25	3.118866e+27	1.203261e+27	5.325573e+26	2.294797e+26	0.2188657	0	0.02187977	0.03560219	0.03560219	0.001424136	0.02670164	0	0	-0.02654568	0	2.100849e-13	0	2.100849e-13	0	-437.2579	0	-437.2579	0	30555.37	77194.93	3.561633	8561.293	1.013223	1	0.5036839	0.4523553	1	2	0	0	
140	1955.013	3.45e+19	0	0	100000	1.9730679	1.88526e-05	4.068792e+24	3.576479e+24	5.601532e+22	3.520464e+24	3.091491e+23	1.831638e+23	2.95596e+23	2.598297e+23	4.069489e+21	2.557602e+23	2.245955e+22	1.330677e+22	0.04501675	2.95596e+24	2.598297e+24	4.069489e+22	2.557602e+24	2.065988e+23	1.192314e+23	3.183303e+22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.807972e+24	2.597826e+17	3.807972e+24	1.721412e+24	7.490538e+19	1.721337e+24	9.21564e+23	1.433052e+13	9.21564e+23	3.442824e+24	3.303575e+13	3.442824e+24	1.025892e+24	1.052246e+14	1.025892e+24	3.286332e+24	5.128318e+19	3.286281e+24	7.307711e+23	4.068043e-10	0.0002060756	3.796203e+12	901489.7	2.48086e+08	2.439247e-07	1.271889e-13	1.025041e-20	0.4828348	0.5	0.006192142	1	0.594051	0.07387325	10569.8	1.117189e+26	1.827432e+28	5.151575e+27	6.741065e+25	3.118866e+27	1.203261e+27	5.325573e+26	2.294797e+26	0.2188657	0	0.02185575	0.03560219	0.03560219	0.001424136	0.02670164	0	0	-0.0269321	0	2.007624e-13	0	2.007624e-13	0	-437.9957	0	-437.9957	0	30561.35	77194.93	4.431177	8562.97	1.014433	1	0.4970992	0.4523578	1	2	0	0	
168	1955.013	3.45e+19	0	0	100000	1.97268148	1.88526e-05	4.88255e+24	4.320174e+24	7.684574e+22	4.243328e+24	3.393527e+23	2.230237e+23	3.547152e+23	3.138588e+23	5.58281e+21	3.08276e+23	2.465383e+22	1.620258e+22	0.04567771	3.547152e+24	3.138588e+24	5.58281e+22	3.08276e+24	2.257076e+23	1.45026e+23	3.78305e+22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.569566e+24	2.646124e+17	4.569566e+24	2.065694e+24	8.257091e+19	2.065612e+24	1.105877e+24	1.552631e+13	1.105877e+24	4.131389e+24	3.548392e+13	4.131389e+24	1.23107e+24	1.116879e+14	1.23107e+24	3.943598e+24	5.492917e+19	3.943543e+24	6.70382e+23	4.522691e-10	0.0002597776	2.865341e+12	1310166	4.190427e+08	2.903586e-07	1.802216e-13	1.728932e-20	0.5163962	0.5	0.007883231	1	0.7128612	0.0886479	10569.8	1.117189e+26	1.827432e+28	5.151575e+27	6.741065e+25	3.118866e+27	1.203261e+27	5.325573e+26	2.294797e+26	0.2188657	0	0.02183168	0.03560219	0.03560219	0.001424136	0.02670164	0	0	-0.02731852	0	1.919294e-13	0	1.919294e-13	0	-438.7271	0	-438.7271	0	30567.34	77194.93	5.102478	8564.648	1.024863	1	0.4405034	0.4523626	1	2	0	0	
196	1955.013	3.45e+19	0	0	100000	1.97229506	1.88526e-05	5.696309e+24	5.054125e+24	9.712496e+22	4.957001e+24	3.788594e+23	2.633239e+23	4.138344e+23	3.671801e+23	7.056087e+21	3.60124e+23	2.752397e+22	1.913037e+22	0.04622712	4.138344e+24	3.671801e+24	7.056087e+22	3.60124e+24	2.51749e+23	1.71645e+23	4.31495e+22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.331161e+24	2.864407e+17	5.331161e+24	2.409977e+24	9.220666e+19	2.409885e+24	1.29019e+24	1.714021e+13	1.29019e+24	4.819954e+24	3.835022e+13	4.819954e+24	1.436249e+24	1.172517e+14	1.436249e+24	4.600865e+24	5.896266e+19	4.600806e+24	6.289962e+23	4.916301e-10	0.0003130776	2.094346e+12	2002366	7.407676e+08	3.509438e-07	2.632767e-13	3.052717e-20	0.5513925	0.5	0.01017384	1	0.8316714	0.1034226	10569.8	1.117189e+26	1.827432e+28	5.151575e+27	6.741065e+25	3.118866e+27	1.203261e+27	5.325573e+26	2.294797e+26	0.2188657	0	0.0218076	0.03560219	0.03560219	0.001424136	0.02670164	0	0	-0.02770494	0	1.835565e-13	0	1.835565e-13	0	-439.4521	0	-439.4521	0	30573.33	77194.93	5.324334	8566.326	1.051016	1	0.2986194	0.4523713	1	2	0	0	
224	1955.013	3.45e+19	0	0	100000	1.97190864	1.88526e-05	6.510067e+24	5.779284e+24	1.177271e+23	5.661557e+24	4.264787e+23	3.043043e+23	4.729536e+23	4.198625e+23	8.552823e+21	4.113097e+23	3.09835e+22	2.210757e+22	0.04674364	4.729536e+24	4.198625e+24	8.552823e+22	4.113097e+24	2.836326e+23	1.990635e+23	4.821455e+22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.092755e+24	3.130951e+17	6.092755e+24	2.754259e+24	1.039563e+20	2.754155e+24	1.474502e+24	1.90904e+13	1.474502e+24	5.508518e+24	4.182261e+13	5.508518e+24	1.641427e+24	1.242347e+14	1.641427e+24	5.258131e+24	6.387265e+19	5.258067e+24	5.96209e+23	5.270856e-10	0.0003657047	1.47364e+12	3207030	1.373776e+09	4.310223e-07	3.971338e-13	5.655526e-20	0.5852323	0.5	0.01326217	1	0.9504816	0.1181972	10569.8	1.117189e+26	1.827432e+28	5.151575e+27	6.741065e+25	3.118866e+27	1.203261e+27	5.325573e+26	2.294797e+26	0.2188657	0	0.0217835	0.03560219	0.03560219	0.001424136	0.02670164	0	0	-0.02809136	0	1.756162e-13	0	1.756162e-13	0	-440.1708	0	-440.1708	0	30579.32	77194.93	5.346785	8568.005	1.077893	1	0.1528123	0.4523797	1	2	0	0	
252	1955.013	3.45e+19	0	0	100000	1.97152222	1.88526e-05	7.323826e+24	6.496082e+24	1.391341e+23	6.356948e+24	4.804879e+23	3.472555e+23	5.320728e+23	4.719376e+23	1.010803e+22	4.618296e+23	3.490724e+22	2.522797e+22	0.0474145	5.320728e+24	4.719376e+24	1.010803e+23	4.618296e+24	3.201933e+23	2.28123e+23	5.303578e+22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.85435e+24	3.439494e+17	6.854349e+24	3.098542e+24	1.177747e+20	3.098424e+24	1.658815e+24	2.135105e+13	1.658815e+24	6.197083e+24	4.580542e+13	6.197083e+24	1.846606e+24	1.322318e+14	1.846606e+24	5.915398e+24	6.949823e+19	5.915328e+24	5.688274e+23	5.596517e-10	0.0004176598	1.00393e+12	5311105	2.62249e+09	5.345324e-07	6.10781e-13	1.078689e-19	0.6131814	0.5	0.01723255	1	1.069292	0.1329719	10569.8	1.117189e+26	1.827432e+28	5.151575e+27	6.741065e+25	3.118866e+27	1.203261e+27	5.325573e+26	2.294797e+26	0.2188657	0	0.0217594	0.03560219	0.03560219	0.001424136	0.02670164	0	0	-0.02847778	0	1.680829e-13	0	1.680829e-13	0	-440.8835	0	-440.8835	0	30585.32	77194.93	5.161212	8569.685	1.105531	1	0.00287333	0.4523879	1	2	0	0	
