label,T,burnup,rho_d_eff,c,mb,md,Nb,Nd,Rb_nm,Rd_nm,swelling_b_percent,swelling_d_percent,swelling_ig_percent,p_b,p_b_eq,p_d,p_d_eq,p_b_over_eq,p_d_over_eq,matrix_gas_percent,bulk_gas_percent,dislocation_gas_percent,qgb_gas_percent,q_gb,generated,retained,lambda_d,nu_b,phi_b,phi_d,f_cap_step,cap_raw_step,capture_fraction_sum,capture_raw_sum,capture_bubbles_cumulative,max_f_cap_step,Dg,Dv,beta,g_b,g_d,b_b,b_d,b_b_gas,b_d_gas,dVd_growth_dt,dnvb_dt,dnvd_dt,nvb_seed_added,nvd_seed_added,bulk_first_gas_seed_applied,dislocation_first_gas_seed_applied,first_gas_pressure_factor,seed_pressure_factor,seed_gas_atoms_per_bubble,D1_Xe,D2_Xe,D2_Xe_scaled,D3_Xe,Dg_D1_scaled,Dg_D3_scaled,D2_Xe_over_Dg_unscaled,Dv1,Dv2,Dv1_scaled,Dv2_scaled,A20_vU_active,Gamma_d,den,free_dislocation,term_bubbles,term_dislocation,term_bubbles_scaled,term_dislocation_scaled,g_b_unscaled,g_d_unscaled,psi_b,psi_d,porosity_b,porosity_d,valid_single_size
3test_UN,900.0,1.1,30000000000000.0,3.0731399097147545e+23,6.32682682860353e+25,2.3699162370937276e+25,3.12806726976596e+21,2.914425870805039e+19,8.63459730261631,38.87124226876503,0.8435114012796239,0.7170127584638516,1.5605241597434754,257141451.57556257,257105215.47163907,57117771.19703629,57111629.843224235,1.000140938813151,1.0001075324558049,0.3400779909062121,70.01355681468861,26.225826880809116,3.420538313596056,3.090994738062723e+24,9.036573938600678e+25,8.727474464794406e+25,1.0181535187343735,96572524974268.34,4.9461614671601676e-05,1.2300447721484824e-06,0.0,0.0,0.0,0.0,0.0,0.0,9.250000000033911e-20,4.074771230498373e-16,1.2e+19,3.215198216160148e-05,5.946897234631354e-06,5.681253620195498e-06,3.7525549900687273e-06,2.810039774137518e-10,4.615810647733739e-12,2.6742679871727664e-29,2.2533605681945784e+19,2.136153653592625e+19,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,2.0,3.39111184581436e-31,4.453364303719348e-95,0.0,9.25e-20,3.39111184581436e-31,9.25e-20,4.814447895895159e-76,2.727273770837793e-34,4.074771230498373e-16,2.727273770837793e-34,4.074771230498373e-16,1.32e-19,1.0300645387285054e-07,3.4866702367166718,27734475441028.625,1.323824962064495e-06,4.623072272566859e-06,1.323824962064495e-06,4.623072272566859e-06,3.215198216160148e-05,5.946897234631354e-06,0.20356212961118456,0.19283045581558042,0.008435114012796239,0.007170127584638516,True
3test_UN,950.0,1.1,30000000000000.0,3.059134121702486e+23,6.330115153949271e+25,2.3671639667070063e+25,3.115007885855933e+21,2.9099962418706354e+19,8.716060811312332,39.554525303015325,0.8639895995871897,0.7543442218226724,1.618333821409862,254738397.84942192,254702215.60624316,56131140.45412389,56125057.322600834,1.0001420570413675,1.0001083853061938,0.33852809067771494,70.04994588612303,26.1953698690542,3.4161561541450673,3.0870347672737635e+24,9.036573938600678e+25,8.727870461873302e+25,1.0191116004968634,95694381890373.94,4.922953829921716e-05,1.2296036564101367e-06,0.0,0.0,0.0,0.0,0.0,0.0,9.250000000968898e-20,1.2269960149005285e-15,1.2e+19,3.2312629098218755e-05,5.96194073108036e-06,5.660976658547585e-06,3.741706656510769e-06,2.786872672229427e-10,4.600816186059789e-12,2.83866217125655e-29,2.4065429404516184e+19,2.2969351551351845e+19,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,2.0,9.688979436289361e-30,1.765145399318674e-98,0.0,9.25e-20,9.688979436289361e-30,9.25e-20,1.9082652963608458e-79,1.2701816746368393e-32,1.2269960149005285e-15,1.2701816746368393e-32,1.2269960149005285e-15,1.32e-19,1.0300645387285054e-07,3.4866702367166718,27698156616676.39,1.3449224593273514e-06,4.617018271753009e-06,1.3449224593273514e-06,4.617018271753009e-06,3.2312629098218755e-05,5.96194073108036e-06,0.20519629024346747,0.19612058921559508,0.008639895995871897,0.007543442218226723,True
3test_UN,1000.0,1.1,30000000000000.0,3.0452982927028896e+23,6.333411783550708e+25,2.3643985606183083e+25,3.102084593036004e+21,2.905472703833036e+19,8.797731095140707,40.23117456358349,0.8848187082600757,0.7924895522585893,1.6773082605186649,252373911.51347107,252337787.5491311,55187117.57711741,55181088.39928087,1.0001431571731323,1.000109261669377,0.3369969983529463,70.08642685362062,26.164767495771052,3.4118086522553908,3.0831061150463367e+24,9.036573938600678e+25,8.728263327096044e+25,1.0200919101647057,94830831804942.02,4.899978808403926e-05,1.2291286300331545e-06,0.0,0.0,0.0,0.0,0.0,0.0,9.250000019797957e-20,3.206480234158166e-15,1.2e+19,3.2472973609155337e-05,5.97674278450423e-06,5.64096292974082e-06,3.7313132195773228e-06,2.764059881472214e-10,4.586263905803673e-12,3.0074193384392484e-29,2.5627691034843353e+19,2.46146506725965e+19,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,2.0,1.9797956349137057e-28,4.950655044321922e-101,0.0,9.25e-20,1.9797956349137057e-28,9.25e-20,5.352059495919933e-82,4.0289255205478195e-31,3.2064802341581655e-15,4.0289255205478195e-31,3.2064802341581655e-15,1.32e-19,1.0300645387285054e-07,3.4866702367166718,27662419753734.79,1.3656814972350894e-06,4.611061287269141e-06,1.3656814972350894e-06,4.611061287269141e-06,3.2472973609155337e-05,5.97674278450423e-06,0.20683217497658046,0.1993721605050864,0.008848187082600757,0.007924895522585892,True
3test_UN,1050.0,1.1,30000000000000.0,3.0316306470402564e+23,6.336715962545385e+25,2.3616208048752083e+25,3.0892958266069153e+21,2.9008573375957967e+19,8.879599449311574,40.901324149793645,0.9060000753389807,0.8314326687850164,1.737432744123997,250047338.5991281,250011277.27356154,54282948.39152504,54276971.3730943,1.0001442387957848,1.0001101207064347,0.335484517433131,70.12299136376714,26.134028459472855,3.407495659326889,3.07920864709683e+24,9.036573938600678e+25,8.728653073890995e+25,1.021094122855131,93981622957868.84,4.877234241014086e-05,1.228620038248647e-06,0.0,0.0,0.0,0.0,0.0,0.0,9.250000303506631e-20,7.452710840154398e-15,1.2e+19,3.263299822540778e-05,5.991306654215129e-06,5.621209682329674e-06,3.721346105829279e-06,2.7415956338578204e-10,4.572120394880422e-12,3.180516913658777e-29,2.722049346747988e+19,2.6296862219392946e+19,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,2.0,3.035066304242563e-27,6.332905246468618e-103,0.0,9.25e-20,3.035066304242563e-27,9.25e-20,6.846383825596032e-84,9.194528317869608e-30,7.452710840154388e-15,9.194528317869608e-30,7.452710840154388e-15,1.32e-19,1.0300645387285054e-07,3.4866702367166718,27627257387441.688,1.3861064564743495e-06,4.60520019774078e-06,1.3861064564743495e-06,4.60520019774078e-06,3.263299822540778e-05,5.991306654215129e-06,0.20846960551896654,0.20258581284302601,0.009060000753389807,0.008314326687850164,True
3test_UN,1100.0,1.1,30000000000000.0,3.0181287901860075e+23,6.340026726240682e+25,2.358831693049225e+25,3.076639571522782e+21,2.896152141781633e+19,8.961657742698707,41.565117478936465,0.9275349686862163,0.8711581800053991,1.7986931486916153,247758019.09969866,247722024.62303263,53416096.2080195,53410170.22567077,1.000145301883112,1.0001109523209473,0.333990382936364,70.15962874113815,26.103163755161972,3.4032171207635002,3.0753423140891084e+24,9.036573938600678e+25,8.729039707191767e+25,1.0221179312785003,93146494522242.83,4.854717408181662e-05,1.2280780845446247e-06,0.0,0.0,0.0,0.0,0.0,0.0,9.250003630270021e-20,1.5707055915369582e-14,1.2e+19,3.279269183025623e-05,6.00563749591473e-06,5.601714016534038e-06,3.7117789050972663e-06,2.719473855172301e-10,4.5583543280249946e-12,3.357925180104199e-29,2.8843932291015102e+19,2.8015340431165927e+19,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,2.0,3.63027002135315e-26,2.65204703492286e-104,0.0,9.25e-20,3.63027002135315e-26,9.25e-20,2.867076750374684e-85,1.5790075123891412e-28,1.5707055915369424e-14,1.5790075123891412e-28,1.5707055915369424e-14,1.32e-19,1.0300645387285054e-07,3.4866702367166718,27592661445880.168,1.4062024573443806e-06,4.5994350385703494e-06,1.4062024573443806e-06,4.5994350385703494e-06,3.279269183025623e-05,6.00563749591473e-06,0.21010840726940613,0.20576223707235514,0.009275349686862163,0.008711581800053991,True
3test_UN,1150.0,1.1,30000000000000.0,3.0047852315798618e+23,6.343341471134163e+25,2.356033825142064e+25,3.0641099984478735e+21,2.891358940775114e+19,9.04390153189193,42.22271758549796,0.949424505045246,0.9116521614978813,1.8610766665431273,245505203.86543337,245469280.2847876,52584206.39819113,52578330.50429926,1.0001463465432583,1.0001117550488103,0.33251376594669413,70.19631017500903,26.072202154823493,3.398973904220779,3.071507900086529e+24,9.036573938600678e+25,8.729423148592025e+25,1.0231630658175632,92325097607980.36,4.8324208136425155e-05,1.2275020624000496e-06,0.0,0.0,0.0,0.0,0.0,0.0,9.25003499374962e-20,3.048336544478503e-14,1.2e+19,3.295209463705325e-05,6.019755399009163e-06,5.582472174660334e-06,3.702587021816294e-06,2.6976854728408795e-10,4.544933205495158e-12,3.539619272817841e-29,3.049810304526139e+19,2.9769480254398018e+19,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,2.0,3.4993749619257376e-25,2.822486305141313e-105,0.0,9.25e-20,3.4993749619257376e-25,9.25e-20,3.0513250026064847e-86,2.1176796565805712e-27,3.048336544478291e-14,2.1176796565805712e-27,3.048336544478291e-14,1.32e-19,1.0300645387285054e-07,3.4866702367166718,27558622747864.777,1.4259787128406855e-06,4.593776686168478e-06,1.4259787128406855e-06,4.593776686168478e-06,3.295209463705325e-05,6.019755399009163e-06,0.21174840399332848,0.20890222004393183,0.00949424505045246,0.009116521614978813,True
3test_UN,1200.0,1.1,30000000000000.0,2.991556180042801e+23,6.346645925053011e+25,2.3532412284534284e+25,3.051673994396731e+21,2.886478711785922e+19,9.126352225295701,42.87439242965503,0.9716691721686137,0.9529078493622677,1.9245770215308815,243287472.73311058,243251624.00008842,51784986.12394757,51779159.40482197,1.000147373047023,1.000112530199265,0.3310498204705717,70.23287772750517,26.04129888653166,3.3947735654926103,3.0677122329381023e+24,9.036573938600678e+25,8.729802715306868e+25,1.0242294419769726,91516445286510.22,4.8103027756566824e-05,1.2268849460927686e-06,0.0,0.0,0.0,0.0,0.0,0.0,9.250279278649073e-20,5.5158506940891876e-14,1.2e+19,3.3111614749430555e-05,6.033787145222602e-06,5.563474539995347e-06,3.693746371565051e-06,2.67619970220349e-10,4.531801817957947e-12,3.7256079765838003e-29,3.218315094050231e+19,3.155896802212831e+19,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,2.0,2.792786490723941e-24,6.279873592875496e-106,0.0,9.25e-20,2.792786490723941e-24,9.25e-20,6.788847562008549e-87,2.2875995051503872e-26,5.5158506940869e-14,2.2875995051503872e-26,5.5158506940869e-14,1.32e-19,1.0300645387285054e-07,3.4866702367166718,27525126681848.31,1.4454727846383422e-06,4.58831436058426e-06,1.4454727846383422e-06,4.58831436058426e-06,3.3111614749430555e-05,6.033787145222602e-06,0.2133893831906892,0.2120070492317731,0.009716691721686137,0.009529078493622677,True
3test_UN,1250.0,1.1,30000000000000.0,2.9781796359960518e+23,6.349855468666837e+25,2.350536814546568e+25,3.03913420480989e+21,2.8815074201688285e+19,9.209189268755015,43.521035638563916,0.9942662186997593,0.9949609037134034,1.9892271224131626,241099335.03753215,241063565.4467465,51015593.96883907,51009815.53924379,1.0001483824016266,1.000113280738897,0.32956955326558485,70.26839498919784,26.011371461323435,3.3906639962131506,3.0639985902731385e+24,9.036573938600678e+25,8.730174079573364e+25,1.025318075262985,90715717152680.94,4.7881157834276876e-05,1.226181625122926e-06,0.0,0.0,0.0,0.0,0.0,0.0,9.251887648857636e-20,9.400122277669854e-14,1.2e+19,3.3273894431557734e-05,6.048505446856222e-06,5.544676309597143e-06,3.685226634686584e-06,2.6548552151979665e-10,4.518757183866287e-12,3.916099805444089e-29,3.3899582691926794e+19,3.3385214084151554e+19,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,2.0,1.887648857635469e-23,2.509294157468985e-106,0.0,9.25e-20,1.887648857635469e-23,9.25e-20,2.712196962074887e-87,2.04276376157652e-25,9.400122277649427e-14,2.04276376157652e-25,9.400122277649427e-14,1.32e-19,1.0300645387285054e-07,3.4866702367166718,27492126935486.426,1.4648951692794528e-06,4.583610277576769e-06,1.4648951692794528e-06,4.583610277576769e-06,3.3273894431557734e-05,6.048505446856222e-06,0.2150309109117042,0.21508097931796497,0.009942662186997592,0.009949609037134034,True
3test_UN,1300.0,1.1,30000000000000.0,2.9632707027291756e+23,6.352522091169794e+25,2.3483593145415295e+25,3.0254470220582497e+21,2.876414031883504e+19,9.29342346550212,44.166841628672394,1.0171976355143182,1.038075735834288,2.055273371348606,238914284.97349504,238878601.43689847,50269682.63809938,50263951.82758127,1.000149379376729,1.0001140143245753,0.3279197097111387,70.29790420940758,25.98727493956825,3.386901141313049,3.0605982586206393e+24,9.036573938600678e+25,8.730514112738614e+25,1.0264359243822276,89898421009513.83,4.7645515273515725e-05,1.225149740652846e-06,0.0,0.0,0.0,0.0,0.0,0.0,9.261014568641824e-20,1.5213567242925693e-13,1.2e+19,3.345321128620237e-05,6.068036567504452e-06,5.5258508068938344e-06,3.6769584391657807e-06,2.632820090190294e-10,4.504824678135249e-12,4.1123850548549323e-29,3.564994400331982e+19,3.5258973954485236e+19,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,2.0,1.1014568641823352e-22,1.598361411134806e-106,0.0,9.25e-20,1.1014568641823352e-22,9.25e-20,1.725903138676537e-87,1.5413983851648154e-24,1.5213567242771553e-13,1.5413983851648154e-24,1.5213567242771553e-13,1.32e-19,1.0300645387285054e-07,3.4866702367166718,27459411681036.062,1.4853644059715129e-06,4.582672161532939e-06,1.4853644059715129e-06,4.582672161532939e-06,3.345321128620237e-05,6.068036567504452e-06,0.21667149537926603,0.21814386989391787,0.010171976355143181,0.01038075735834288,True
3test_UN,1350.0,1.1,30000000000000.0,2.940444421048613e+23,6.352566208895088e+25,2.348744804833385e+25,3.0057921490866804e+21,2.871039944107975e+19,9.383866750753965,44.83118162440226,1.0403825320521891,1.083598515743262,2.1239810477954513,236611827.04583463,236576249.31871822,49524787.99662782,49519105.22009578,1.0001503858786285,1.0001147592733508,0.32539372122970134,70.29839242236964,25.991540829433973,3.3846730269667007,3.0585848066171955e+24,9.036573938600678e+25,8.730715457938958e+25,1.0276181088861276,88952650928087.84,4.733566045711714e-05,1.2226607088240044e-06,0.0,0.0,0.0,0.0,0.0,0.0,9.306398766906381e-20,2.3544547917058354e-13,1.2e+19,3.371658680861955e-05,6.11168750414513e-06,5.505955403103066e-06,3.6686931824474216e-06,2.606280354533162e-10,4.485567006908957e-12,4.320912157969715e-29,3.744661621683528e+19,3.723561863118338e+19,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,2.0,5.639876690638052e-22,1.4771633184943077e-106,0.0,9.25e-20,5.639876690638052e-22,9.25e-20,1.5872555598488976e-87,1.001375772996815e-23,2.354454791605698e-13,1.001375772996815e-23,2.354454791605698e-13,1.32e-19,1.0300645387285054e-07,3.4866702367166718,27426015339098.227,1.5121584559484186e-06,4.599529048196711e-06,1.5121584559484186e-06,4.599529048196711e-06,3.371658680861955e-05,6.11168750414513e-06,0.21830533568802013,0.2212871185955387,0.01040382532052189,0.01083598515743262,True
