number,value,params_Dg_dislocation_scale,params_Dv_dislocation_scale,user_attrs_Dg_dislocation_scale,user_attrs_Dv_dislocation_scale,user_attrs_score_Nd_lowT,user_attrs_score_Rd_lowT,user_attrs_score_gas_partition,user_attrs_score_guard,user_attrs_score_matrix_lowT,user_attrs_score_pressure_lowT,user_attrs_score_swelling_d_lowT,user_attrs_score_total,state
0,14.862644304047954,10.0,10.0,10.0,10.0,1.4535604203937151,0.1510307954388752,0.6423281523674411,4.0000596640687105,4.402669144518875,0.0,1.6471270861736482,14.862644304047954,COMPLETE
1,10.789666141426551,3.884454201317488,11.512602535527357,3.884454201317488,11.512602535527357,1.7585577691561542,0.6171395074188696,0.34965606804023425,1.9163812428956404,4.3378313009966405,0.0,0.27216276741750245,10.789666141426551,COMPLETE
2,9.541076989865557,2.415692071372649,1.3671013632791402,2.415692071372649,1.3671013632791402,1.8184022624336014,1.0083118724919191,0.8398019256061527,0.0,4.332509417470339,0.0,0.4760683009932643,9.541076989865557,COMPLETE
3,30.247104942745487,37.4947895203225,20.543150297993378,37.4947895203225,20.543150297993378,1.0805670035309363,0.021286424615213167,2.6329127730088415,5.367844627760232,4.959380619634367,0.0,11.982501162320162,30.247104942745487,COMPLETE
4,21.896608582415734,18.838303614566897,14.164648032416936,18.838303614566897,14.164648032416936,1.1902973125942706,0.0427212911998714,1.9313955752268328,4.864682627495097,4.61468278867926,0.0,5.691799166160353,21.896608582415734,COMPLETE
5,11.38119334558231,1.19708732485571,5.195498322882532,1.19708732485571,5.195498322882532,1.8591069875352204,1.685888250844213,1.777351376424,0.0,4.32994025315608,0.0,0.7374827732197218,11.38119334558231,COMPLETE
6,18.748019763509152,77.86931846429715,1.318528011572143,77.86931846429715,1.318528011572143,1.2866448785770521,0.08422483119169173,2.8359715754980184,2.2663386849739684,5.198682541537398,0.1116417119462504,3.441318753756912,18.748019763509152,COMPLETE
7,41.456281281812316,53.46680182656845,56.830444421298964,53.46680182656845,56.830444421298964,1.0148925094747185,0.016539156686999946,2.758129579806458,6.628017136287662,5.095710823961198,0.0,21.314138093838924,41.456281281812316,COMPLETE
8,11.233204955809382,1.2658648223507791,20.176100426360538,1.2658648223507791,20.176100426360538,1.8571024114661032,1.623986026658015,1.7030597271953531,0.0,4.329914224079699,0.0,0.7182871301321981,11.233204955809382,COMPLETE
9,18.02491866515375,12.691201434260103,15.668466972045499,12.691201434260103,15.668466972045499,1.3340279820660093,0.08749539445201783,1.10232016536639,4.809405633585562,4.457796399584678,0.0,3.1934441201477513,18.02491866515375,COMPLETE
10,9.385296391383937,5.078426695255548,1.3394905206622925,5.078426695255548,1.3394905206622925,1.7038809986015717,0.48920757944900045,0.21515756050794071,0.9882206537103905,4.344038172449599,0.0,0.22720011399386864,9.385296391383937,COMPLETE
11,9.624243251311457,5.55095892183547,1.5086663931464626,5.55095892183547,1.5086663931464626,1.6811882121674002,0.437150174626388,0.20176043592293902,1.2189736343177573,4.347308417733338,0.0,0.2323307910287446,9.624243251311457,COMPLETE
12,10.087489251065438,1.9602489789739577,1.0039500468448432,1.9602489789739577,1.0039500468448432,1.834769219119849,1.1973323147451294,1.109982520165923,0.0,4.3314397287235025,0.0,0.5694789755125741,10.087489251065438,COMPLETE
13,11.370248842567644,7.633975548260269,2.892138848470781,7.633975548260269,2.892138848470781,1.5766436977935876,0.2702052708404928,0.3133305552209628,2.389483023199585,4.367283994745472,0.0,0.497633092370788,11.370248842567644,COMPLETE
14,11.788527519454838,12.619305728376895,1.0698722627821893,12.619305728376895,1.0698722627821893,1.4271829943749232,0.16484080123221465,1.0653716907801238,1.5441707104549809,4.452639313593673,0.00019650745413988556,0.8706852476207243,11.788527519454838,COMPLETE
15,11.320141263048994,4.1269755555610805,60.683254450709995,4.1269755555610805,60.683254450709995,1.747867512484215,0.5684512205943016,0.3076323652013083,2.4370276531254165,4.338979356072111,0.0,0.2578741135486515,11.320141263048994,COMPLETE
