label,f_n,K_d,rho_d,fission_rate,Dv_scale,Dg_scale,b_scale,gb_scale,gd_scale,coalescence_d_scale,capture_scale,D2_xe_scale,Dg_D1_scale,Dg_D3_scale,Dv_D1_scale,Dv_D2_scale,b_bulk_scale,b_dislocation_scale,gd_bubble_scale,gd_line_scale,gd_line_alpha,family,dt_h,n_modes,use_full_exp,score_total,score_swd,score_swig_diag,score_Nd,score_Rd,score_Nd_drop,score_pressure,score_fdot_prior,score_rizk_prior,score_partition,score_qgb,score_radius_guard,score_radius_saturation,score_base_highT_guard,swD_1p3_1600K,swB_1p3_1600K,Rd_1p3_1600K,Nd_1p3_1600K,Nd_1p3_1400K,Nd_1p3_1725K,Nd_drop_1725_over_1400_log10,p_d_over_eq_1p3_1600K,p_b_over_eq_1p3_1600K,swD_3p2_1600K,swB_3p2_1600K,bulk_gas_1p3_1600K,disl_gas_1p3_1600K,qgb_gas_1p3_1600K,bulk_gas_3p2_1600K,disl_gas_3p2_1600K,qgb_gas_3p2_1600K,max_f_cap_step_3p2_1600K,capture_fraction_sum_3p2_1600K,capture_raw_sum_3p2_1600K,bulk_gas_1p1_1200,disl_gas_1p1_1200,qgb_gas_1p1_1200,matrix_gas_1p1_1200,bulk_gas_1p1_1500,disl_gas_1p1_1500,qgb_gas_1p1_1500,matrix_gas_1p1_1500,bulk_gas_1p1_1600,disl_gas_1p1_1600,qgb_gas_1p1_1600,matrix_gas_1p1_1600,bulk_gas_1p1_2000,disl_gas_1p1_2000,qgb_gas_1p1_2000,matrix_gas_1p1_2000,bulk_gas_1p1_2200,disl_gas_1p1_2200,qgb_gas_1p1_2200,matrix_gas_1p1_2200,bulk_gas_3p2_1200,disl_gas_3p2_1200,qgb_gas_3p2_1200,matrix_gas_3p2_1200,bulk_gas_3p2_1500,disl_gas_3p2_1500,qgb_gas_3p2_1500,matrix_gas_3p2_1500,bulk_gas_3p2_1800,disl_gas_3p2_1800,qgb_gas_3p2_1800,matrix_gas_3p2_1800,bulk_gas_3p2_2000,disl_gas_3p2_2000,qgb_gas_3p2_2000,matrix_gas_3p2_2000,bulk_gas_3p2_2200,disl_gas_3p2_2200,qgb_gas_3p2_2200,matrix_gas_3p2_2200,Rd_1p3_1700K,Rd_1p3_1800K,Rd_1p3_1900K,Rd_1p3_2000K,Rd_ratio_2000_over_1800,Rd_ratio_2000_over_1700,Rd_ratio_2000_over_1900,Rd_inc_1600_1700_nm,Rd_inc_1700_1800_nm,Rd_inc_1800_1900_nm,Rd_inc_1900_2000_nm,Rd_inc_1800_2000_nm,Rd2000_max_nm,Rd1900_soft_max_nm,Rd_ratio_max,Rd_post1800_delta_max_nm,Rd_last_increment_factor_max,Rd_1900_2000_ratio_max,Nd_1p3_1800K,swD_1p3_1800K,p_d_over_eq_1p3_1800K,p_b_over_eq_1p3_1800K,bulk_gas_1p3_1800K,disl_gas_1p3_1800K,qgb_gas_1p3_1800K,Nd_1p3_1900K,swD_1p3_1900K,p_d_over_eq_1p3_1900K,p_b_over_eq_1p3_1900K,bulk_gas_1p3_1900K,disl_gas_1p3_1900K,qgb_gas_1p3_1900K,Nd_1p3_2000K,swD_1p3_2000K,p_d_over_eq_1p3_2000K,p_b_over_eq_1p3_2000K,bulk_gas_1p3_2000K,disl_gas_1p3_2000K,qgb_gas_1p3_2000K,bulk_gas_1p1_1600K,disl_gas_1p1_1600K,qgb_gas_1p1_1600K
OAT_Dg_D3_scale_2,2.0147e-06,653390.0,16459000000000.0,6.9386e+19,1.0,1.0,1.0,1.6647,1.0,0.5066,2.3875,1.0,0.5578,2.0,1.4996,1.4996,0.05268,0.05268,3.7672,3.7672,1.0,capture_only,6.0,26,0,1.9150842997687652,0.8016356357990877,2.3191554208271015,0.6327722527854309,0.1240263363361034,0.49342373912618515,0.0,0.14230184744307245,0.24296973101821215,0.034145468998736224,0.0,0.0,0.026295204568910376,0.07749930103044787,3.047679849808,1.2994047843632117,89.66405915148223,1.0093122563153822e+19,1.056123501614713e+19,8.964522933860216e+18,-0.07118752435134756,1.1590790093771355,1.0011624845208116,4.386622252860231,4.631008380592901,62.09567486492251,33.38646239657956,4.376023294484379,79.81457032582013,15.895429209193757,4.234928327358918,0.0004784246042983145,0.13088373294597036,0.13088373294597036,67.27951080737401,28.2000955352681,4.232110882727392,0.28828277463051355,64.8942206691112,30.629657749603645,4.213818836342683,0.26230274494245404,58.20907877620658,37.20582093653099,4.415227465200959,0.16987282206147566,0.8636861558849446,93.14927810074666,5.986183637447096,0.0008521059213004188,0.042675631733412614,93.9583938675146,5.998863996738969,6.650401303769856e-05,84.33013099925968,11.525801588710062,4.0487313103996145,0.09533610163063327,82.98015224483609,12.912287781964247,4.021659142192354,0.08590083100730198,41.81559207907732,52.01717188429829,6.161702301962316,0.0055337346620674965,4.130346366119527,86.79605119997963,9.072931534746397,0.0006708991544511376,0.5151492131891794,89.86605523030576,9.618736972174062,5.858433101407309e-05,119.86467948783333,161.8871808805068,208.4635358020245,263.9750547075841,1.6306112273486992,2.202275564707771,1.26628886770048,30.200620336351093,42.022501392673476,46.57635492151769,55.5115189055596,102.08787382707729,800.0,700.0,2.8,350.0,0.75,1.35,7.716876240997896e+18,13.714106744060622,1.1060988820411082,1.0017313822464644,19.783663913167725,74.51190218721801,5.691892985516615,5.827887441267873e+18,22.115158871229152,1.0976034243504167,1.0019591093632652,5.0083471882987745,88.90415662616924,6.084256688270088,3.9874656312264044e+18,30.723750367460458,1.0904683128819006,1.0012119344367827,0.8714573938478567,92.9221818583876,6.205543001874578,58.20907877620658,37.20582093653099,4.415227465200959
OAT_Dg_D3_scale_1,2.0147e-06,653390.0,16459000000000.0,6.9386e+19,1.0,1.0,1.0,1.6647,1.0,0.5066,2.3875,1.0,0.5578,1.0,1.4996,1.4996,0.05268,0.05268,3.7672,3.7672,1.0,capture_only,6.0,26,0,1.9206736308145083,0.8121464369117491,2.1031896320215004,0.6331193981288908,0.1359701089280954,0.4931187646443383,0.0,0.14230184744307245,0.24059798988060233,0.019814241130655365,0.0,0.0,0.02620304564661437,0.07750045353527119,2.7993784717584984,1.3154725885235294,87.0040472207151,1.014739679073609e+19,1.0584439366939615e+19,8.982274897273396e+18,-0.07128151714023417,1.1310207176946676,1.001073073141248,3.9400899228174358,4.542920982872655,64.73951617098983,30.82167498173627,4.261532470504,81.26091698905987,14.554955748617486,4.115112409858312,0.0004551901253762135,0.11662169856321207,0.11662169856321207,72.11899464692142,23.420927934528184,3.9780161444000037,0.4820612741503969,69.5654418656989,26.024589792066504,3.994156073334693,0.4158122688999246,61.08870679318754,34.39671671536893,4.302388773487965,0.21218771795556746,0.8640363098341878,93.14893814398258,5.986173095118256,0.0008524510649908359,0.042676937815668024,93.95839261730568,5.998863938835023,6.650604362408585e-05,86.47327957531037,9.570455939910794,3.7960323602422923,0.16023212453657204,85.11748298380017,10.940814405564417,3.8045834050078002,0.13711920562759786,41.94153536127777,51.89845891070461,6.154434242692374,0.00557148532525216,4.131524920627318,86.79497777705612,9.072826160759334,0.0006711415572298962,0.5151644602284613,89.86604105602983,9.61873589765867,5.8586083053489255e-05,119.1063451067008,161.755602627837,208.44730091810078,263.9732015849745,1.631926173168277,2.2162816040446502,1.2663786022765051,32.102297885985706,42.64925752113619,46.69169829026379,55.525900666873724,102.21759895713751,800.0,700.0,2.8,350.0,0.75,1.35,7.72230423393453e+18,13.690317262749549,1.1055179968169386,1.001728356226364,19.89582683706009,74.40300289176739,5.688533426476241,5.828516944613079e+18,22.11238059576129,1.0975600151102527,1.0019589147294978,5.016483694641669,88.89627095567235,6.084000429121556,3.987517493146615e+18,30.723502915572354,1.090465579494263,1.0012119545537024,0.8718125684930403,92.92184133917931,6.2055280168620595,61.08870679318754,34.39671671536893,4.302388773487965
OAT_Dv_D2_scale_4,2.0147e-06,653390.0,16459000000000.0,6.9386e+19,1.0,1.0,1.0,1.6647,1.0,0.5066,2.3875,1.0,0.5578,0.5578,1.4996,4.0,0.05268,0.05268,3.7672,3.7672,1.0,capture_only,6.0,26,0,1.9258735520896435,0.8169133005985176,2.024994554132092,0.633447317663928,0.1373083888701186,0.49352097436432896,0.0,0.14230184744307245,0.2449404137795316,0.017531946287667428,0.0,0.0,0.026165671524914717,0.07750330081694597,2.6768886296973453,1.3218969370373626,85.64093264309851,1.01741357776816e+19,1.0571536536878488e+19,8.989550385299553e+18,-0.07040014419606512,1.1133449049997404,1.0010204569846695,3.7088635036387587,4.493118007621892,66.12592812513226,29.474091785457734,4.199088389913173,82.02446233124729,13.846374965842543,4.0508473416583675,0.00044427126564046166,0.10930662757912678,0.10930662757912678,75.12504197503125,20.354000260904577,3.7777942891237144,0.7431634749404449,72.53829285581003,23.03389948346534,3.8348989598446184,0.5929087008800056,62.604390979908686,32.91471097621162,4.240526660212613,0.24037138366709246,0.8641889231893353,93.14879003968697,5.986168433207669,0.0008526039160181389,0.04267750209108084,93.95839207510981,5.99886391585605,6.650694308268126e-05,87.75313721193716,8.393179904040355,3.605867599456182,0.24781528456631144,86.48873501470314,9.661146006369002,3.6536873152017977,0.19643166372607246,41.98779483562662,51.85526289333856,6.151353077822922,0.0055891932119106445,4.13204423407414,86.79449419880405,9.072790318041204,0.0006712490806185888,0.5151710846729579,89.86603478599511,9.618735542473898,5.858685801748514e-05,118.78587345951928,161.70676108729683,208.4435170847979,263.97396115524765,1.6324237736277596,2.222267290438426,1.2664052346029988,33.14494081642077,42.920887627777546,46.736755997501064,55.53044407044976,102.26720006795082,800.0,700.0,2.8,350.0,0.75,1.35,7.724324545485145e+18,13.681498197585103,1.1051902572889103,1.0017269668466389,19.944820247261173,74.35546185727691,5.687037952705195,5.828665819765192e+18,22.111741210370344,1.0975298717370459,1.0019587880729122,5.019961816841358,88.89290295369985,6.083887893176753,3.987496830270117e+18,30.723608925387087,1.0904631687179247,1.0012119175221383,0.8719578756024675,92.92170213399615,6.205521767991175,62.604390979908686,32.91471097621162,4.240526660212613
OAT_Dg_D1_scale_0.3,2.0147e-06,653390.0,16459000000000.0,6.9386e+19,1.0,1.0,1.0,1.6647,1.0,0.5066,2.3875,1.0,0.3,0.5578,1.4996,1.4996,0.05268,0.05268,3.7672,3.7672,1.0,capture_only,6.0,26,0,1.9475199345320444,0.8216740844005993,1.7532506927725744,0.6401437278429782,0.1617008860643672,0.5036697171408637,0.0,0.14230184744307245,0.24768455564263536,0.0,0.0,0.0,0.027697200112095654,0.07942262951645938,2.318249897404909,1.333292067440151,81.42362417041298,1.0252277507159802e+19,1.060282729214536e+19,9.278504339923569e+18,-0.0579437120874122,1.0856855311570652,1.0009280285169124,3.1079706536629184,4.360786273071953,69.56687426746207,26.1133778037058,4.0407853986549505,83.85703256811078,12.14258253415691,3.8912038131978868,0.0004145634972599537,0.09066934222643655,0.09066934222643655,75.45439299069426,20.021376476264074,3.7798156706027597,0.744414862438922,73.3262733129957,22.22987723087261,3.797805208290647,0.6460442478410359,66.37220580661428,29.211504146223444,4.082799409810728,0.33349063735155093,1.5788126206136561,92.45489705654046,5.964733581123089,0.0015567417228065554,0.07940822871948587,93.9232293816367,5.99723889069475,0.00012349894905338093,87.95016947644997,8.192951420087478,3.608395357999245,0.24848374546332813,86.84614027030315,9.320605133966318,3.618958333383183,0.21429626234733104,50.47397908059253,43.81649439669916,5.701062456912933,0.008464065795401123,6.115416810170361,84.99927258491647,8.884169074530693,0.0011415303824715115,0.9323888092949253,89.47826757026134,9.589236666204284,0.00010695423946913784,110.83825693614638,152.41664642344827,201.6374311219403,260.22950742878055,1.7073562077058402,2.347831106534796,1.290581346830424,29.4146327657334,41.57838948730189,49.220784698492025,58.592076306840255,107.81286100533228,800.0,700.0,2.8,350.0,0.75,1.35,8.102469001830239e+18,12.017197333375488,1.0704766925953346,1.0015381037235829,27.497968709747102,67.0234541401499,5.458359826318536,6.095792881945846e+18,20.933038843518233,1.0805635622420258,1.0018803336043045,8.422546980185764,85.59453323445774,5.977346836902992,4.0936717278652503e+18,30.21838443319901,1.0850297760292087,1.0012518810302438,1.6001553293978565,92.22317867559988,6.175178131785562,66.37220580661428,29.211504146223444,4.082799409810728
OAT_capture_scale_1,2.0147e-06,653390.0,16459000000000.0,6.9386e+19,1.0,1.0,1.0,1.6647,1.0,0.5066,1.0,1.0,0.5578,0.5578,1.4996,1.4996,0.05268,0.05268,3.7672,3.7672,1.0,capture_only,6.0,26,0,1.954403349603324,0.8462385230214801,1.9191583146530236,0.6348642650316493,0.1490597730954194,0.4952818568187002,0.0,0.14230184744307245,0.2418104708647707,0.004399795112189255,0.0,0.0,0.026925643718256093,0.07834271807884872,2.587254076747098,1.3384048083734361,84.63056644621666,1.018987197456548e+19,1.0602852145383127e+19,9.059044297932268e+18,-0.06834032197621136,1.1058238571908978,1.0010197955025024,3.516492260565804,4.512001136665998,66.99303782964427,28.617925235623197,4.189899037950409,82.50904634410593,13.373599122167425,4.039540668627251,0.0001853367506379696,0.04410214784557361,0.04410214784557361,75.57211239734366,19.905668179531332,3.7787036959481703,0.7435157271768393,73.01533779178536,22.56238951581559,3.831686032178474,0.5905866602205864,63.43399361708776,32.09553755716314,4.23211257740339,0.2383562483457451,1.2346531610691691,92.7833507328965,5.98114991501587,0.0008461910184600636,0.08072629562185772,93.92089998518195,5.998307282411995,6.643678419641444e-05,88.03210231295614,8.112610776806758,3.607084016347323,0.24820289388978098,86.78184914609416,9.37291890281794,3.6494656465502464,0.19576630453765956,53.47859348735198,40.582247059098876,5.934353594121762,0.004805859427392199,10.756677681872903,80.49118458032828,8.751557911445737,0.0005798263530819394,1.7644681805472329,88.66763856953551,9.567836495335552,5.675458170475586e-05,116.85864742645022,158.56273891873317,205.1084121434904,261.0903164542446,1.6466057425260485,2.2342404452231275,1.272938119532563,32.22808098023356,41.704091492282956,46.54567322475722,55.9819043107542,102.52757753551143,800.0,700.0,2.8,350.0,0.75,1.35,7.844435128715588e+18,13.099469318670351,1.087166951908564,1.0017345813232381,22.932353142766953,71.40862334048245,5.646859457516628,5.953874931928478e+18,21.519824955497395,1.0857303503919857,1.002228768552428,6.9834195705683815,86.95786983774703,6.0555772034184905,4.0674193741341005e+18,30.32353694545235,1.0845885839637666,1.0022702978791576,1.594199931904575,92.21092855583262,6.194066988975225,63.43399361708776,32.09553755716314,4.23211257740339
2D_cap1_coal0.5066,2.0147e-06,653390.0,16459000000000.0,6.9386e+19,1.0,1.0,1.0,1.6647,1.0,0.5066,1.0,1.0,0.5578,0.5578,1.4996,1.4996,0.05268,0.05268,3.7672,3.7672,1.0,capture_only,6.0,26,0,1.954403349603324,0.8462385230214801,1.9191583146530236,0.6348642650316493,0.1490597730954194,0.4952818568187002,0.0,0.14230184744307245,0.2418104708647707,0.004399795112189255,0.0,0.0,0.026925643718256093,0.07834271807884872,2.587254076747098,1.3384048083734361,84.63056644621666,1.018987197456548e+19,1.0602852145383127e+19,9.059044297932268e+18,-0.06834032197621136,1.1058238571908978,1.0010197955025024,3.516492260565804,4.512001136665998,66.99303782964427,28.617925235623197,4.189899037950409,82.50904634410593,13.373599122167425,4.039540668627251,0.0001853367506379696,0.04410214784557361,0.04410214784557361,75.57211239734366,19.905668179531332,3.7787036959481703,0.7435157271768393,73.01533779178536,22.56238951581559,3.831686032178474,0.5905866602205864,63.43399361708776,32.09553755716314,4.23211257740339,0.2383562483457451,1.2346531610691691,92.7833507328965,5.98114991501587,0.0008461910184600636,0.08072629562185772,93.92089998518195,5.998307282411995,6.643678419641444e-05,88.03210231295614,8.112610776806758,3.607084016347323,0.24820289388978098,86.78184914609416,9.37291890281794,3.6494656465502464,0.19576630453765956,53.47859348735198,40.582247059098876,5.934353594121762,0.004805859427392199,10.756677681872903,80.49118458032828,8.751557911445737,0.0005798263530819394,1.7644681805472329,88.66763856953551,9.567836495335552,5.675458170475586e-05,116.85864742645022,158.56273891873317,205.1084121434904,261.0903164542446,1.6466057425260485,2.2342404452231275,1.272938119532563,32.22808098023356,41.704091492282956,46.54567322475722,55.9819043107542,102.52757753551143,800.0,700.0,2.8,350.0,0.75,1.35,7.844435128715588e+18,13.099469318670351,1.087166951908564,1.0017345813232381,22.932353142766953,71.40862334048245,5.646859457516628,5.953874931928478e+18,21.519824955497395,1.0857303503919857,1.002228768552428,6.9834195705683815,86.95786983774703,6.0555772034184905,4.0674193741341005e+18,30.32353694545235,1.0845885839637666,1.0022702978791576,1.594199931904575,92.21092855583262,6.194066988975225,63.43399361708776,32.09553755716314,4.23211257740339
OAT_Dv_D2_scale_2,2.0147e-06,653390.0,16459000000000.0,6.9386e+19,1.0,1.0,1.0,1.6647,1.0,0.5066,2.3875,1.0,0.5578,0.5578,1.4996,2.0,0.05268,0.05268,3.7672,3.7672,1.0,capture_only,6.0,26,0,1.9554876416952216,0.8444310099963552,1.9832190588325918,0.6332758219684672,0.14278789017434937,0.4928975185009414,0.0,0.14230184744307245,0.24276297949472977,0.017508839892635637,0.0,0.0,0.026162543856579772,0.07750143118885333,2.665869870758145,1.3221794346504108,85.51653724317588,1.0176537002606197e+19,1.0594424116857053e+19,8.990202014755372e+18,-0.071307903982611,1.1162496027178168,1.0010268603099433,3.701290568965919,4.4929990552599985,66.1398551763849,29.460182023994793,4.199081281662218,82.02285781117571,13.847996477522562,4.050827426283212,0.0004431257379335684,0.10908909942117559,0.10908909942117559,75.36309458739798,20.11387809759642,3.7791194994192967,0.7439078155863215,72.62142216679104,22.950760223916102,3.8349989653637975,0.5928186439290607,62.61856891311923,32.900539319603155,4.240531635787059,0.2403601314905488,0.8641907751027176,93.14878818998135,5.98616843111133,0.000852603804613623,0.04267751272909309,93.95839206657396,5.9988639137550335,6.650694188786981e-05,87.89568042768671,8.24868699533385,3.607418260856469,0.24821431612298217,86.52138275747764,9.628576774731137,3.653617968389598,0.1964224994016225,41.99571867849385,51.84746418734201,6.151228596528137,0.00558853763599176,4.132045886345602,86.7945011660275,9.072781698766232,0.0006712488606634691,0.5151711791250638,89.86603478751717,9.618735446499914,5.8586857874524745e-05,118.76003861876458,161.69881341665211,208.44078774053608,263.9726977681202,1.6324961958003812,2.222740080234459,1.2664157559062261,33.24350137558871,42.93877479788753,46.741974323883966,55.53191002758413,102.2738843514681,800.0,700.0,2.8,350.0,0.75,1.35,7.724647618626975e+18,13.680053164894849,1.1052455258171452,1.0017269998145961,19.945668379022596,74.35461715559603,5.687034650454326,5.82876993295803e+18,22.11126758348677,1.0975385953901877,1.0019588203850576,5.02006448498616,88.89280113321482,6.08388705484581,3.9875317122206234e+18,30.7234365563116,1.0904641296632653,1.001211954262007,0.8719673488120514,92.92169296670434,6.205521462970486,62.61856891311923,32.900539319603155,4.240531635787059
OAT_Dv_D1_scale_1,2.0147e-06,653390.0,16459000000000.0,6.9386e+19,1.0,1.0,1.0,1.6647,1.0,0.5066,2.3875,1.0,0.5578,0.5578,1.0,1.4996,0.05268,0.05268,3.7672,3.7672,1.0,capture_only,6.0,26,0,1.9578806391594297,0.8478693539344107,1.8968418954174715,0.6352634927478611,0.15148013972113578,0.49570387574446223,0.0,0.14230184744307245,0.24203281495845846,0.008922514077723485,0.0,0.0,0.022576544329150756,0.061140275006593,2.5229789393464177,1.3258999803122296,83.87506557017842,1.0207664744746541e+19,1.0606186782008764e+19,9.07515076768865e+18,-0.06770542225676356,1.1560699084856045,1.001123938588011,3.5818731249323847,4.492732596038983,66.32369578043767,29.27653882092497,4.1990151422461786,82.02912992670696,13.842027300692878,4.050502786329545,0.0004278364766359054,0.1056501390142819,0.1056501390142819,75.45444408134559,20.02132614739812,3.7798198240544827,0.7444099472018282,72.78058224169287,22.79153381303411,3.8352200542095782,0.5926638910634311,62.80498081330134,32.71417800150519,4.240624740554673,0.24021644463877959,0.8808772008246496,93.1320974029322,5.9861737661776955,0.0008516300654661359,0.04375930712254896,93.9575335433204,5.998640764833346,6.638472371946121e-05,87.95020756412922,8.192910532685412,3.6083996846093207,0.24848221857607722,86.5928166684333,9.55728099822527,3.653503002858778,0.19639933048266206,44.940215060148894,48.95027077687703,6.104159297725644,0.0053548652484356075,4.187294787939914,86.81845558255363,8.993581502241014,0.0006681272654601278,0.5218698790839694,89.86961716776254,9.608454376012924,5.857714057833664e-05,116.55788600472223,158.09459336444874,202.83850860511782,254.0653857715761,1.6070466444471632,2.1797357045518386,1.2525500582642608,32.682820434543814,41.536707359726506,44.74391524066908,51.22687716645828,95.97079240712736,800.0,700.0,2.8,350.0,0.75,1.35,7.870653651169872e+18,13.027181517554801,1.1315792833295861,1.0017427140617046,20.32802266098549,73.9736660812995,5.685687096395895,6.044814810826601e+18,21.131135539995725,1.1167902830927878,1.0020202837178542,5.232167735875221,88.68232579589606,6.082277663724223,4.270758403534089e+18,29.337973636296265,1.0996612928985172,1.0014784047622436,0.9487805284032208,92.84733172279672,6.203076479812522,62.80498081330134,32.71417800150519,4.240624740554673
OAT_Dv_D1_scale_0.75,2.0147e-06,653390.0,16459000000000.0,6.9386e+19,1.0,1.0,1.0,1.6647,1.0,0.5066,2.3875,1.0,0.5578,0.5578,0.75,1.4996,0.05268,0.05268,3.7672,3.7672,1.0,capture_only,6.0,26,0,1.9608862945022234,0.8502275328681833,1.8430857847541358,0.6368383310167528,0.15652792699012433,0.498054007956673,0.0,0.14230184744307245,0.24215874723019068,0.004235472760140587,0.0,0.0,0.020567584404678405,0.048045112599383204,2.416201019151374,1.3287487436394538,82.61204185377566,1.0230912837314626e+19,1.0608123476134158e+19,9.14048190981751e+18,-0.06466947271430251,1.1887231054436467,1.0012172348748891,3.472869261477798,4.493712670505514,66.46510450537478,29.13524290896422,4.198999038105809,82.05974754573937,13.811705362926432,4.050205805989221,0.0004159686351321531,0.10250700822916631,0.10250700822916631,75.45449551371587,20.021273943371256,3.7798202629518243,0.7444102799610672,72.8714534355497,22.700595001998032,3.8353645587654874,0.5925870036867827,62.94776761442485,32.571389861266184,4.240730661603713,0.24011186270525917,0.8947046202811781,93.11822573088588,5.986218778534127,0.0008508702988162703,0.04465713022672313,93.95683337213559,5.998443214381652,6.628325604389557e-05,87.9502381583572,8.192879120573155,3.6084003256259316,0.24848239544372425,86.63752124859356,9.51263938346522,3.6534538956351437,0.1963854723060969,46.54753540854773,47.36977752422193,6.077451575240888,0.005235491989453764,4.290653969384598,86.78227972411575,8.926402428658653,0.0006638778410090542,0.524348948557187,89.87649167241848,9.59910080530236,5.85737219756266e-05,114.81738870584068,155.36672633315385,198.77664750315145,247.43076928228857,1.5925595854528158,2.1549938739348975,1.244767795363717,32.20534685206502,40.549337627313164,43.4099211699976,48.654121779137114,92.06404294913472,800.0,700.0,2.8,350.0,0.75,1.35,7.980366086412633e+18,12.536764524129584,1.1532873630976757,1.0017561893303935,20.61492549939462,73.68760431578134,5.684885193045423,6.204186252021668e+18,20.411246206697527,1.1325538756544733,1.002059336191081,5.3876198133070305,88.5278739926745,6.081289997536772,4.471374034754951e+18,28.372050619777145,1.107874750682507,1.0016336400148722,1.0030020116831146,92.79477797754106,6.201413274566776,62.94776761442485,32.571389861266184,4.240730661603713
base_B_v6_mapped,2.0147e-06,653390.0,16459000000000.0,6.9386e+19,1.0,1.0,1.0,1.6647,1.0,0.5066,2.3875,1.0,0.5578,0.5578,1.4996,1.4996,0.05268,0.05268,3.7672,3.7672,1.0,capture_only,6.0,26,0,1.966876895663147,0.8548321593316275,1.9676426433283143,0.6332132629955832,0.1450373091968303,0.492677946477886,0.0,0.14230184744307245,0.24228258240684322,0.017503058000417775,0.0,0.0,0.026161760147199106,0.07750096338839327,2.6630341816433054,1.3222522388134528,85.48447491770862,1.017715493914963e+19,1.0602550470337917e+19,8.990365493351476e+18,-0.07163300061515443,1.1170007669941624,1.0010285307593065,3.6992978757317863,4.492971076686433,66.14344505629144,29.456596547427,4.1990794975864185,82.02250005556743,13.848358783749903,4.050822156795689,0.0004428296293881784,0.10903183958718043,0.10903183958718043,75.454341318782,20.02143045138101,3.7798189473015524,0.7444092825354525,72.64581583601343,22.926360495461246,3.835030293289748,0.5927933752355927,62.62222184868329,32.89688794552011,4.240532966122277,0.2403572396743469,0.8641912384731455,93.1487877271634,5.986168430586726,0.0008526037767390216,0.04267751539073481,93.9583920644384,5.998863913229271,6.650694158892676e-05,87.95014643600649,8.192973294516385,3.6083984041864237,0.2484818652907169,86.53164392058515,9.618338257614518,3.6535985323973073,0.196419289403005,41.99770145448927,51.845512725410025,6.151197446485844,0.005588373614860968,4.132046299925697,86.79450290915277,9.072779542115887,0.0006712488056236294,0.5151712027569334,89.8660347878985,9.61873542248672,5.858685783875636e-05,118.7535457580169,161.69682348785386,208.44010476670192,263.9723816609017,1.6325143312461574,2.22285894687133,1.2664183889005174,33.269070840308274,42.943277729836964,46.74328127884806,55.53227689419978,102.27555817304784,800.0,700.0,2.8,350.0,0.75,1.35,7.724728508626106e+18,13.679691362648471,1.1052593657609515,1.0017270080698952,19.945880729495432,74.354405663725,5.687033823854743,5.828795985764471e+18,22.111149065480156,1.0975407784378002,1.001958828470264,5.020090176116265,88.89277565419056,6.08388684507427,3.987540439947713e+18,30.723393428339925,1.0904643701056524,1.0012119634544354,0.8719697190802007,92.92169067297915,6.20552138665192,62.62222184868329,32.89688794552011,4.240532966122277
