data_set,w_r,w_X,k,beta,rho_c,cutoff_um,J,rmse_theta,rmse_radius,rmse_fraction,all_rmse_theta,all_rmse_radius,all_rmse_fraction,all_error_sum,pareto_all_data
B,0.05,1.0,0.099748,22.263,2278200000000000.0,0.020951,0.53937,1.6679,1.8364e-07,0.17115,1.6679,1.8364e-07,0.17115,2.4513,True
B,0.05,3.0,0.098446,21.774,2278700000000000.0,0.020949,0.97885,1.6633,1.8747e-07,0.17027,1.6633,1.8747e-07,0.17027,2.4796,True
B,0.2,0.0,0.32841,28.714,3294600000000000.0,0.017422,0.44879,1.8934,1.1682e-07,0.18942,1.8934,1.1682e-07,0.18942,2.0042,True
B,0.2,0.1,0.32888,28.543,3399600000000000.0,0.017151,0.4757,1.8831,1.1773e-07,0.18821,1.8831,1.1773e-07,0.18821,2.0057,True
B,0.2,0.3,0.32611,28.311,3545800000000000.0,0.016793,0.52873,1.8685,1.1916e-07,0.18672,1.8685,1.1916e-07,0.18672,2.0097,True
B,0.2,1.0,0.45364,26.762,4572200000000000.0,0.014789,0.70949,1.8662,1.2046e-07,0.18413,1.8662,1.2046e-07,0.18413,2.0128,True
B,0.2,3.0,0.41487,26.661,4771400000000000.0,0.014477,1.2195,1.8486,1.2272e-07,0.18353,1.8486,1.2272e-07,0.18353,2.0253,True
B,1.0,0.0,0.14085,36.457,1368000000000000.0,0.027037,0.92652,2.6009,7.933e-08,0.31416,2.6009,7.933e-08,0.31416,2.2241,True
B,1.0,0.1,0.15729,35.797,1423500000000000.0,0.026504,0.99789,2.5095,8.2656e-08,0.29907,2.5095,8.2656e-08,0.29907,2.1858,True
B,1.0,0.3,0.17362,34.77,1577400000000000.0,0.025179,1.1207,2.3695,8.8285e-08,0.276,2.3695,8.8285e-08,0.276,2.1318,True
B,1.0,1.0,0.28581,31.231,2120000000000000.0,0.021719,1.4352,2.0933,1.0435e-07,0.21842,2.0933,1.0435e-07,0.21842,2.0336,True
B,1.0,3.0,0.57039,26.791,3425200000000000.0,0.017087,2.0003,1.9268,1.161e-07,0.18711,1.9268,1.161e-07,0.18711,2.0009,True
C,0.0,0.0,0.0811,21.06,2210600000000000.0,0.021269,0.2064,1.6548,2.0224e-07,0.16953,1.6548,2.0224e-07,0.16953,2.5986,False
C,0.0,0.1,0.083122,20.996,2241200000000000.0,0.021123,0.23087,1.6553,2.0204e-07,0.1695,1.6553,2.0204e-07,0.1695,2.5969,False
C,0.0,0.3,0.083381,20.881,2250200000000000.0,0.021081,0.27968,1.6566,2.0292e-07,0.16958,1.6566,2.0292e-07,0.16958,2.6049,False
C,0.0,1.0,0.082843,20.702,2260800000000000.0,0.021031,0.45014,1.6594,2.0532e-07,0.16978,1.6594,2.0532e-07,0.16978,2.6262,False
C,0.0,3.0,0.081854,20.586,2280300000000000.0,0.020941,0.93632,1.6628,2.0944e-07,0.16998,1.6628,2.0944e-07,0.16998,2.6621,False
C,0.01,0.0,0.085138,21.517,2216000000000000.0,0.021243,0.23532,1.6533,1.9575e-07,0.16959,1.6533,1.9575e-07,0.16959,2.5442,True
C,0.01,0.1,0.085062,21.365,2217500000000000.0,0.021236,0.26003,1.6535,1.9678e-07,0.16949,1.6535,1.9678e-07,0.16949,2.5526,True
C,0.01,0.3,0.084933,21.162,2220000000000000.0,0.021224,0.30921,1.6545,1.9821e-07,0.16946,1.6545,1.9821e-07,0.16946,2.5646,True
C,0.01,1.0,0.084466,20.846,2229100000000000.0,0.021181,0.48038,1.6572,2.0086e-07,0.16963,1.6572,2.0086e-07,0.16963,2.588,False
C,0.01,3.0,0.083179,20.633,2254200000000000.0,0.021062,0.96744,1.6603,2.0474e-07,0.16989,1.6603,2.0474e-07,0.16989,2.6219,False
C,0.05,0.0,0.38361,26.56,5664800000000000.0,0.013286,0.30592,1.8221,1.2908e-07,0.18347,1.8221,1.2908e-07,0.18347,2.071,True
C,0.05,0.1,0.38502,26.522,5705700000000000.0,0.013239,0.33412,1.8223,1.2918e-07,0.18355,1.8223,1.2918e-07,0.18355,2.0722,False
C,0.05,0.3,0.38692,26.471,5761000000000000.0,0.013175,0.39049,1.8226,1.2931e-07,0.18367,1.8226,1.2931e-07,0.18367,2.0737,False
C,0.05,1.0,0.38985,26.392,5847300000000000.0,0.013077,0.58765,1.8233,1.2952e-07,0.18387,1.8233,1.2952e-07,0.18387,2.0762,False
C,0.05,3.0,0.090594,21.017,2263500000000000.0,0.021019,1.0865,1.6594,1.962e-07,0.16981,1.6594,1.962e-07,0.16981,2.5502,False
C,0.2,0.0,0.50622,27.205,4979800000000000.0,0.014171,0.46349,1.8781,1.2005e-07,0.18458,1.8781,1.2005e-07,0.18458,2.0138,True
C,0.2,0.1,0.50937,27.084,5138900000000000.0,0.01395,0.49248,1.8746,1.2047e-07,0.18437,1.8746,1.2047e-07,0.18437,2.0158,False
C,0.2,0.3,0.51454,26.917,5361200000000000.0,0.013657,0.55008,1.871,1.2102e-07,0.18423,1.871,1.2102e-07,0.18423,2.0191,False
C,0.2,1.0,0.51025,26.682,5741100000000000.0,0.013198,0.75004,1.8637,1.2225e-07,0.1842,1.8637,1.2225e-07,0.1842,2.0273,True
C,0.2,3.0,0.47571,26.538,6007700000000000.0,0.012902,1.3172,1.851,1.2434e-07,0.18414,1.851,1.2434e-07,0.18414,2.0411,False
C,1.0,0.0,0.13462,37.168,1480000000000000.0,0.025994,0.90731,2.5907,8.0829e-08,0.31491,2.5907,8.0829e-08,0.31491,2.2359,True
C,1.0,0.1,0.14776,36.613,1537600000000000.0,0.025502,0.98225,2.5107,8.3653e-08,0.30191,2.5107,8.3653e-08,0.30191,2.2023,False
C,1.0,0.3,0.16882,35.595,1663300000000000.0,0.02452,1.1165,2.382,8.8635e-08,0.27987,2.382,8.8635e-08,0.27987,2.1488,False
C,1.0,1.0,0.28236,31.914,2318500000000000.0,0.020768,1.497,2.0891,1.0516e-07,0.21914,2.0891,1.0516e-07,0.21914,2.0412,True
C,1.0,3.0,0.64192,26.642,4435700000000000.0,0.015015,2.1137,1.9159,1.1801e-07,0.186,1.9159,1.1801e-07,0.186,2.0109,True
