data_set,obs,group,label,rank,relevance,conditions,bu,T,y,w,pred,lev,cook
B,fraction,ZAC,ZAC-Std-73 0.9775 f10,B,3.0,model/model,100.1,666.55,0.35100000000000003,1.0,0.7601424590984986,0.05730915258714187,0.09692482214017926
B,radius,ZAC,ZAC-Std-73 0.9775 ECD50/2,B,3.0,model/model,100.1,666.55,3e-07,1.0,2.1725075159275224e-07,0.02904870906061619,0.006588927840804152
B,theta,ZAC,ZAC-Std-73 0.9825 Theta,B,3.0,model/model,106.0,662.15,5.116399999999999,1.0,9.432070315411758,0.06993450572651648,0.12168680088588307
B,fraction,ZAC,ZAC-Std-73 0.9825 f10,B,3.0,model/model,106.0,662.15,0.40299999999999997,1.0,0.9368967017124176,0.09592338329788916,0.30035094008723306
B,radius,ZAC,ZAC-Std-73 0.9825 ECD50/2,B,3.0,model/model,106.0,662.15,3e-07,1.0,1.835054457231032e-07,0.023527696364554374,0.010457442406035057
B,theta,ZAC,ZAC-Std-73 0.9875 Theta,B,3.0,model/model,113.6,657.55,9.524000000000001,1.0,10.0,0.0,0.0
B,fraction,ZAC,ZAC-Std-73 0.9875 f10,B,3.0,model/model,113.6,657.55,0.9440000000000001,1.0,0.999999999,0.0,0.0
B,radius,ZAC,ZAC-Std-73 0.9875 ECD50/2,B,3.0,model/model,113.6,657.55,3e-07,1.0,1.636562425262897e-07,0.013044695024312363,0.007774351299889235
B,theta,ZAC,ZAC-Std-73 0.9925 Theta,B,3.0,model/model,123.7,652.95,10.0,1.0,10.0,0.0,0.0
B,fraction,ZAC,ZAC-Std-73 0.9925 f10,B,3.0,model/model,123.7,652.95,1.0,1.0,0.999999999,0.0,0.0
B,radius,ZAC,ZAC-Std-73 0.9925 ECD50/2,B,3.0,model/model,123.7,652.95,3e-07,1.0,1.5137478384026356e-07,0.009780515982109227,0.006880793373633358
B,theta,ZAC,ZAC-Std-73 0.9975 Theta,B,3.0,model/model,138.6,648.15,10.0,1.0,10.0,0.0,0.0
B,fraction,ZAC,ZAC-Std-73 0.9975 f10,B,3.0,model/model,138.6,648.15,1.0,1.0,0.999999999,0.0,0.0
B,radius,ZAC,ZAC-Std-73 0.9975 ECD50/2,B,3.0,model/model,138.6,648.15,3.5e-07,1.0,1.4163276674124878e-07,0.00870009750739206,0.012004042630916591
B,theta,Cr,ZAC-Cr-63 0 Theta,B,2.0,model/model,60.2,1124.35,3.8979999999999997,1.0,2.029609041431626,0.010384504360546228,0.002991374730081339
B,fraction,Cr,ZAC-Cr-63 0 f10,B,2.0,model/model,60.2,1124.35,0.016,1.0,0.11440100460351399,0.014243566631194977,0.0012743217063234215
B,radius,Cr,ZAC-Cr-63 0 ECD50/2,B,2.0,model/model,60.2,1124.35,5.5e-07,1.0,7.483324935799828e-07,0.28614718577218046,0.6897862883363182
B,theta,Cr,ZAC-Cr-63 0.3 Theta,B,2.0,model/model,60.2,1076.4499999999998,0.0214,1.0,2.0296090414316255,0.01038450436054646,0.003455836145093575
B,fraction,Cr,ZAC-Cr-63 0.3 f10,B,2.0,model/model,60.2,1076.4499999999998,0.001,1.0,0.11440100460351393,0.014243566631195205,0.0016924421002389772
B,theta,Cr,ZAC-Cr-63 0.5 Theta,B,2.0,model/model,60.2,994.25,0.0109,1.0,2.029609041431625,0.010384504360546441,0.003492068569998653
B,fraction,Cr,ZAC-Cr-63 0.5 f10,B,2.0,model/model,60.2,994.25,0.001,1.0,0.11440100460351389,0.014243566631195177,0.0016924421002389727
B,theta,Cr,ZAC-Cr-63 0.7 Theta,B,2.0,model/model,60.2,877.65,0.0676,1.0,2.029609041431625,0.010384504360546389,0.0032986581860265825
B,fraction,Cr,ZAC-Cr-63 0.7 f10,B,2.0,model/model,60.2,877.65,0.004,1.0,0.11440100460351389,0.014243566631195104,0.0016040801582544912
B,theta,Cr,ZAC-Cr-63 0.9675 Theta,B,2.0,model/model,73.4,680.15,1.4416,1.0,3.2618453738370303,0.00875557016411478,0.0023859717226652143
B,fraction,Cr,ZAC-Cr-63 0.9675 f10,B,2.0,model/model,73.4,680.15,0.07,1.0,0.25131615264855894,0.012009292181576422,0.0036314927911422715
B,radius,Cr,ZAC-Cr-63 0.9675 ECD50/2,B,2.0,model/model,73.4,680.15,3e-07,1.0,4.843659489399639e-07,0.06868986118924238,0.0840659429357379
B,theta,Cr,ZAC-Cr-63 0.9725 Theta,B,2.0,model/model,75.7,675.95,2.7971,1.0,3.5303575289042914,0.008949104076128152,0.000395897911953491
B,fraction,Cr,ZAC-Cr-63 0.9725 f10,B,2.0,model/model,75.7,675.95,0.14300000000000002,1.0,0.2811508365449213,0.012274746658314217,0.0021559950784650114
B,radius,Cr,ZAC-Cr-63 0.9725 ECD50/2,B,2.0,model/model,75.7,675.95,3e-07,1.0,4.505418506844223e-07,0.061692897640209944,0.049592311228209
B,theta,Cr,ZAC-Cr-63 0.9775 Theta,B,2.0,model/model,78.5,671.75,4.136,1.0,3.8828982576583546,0.009501623288909149,5.013754315866923e-05
B,fraction,Cr,ZAC-Cr-63 0.9775 f10,B,2.0,model/model,78.5,671.75,0.239,1.0,0.32032202862870607,0.013032591611621912,0.0007944051953001774
B,radius,Cr,ZAC-Cr-63 0.9775 ECD50/2,B,2.0,model/model,78.5,671.75,3e-07,1.0,4.1297382908990926e-07,0.05562712797207949,0.02486050893368839
B,theta,Cr,ZAC-Cr-63 0.9825 Theta,B,2.0,model/model,82.0,667.45,5.344600000000001,1.0,4.366635482065504,0.010826014979289067,0.0008551690122861736
B,fraction,Cr,ZAC-Cr-63 0.9825 f10,B,2.0,model/model,82.0,667.45,0.392,1.0,0.3740706091183893,0.014849150267941032,4.4159861780356266e-05
B,radius,Cr,ZAC-Cr-63 0.9825 ECD50/2,B,2.0,model/model,82.0,667.45,3e-07,1.0,3.7093485397649794e-07,0.049995553171141335,0.008704706761396971
B,theta,Cr,ZAC-Cr-63 0.9875 Theta,B,2.0,model/model,86.5,663.05,8.512200000000002,1.0,5.06661849717402,0.013950601940703794,0.013765854167604731
B,fraction,Cr,ZAC-Cr-63 0.9875 f10,B,2.0,model/model,86.5,663.05,0.8009999999999999,1.0,0.45184649968600227,0.01913488803978314,0.02176910909268193
B,radius,Cr,ZAC-Cr-63 0.9875 ECD50/2,B,2.0,model/model,86.5,663.05,3.5e-07,1.0,3.237994637154937e-07,0.04410850334916841,0.0010348565972107843
B,theta,Cr,ZAC-Cr-63 0.9925 Theta,B,2.0,model/model,92.4,658.55,9.692200000000001,1.0,6.136421657088428,0.021649198734628426,0.02311024158925318
B,fraction,Cr,ZAC-Cr-63 0.9925 f10,B,2.0,model/model,92.4,658.55,0.9620000000000001,1.0,0.5707135174542697,0.02969441717991294,0.0433558734618022
B,radius,Cr,ZAC-Cr-63 0.9925 ECD50/2,B,2.0,model/model,92.4,658.55,3e-07,1.0,2.71800126548905e-07,0.037222962481319885,0.0009972602108656197
B,theta,Cr,ZAC-Cr-63 0.9975 Theta,B,2.0,model/model,101.1,654.05,10.0,1.0,8.092094402723843,0.04560373458007681,0.01472784546308031
