T,burnup,swelling_b_percent,swelling_d_percent,swelling_ig_percent,Nb,Nd,Rb_nm,Rd_nm,p_b,p_b_eq,p_d,p_d_eq,p_b_over_eq,p_d_over_eq,matrix_gas_percent,bulk_gas_percent,dislocation_gas_percent,qgb_gas_percent,f_cap_step_final,cap_raw_step_final,capture_fraction_sum,capture_raw_sum,capture_bubbles_cumulative,max_f_cap_step,candidate,grid
900.0,1.1,0.0635426450329088,0.49317310929968783,0.5567157543325967,1.4479855120640673e+21,2.6497408984304763e+19,4.714158217902425,35.41895877908613,1112215042.8840606,470921826.842671,7237036944.443222,62678296.49783058,2.3617827407597263,115.46320415223332,4.386692855458565,7.311594980435591,62.934884826690045,25.3668273374158,3.613798456428355e-06,3.613798456428355e-06,0.025755190419229138,0.025755190419229138,9.31889054328101e+18,1.4448806230019435e-05,best_overall_score,GAS_PARTITION
1000.0,1.1,0.07415111261557064,0.5080611781564233,0.5822122907719938,1.434170916121573e+21,2.6323070206785323e+19,4.979006774216073,35.850643315609815,657236099.9772184,445872058.5592156,2907172946.9253254,61923574.99574868,1.4740463937143795,46.94775692658112,4.353589127881013,7.740691332440026,62.64436974055346,25.261349799125504,3.773616346418307e-06,3.773616346418307e-06,0.026998915897337297,0.026998915897337297,9.730205396404486e+18,1.4992114893979574e-05,best_overall_score,GAS_PARTITION
1100.0,1.1,0.0837343947197935,0.5377332594946683,0.6214676542144618,1.4177363493466622e+21,2.5978214411562918e+19,5.204830615848035,36.696360836886655,507071621.3604142,426526848.5856942,1484318858.4961796,60496462.02978493,1.188838693371345,24.535630823590765,4.3198944256648675,8.060992938093316,62.48581689465205,25.13329574158978,4.1055398872362115e-06,4.1055398872362115e-06,0.028942416134106357,0.028942416134106357,1.0425672136329419e+19,1.587473391392198e-05,best_overall_score,GAS_PARTITION
1200.0,1.1,0.09081902647410815,0.5841213666912041,0.6749403931653122,1.3993345094593848e+21,2.5447246631607243e+19,5.371005075642678,37.98317182521349,447998257.4233953,413330460.2648065,898091011.2283552,58446935.66444994,1.0838742858108699,15.36592125863349,4.288518469514909,8.239065398402634,62.485334491232244,24.987081640850224,4.613920397482875e-06,4.613920397482875e-06,0.03166913818469849,0.03166913818469849,1.1396037273200118e+19,1.716941382809206e-05,best_overall_score,GAS_PARTITION
1300.0,1.1,0.09595062417377773,0.6481588982269029,0.7441095224006805,1.3778401265810379e+21,2.4730892243647373e+19,5.498616810646448,39.69943851251469,420256170.1250554,403737899.266162,607016730.1807928,55920186.359819084,1.0409133521745597,10.855055565711757,4.254363732864151,8.314282750219816,62.60561855534801,24.82573496156803,5.3074068120748234e-06,5.3074068120748234e-06,0.035293154260203095,0.035293154260203095,1.265575564342466e+19,1.892661582584223e-05,best_overall_score,GAS_PARTITION
1400.0,1.1,0.09812425476932213,0.7656509897148347,0.8637752444841569,1.320607333325081e+21,2.34654645869676e+19,5.618728136657629,42.70752075397158,401581966.9541526,395107210.3874018,392335197.50510544,51981476.81737183,1.0163873409457709,7.547596211694968,4.121447594002316,8.156220325634951,63.104236479316704,24.618095601046047,6.610892652895698e-06,6.610892652895698e-06,0.041848076372767745,0.041848076372767745,1.4629949682418356e+19,2.2112353391426058e-05,best_overall_score,GAS_PARTITION
1500.0,1.1,0.07959933610133638,1.1813948469406532,1.2609941830419895,9.550158908089273e+20,1.9459297977098826e+19,5.8380805042914785,52.528270055969685,381198979.12788564,380261971.09959584,184963014.3381883,42262956.64476587,1.0024641118478934,4.376480706091238,3.026464269228489,6.322190659856154,66.37400443111625,24.277340639799117,1.19383586030524e-05,1.19383586030524e-05,0.06601063091458334,0.06601063091458334,1.745396466130015e+19,3.366987808647193e-05,best_overall_score,GAS_PARTITION
1600.0,1.1,0.027170456756540527,2.2637135902583343,2.290884047014875,2.562357404505537e+20,1.1837731516193116e+19,6.325908044880187,76.99953946904165,351047223.1832962,350937760.1207365,87275501.0105739,28831341.269158773,1.0003119158865152,3.0271051282630936,0.8264778127744552,2.0325694195030954,74.08980471629329,23.05114805142916,3.100754494189621e-05,3.100754494189621e-05,0.1402635077670486,0.1402635077670486,1.0706968751422271e+19,7.100910096769313e-05,best_overall_score,GAS_PARTITION
1700.0,1.1,0.004471196696487953,4.100045771060715,4.1045169677572035,3.627151149263659e+19,4.933149290088498e+18,6.651554761132142,125.65852156480965,333819635.0114918,333756554.62876177,47192548.71019546,17666927.5776495,1.000189001180217,2.671236891801093,0.12398233217144365,0.318580425667813,77.91187941526374,21.645557826896997,7.455043012659303e-05,7.455043012659303e-05,0.30540221377908183,0.30540221377908183,3.557674448712862e+18,0.0001678261542963141,best_overall_score,GAS_PARTITION
1800.0,1.1,0.0006928970844174518,6.726121875532214,6.726814772616631,5.189533225156039e+18,1.3094713000884116e+18,6.830994609176218,230.6003946596789,325052172.48585695,324989277.11314946,28863538.743121214,9627043.367710996,1.000193530608967,2.9981727141615693,0.019706050685298925,0.047491395737987066,78.68048056674621,21.25232198683051,0.00015319604254629535,0.00015319604254629535,0.6394425040669812,0.6394425040669812,1.1239422709690844e+18,0.0003965323148952754,best_overall_score,GAS_PARTITION
