T,burnup,swelling_b_percent,swelling_d_percent,swelling_ig_percent,Nb,Nd,Rb_nm,Rd_nm,p_b,p_b_eq,p_d,p_d_eq,p_b_over_eq,p_d_over_eq,matrix_gas_percent,bulk_gas_percent,dislocation_gas_percent,qgb_gas_percent,f_cap_step_final,cap_raw_step_final,capture_fraction_sum,capture_raw_sum,capture_bubbles_cumulative,max_f_cap_step,candidate,grid
1600.0,0.2,1.6611756655101657e-05,0.48799826477571323,0.48801487653236836,3.8060074243202867e+18,2.6556421771842728e+19,2.184166658956446,35.26847681451384,1017546878.6765772,1016405955.5147108,91418196.3432575,62945729.45907366,1.001122507356117,1.4523335757463292,1.2693300127061646,0.009474832879694941,90.92984900198805,7.7913461524261205,4.6761111143727e-05,4.6761111143727e-05,0.021001116796697764,0.021001116796697764,2.755078276912434e+16,6.455049808794964e-05,best_overall_score,BURNUP_1600K
1600.0,0.5,0.0008429506312925308,1.1955199179467642,1.1963628685780567,3.6114909233105695e+19,1.932842643417742e+19,3.8195218700608273,52.855546717399285,581378872.6472918,581224581.3805605,86280234.42514312,42001268.322312295,1.0002654589493871,2.054229261912754,1.0202658046340287,0.16685073717565468,85.34582582825146,13.467057629938871,2.201656210852034e-05,2.201656210852034e-05,0.06046000192510936,0.06046000192510936,6.901351002290386e+17,7.073610150295519e-05,best_overall_score,BURNUP_1600K
1600.0,0.8,0.006832068582021837,1.7804148040571959,1.7872468726392174,1.1726999252618473e+20,1.4800396367326142e+19,5.181142894337007,65.97606565096788,428656122.30730957,428476891.1558996,86821159.66723248,33648566.007928245,1.0004182982912484,2.580233572116439,0.9106575245399953,0.7613952292633579,79.81101693818573,18.51693030801093,6.210708148810166e-05,6.210708148810166e-05,0.10117311746535441,0.10117311746535441,3.6248881572851077e+18,7.100910096769313e-05,best_overall_score,BURNUP_1600K
1600.0,1.1,0.027170456756540527,2.2637135902583343,2.290884047014875,2.562357404505537e+20,1.1837731516193116e+19,6.325908044880187,76.99953946904165,351047223.1832962,350937760.1207365,87275501.0105739,28831341.269158773,1.0003119158865152,3.0271051282630936,0.8264778127744552,2.0325694195030954,74.08980471629329,23.05114805142916,3.100754494189621e-05,3.100754494189621e-05,0.1402635077670486,0.1402635077670486,1.0706968751422271e+19,7.100910096769313e-05,best_overall_score,BURNUP_1600K
1600.0,1.3,0.05393733756110633,2.538122820537261,2.592060158098367,3.8106184747458206e+20,1.0417836469626147e+19,6.965224875441728,83.47353957988783,318851440.26234835,318726249.288428,87053263.80411786,26595254.150872122,1.0003927852638428,3.2732630908610125,0.7753917102083822,3.2735747071200607,70.15679658853377,25.794236994137787,1.1961009530369538e-05,1.1961009530369538e-05,0.16453236278526878,0.16453236278526878,1.8376940731746531e+19,7.100910096769313e-05,best_overall_score,BURNUP_1600K
1600.0,1.6,0.11879402056525208,2.8890818879539286,3.007875908519181,6.11710550618077e+20,8.841846714943242e+18,7.7396264520087,92.05401887428218,287012161.28045225,286835548.68773204,85871242.66786419,24116274.630354222,1.000615727700169,3.560717564552088,0.7034158908458937,5.580044932754198,64.22220168318881,29.494337493211106,4.144164656212117e-05,4.144164656212117e-05,0.19752320731430437,0.19752320731430437,3.4545070318921196e+19,7.100910096769313e-05,best_overall_score,BURNUP_1600K
1600.0,2.0,0.25044287087474654,3.2658471916395664,3.516290062514313,9.846334724794379e+20,7.415123557939276e+18,8.468018983097405,101.68641889346563,262391027.98930746,262162851.12624717,83143643.86851867,21831823.995354187,1.000870363066621,3.808369098533024,0.6161413809208961,9.009401964656194,56.68029698065955,33.69415967376335,9.542163584965887e-06,9.542163584965887e-06,0.23493005002590692,0.23493005002590692,6.398652727766699e+19,7.100910096769313e-05,best_overall_score,BURNUP_1600K
1600.0,2.5,0.4686498908196461,3.631926847250302,4.100576738069948,1.5227540002567676e+21,6.259639289401316e+18,9.023535278747035,111.47215365326109,246294613.7965749,246023308.09618765,78981932.53683874,19915287.60541763,1.0011027642156618,3.965894648458553,0.5246426278232732,13.062524676347577,48.49123041931981,37.92160227650933,1.805837957431564e-05,1.805837957431564e-05,0.2726051079726388,0.2726051079726388,1.1063919234388907e+20,7.100910096769313e-05,best_overall_score,BURNUP_1600K
1600.0,3.2,0.8251844325307607,4.021822135669511,4.847006568200272,2.3512607580246282e+21,5.246959189800676e+18,9.427297383528076,122.31381763258513,235779113.76454425,235486365.78272304,73348282.73455885,18150034.419402987,1.0012431631905658,4.041220035161317,0.4273230971578082,17.566579921949113,39.61703561295118,42.38906136794189,1.4352908605768234e-05,1.4352908605768234e-05,0.31338539985124675,0.31338539985124675,1.886607637709728e+20,7.100910096769313e-05,best_overall_score,BURNUP_1600K
1600.0,4.0,1.257119041935519,4.365372273759028,5.622491315694547,3.3479721054974095e+21,4.5158620330629683e+18,9.6420339179095,132.1490373400755,230535181.91211167,230241878.31122264,67981607.90177827,16799214.31653716,1.0012738933639715,4.0467135320047145,0.34900162122193573,21.15697575049819,32.40581993303075,46.08820269524913,8.858525352850161e-06,8.858525352850161e-06,0.3492850518070813,0.3492850518070813,2.901453880096038e+20,7.100910096769313e-05,best_overall_score,BURNUP_1600K
1600.0,5.0,1.8009515407495957,4.7074827748518,6.508434315601397,4.621434501544363e+21,3.9159147671525396e+18,9.762151394127855,142.1092344627648,227694535.12753224,227408888.71436456,62769608.22982812,15621785.652372088,1.00125609168042,4.018081519400241,0.28225725645449024,24.088371922820848,26.229965316147005,49.39940550457765,6.581866839027899e-07,6.581866839027899e-07,0.3845352366055745,0.3845352366055745,4.296870428646967e+20,7.100910096769313e-05,best_overall_score,BURNUP_1600K
1600.0,6.0,2.338496937724251,4.990636865463334,7.329133803187585,5.902863244455161e+21,3.501886073061828e+18,9.815863071889757,150.40252106144854,226441882.91263497,226164524.07099482,58758453.93380925,14760390.878640896,1.0012263587438368,3.9808196420350894,0.2362569077842019,25.988566100460773,21.965317367010652,51.809859624744384,8.712639218370625e-06,8.712639218370625e-06,0.4130458122614278,0.4130458122614278,5.7914553419945234e+20,7.100910096769313e-05,best_overall_score,BURNUP_1600K
