T,burnup,swelling_b_percent,swelling_d_percent,swelling_ig_percent,Nb,Nd,Rb_nm,Rd_nm,p_b,p_b_eq,p_d,p_d_eq,p_b_over_eq,p_d_over_eq,matrix_gas_percent,bulk_gas_percent,dislocation_gas_percent,qgb_gas_percent,f_cap_step_final,cap_raw_step_final,capture_fraction_sum,capture_raw_sum,capture_bubbles_cumulative,max_f_cap_step,candidate,grid
900.0,1.1,0.0635426450329088,0.49317310929968783,0.5567157543325967,1.4479855120640673e+21,2.6497408984304763e+19,4.714158217902425,35.41895877908613,1112215042.8840606,470921826.842671,7237036944.443222,62678296.49783058,2.3617827407597263,115.46320415223332,4.386692855458565,7.311594980435591,62.934884826690045,25.3668273374158,3.613798456428355e-06,3.613798456428355e-06,0.025755190419229138,0.025755190419229138,9.31889054328101e+18,1.4448806230019435e-05,best_overall_score,TEMP_MAIN
950.0,1.1,0.06876214906383256,0.49902990687122156,0.5677920559350541,1.4414928363158797e+21,2.6428756937548644e+19,4.847108945972739,35.58937892927567,818155329.0585964,458004972.6021747,4426879668.69227,62378160.754410855,1.786345952556393,70.96842252405204,4.37066325395257,7.531635880011203,62.78031520293653,25.317385663099696,3.6739905915395856e-06,3.6739905915395856e-06,0.02629635979514106,0.02629635979514106,9.488753389796975e+18,1.4686147606635568e-05,best_overall_score,TEMP_MAIN
1000.0,1.1,0.07415111261557064,0.5080611781564233,0.5822122907719938,1.434170916121573e+21,2.6323070206785323e+19,4.979006774216073,35.850643315609815,657236099.9772184,445872058.5592156,2907172946.9253254,61923574.99574868,1.4740463937143795,46.94775692658112,4.353589127881013,7.740691332440026,62.64436974055346,25.261349799125504,3.773616346418307e-06,3.773616346418307e-06,0.026998915897337297,0.026998915897337297,9.730205396404486e+18,1.4992114893979574e-05,best_overall_score,TEMP_MAIN
1050.0,1.1,0.07923464939024892,0.5208465702631551,0.600081219653404,1.4262201586418655e+21,2.6173997011261424e+19,5.099723777756276,36.21738170723177,563785571.3491162,435317694.9863612,2026003722.3958602,61296534.85019094,1.2951129206148626,33.052500069496986,4.336486606455471,7.91974777615293,62.54395433387797,25.19981128351364,3.91707783944101e-06,3.91707783944101e-06,0.027876784084699124,0.027876784084699124,1.0043017827386464e+19,1.5384456444450616e-05,best_overall_score,TEMP_MAIN
1100.0,1.1,0.0837343947197935,0.5377332594946683,0.6214676542144618,1.4177363493466622e+21,2.5978214411562918e+19,5.204830615848035,36.696360836886655,507071621.3604142,426526848.5856942,1484318858.4961796,60496462.02978493,1.188838693371345,24.535630823590765,4.3198944256648675,8.060992938093316,62.48581689465205,25.13329574158978,4.1055398872362115e-06,4.1055398872362115e-06,0.028942416134106357,0.028942416134106357,1.0425672136329419e+19,1.587473391392198e-05,best_overall_score,TEMP_MAIN
1150.0,1.1,0.08757511581553074,0.5588394160708289,0.6464145318863597,1.4087658690932242e+21,2.573537206381092e+19,5.294412354887856,37.286875259845246,471357500.2018978,419309991.5896186,1134325706.5792418,59538376.02451898,1.1241265642513436,19.052009515881082,4.303952373260052,8.165499194348232,62.46834557093936,25.06220286145236,4.338247412558492e-06,4.338247412558492e-06,0.03020476237765672,0.03020476237765672,1.087691826744338e+19,1.646898153311928e-05,best_overall_score,TEMP_MAIN
1200.0,1.1,0.09081902647410815,0.5841213666912041,0.6749403931653122,1.3993345094593848e+21,2.5447246631607243e+19,5.371005075642678,37.98317182521349,447998257.4233953,413330460.2648065,898091011.2283552,58446935.66444994,1.0838742858108699,15.36592125863349,4.288518469514909,8.239065398402634,62.485334491232244,24.987081640850224,4.613920397482875e-06,4.613920397482875e-06,0.03166913818469849,0.03166913818469849,1.1396037273200118e+19,1.716941382809206e-05,best_overall_score,TEMP_MAIN
1250.0,1.1,0.09358291580542835,0.6135909889729864,0.7071739047784147,1.3893306305987328e+21,2.511520103866722e+19,5.437936319589629,38.780901603790944,431990989.5875106,408243103.5469594,731635398.6601491,57244672.201818764,1.0581709423483734,12.78084702940973,4.2729490847394445,8.288117943757372,62.530472506015194,24.908460465487988,4.9331386254376484e-06,4.9331386254376484e-06,0.033345716515777384,0.033345716515777384,1.1984444540394371e+19,1.797971245396621e-05,best_overall_score,TEMP_MAIN
1300.0,1.1,0.09595062417377773,0.6481588982269029,0.7441095224006805,1.3778401265810379e+21,2.4730892243647373e+19,5.498616810646448,39.69943851251469,420256170.1250554,403737899.266162,607016730.1807928,55920186.359819084,1.0409133521745597,10.855055565711757,4.254363732864151,8.314282750219816,62.60561855534801,24.82573496156803,5.3074068120748234e-06,5.3074068120748234e-06,0.035293154260203095,0.035293154260203095,1.265575564342466e+19,1.892661582584223e-05,best_overall_score,TEMP_MAIN
1350.0,1.1,0.0977854046831715,0.6928198300116712,0.7906052346948429,1.3604579318544146e+21,2.4242534510829105e+19,5.556910947313628,40.861837523394804,410643253.81800175,399502533.16066056,501224134.2729714,54329421.645048976,1.027886483144929,9.22564826011999,4.220088105221872,8.29905550677894,62.747055076447,24.733801311552185,5.795212317888559e-06,5.795212317888559e-06,0.03779164123954361,0.03779164123954361,1.3473841299561675e+19,2.0143412043791326e-05,best_overall_score,TEMP_MAIN
