Time (h)	Temperature (K)	Fission rate (fiss / m3 s)	Hydrostatic stress (MPa)	Steam pressure (atm)	System pressure (Pa)	O/M ratio (/)	Grain radius (m)	Xe produced (at/m3)	Xe in grain (at/m3)	Xe in intragranular solution (at/m3)	Xe in intragranular bubbles (at/m3)	Xe at grain boundary (at/m3)	Xe released (at/m3)	Kr produced (at/m3)	Kr in grain (at/m3)	Kr in intragranular solution (at/m3)	Kr in intragranular bubbles (at/m3)	Kr at grain boundary (at/m3)	Kr released (at/m3)	Fission gas release (/)	Cs produced (at/m3)	Cs in grain (at/m3)	Cs in intragranular solution (at/m3)	Cs in intragranular bubbles (at/m3)	Cs at grain boundary (at/m3)	Cs released (at/m3)	Cs reacted (at/m3)	I produced (at/m3)	I in grain (at/m3)	I in intragranular solution (at/m3)	I in intragranular bubbles (at/m3)	I at grain boundary (at/m3)	I released (at/m3)	I reacted (at/m3)	Te produced (at/m3)	Te in grain (at/m3)	Te in intragranular solution (at/m3)	Te in intragranular bubbles (at/m3)	Te at grain boundary (at/m3)	Te released (at/m3)	Te reacted (at/m3)	Mo produced (at/m3)	Mo in solution (at/m3)	Mo reacted (at/m3)	Ba produced (at/m3)	Ba in solution (at/m3)	Ba reacted (at/m3)	Tc produced (at/m3)	Tc in solution (at/m3)	Tc reacted (at/m3)	Ru produced (at/m3)	Ru in solution (at/m3)	Ru reacted (at/m3)	Rh produced (at/m3)	Rh in solution (at/m3)	Rh reacted (at/m3)	Pd produced (at/m3)	Pd in solution (at/m3)	Pd reacted (at/m3)	Intragranular bubble concentration (bub/m3)	Intragranular bubble radius (m)	Intragranular gas bubble swelling (/)	Intergranular bubble concentration (bub/m2)	Intergranular atoms per bubble (at/bub)	Intergranular vacancies per bubble (vac/bub)	Intergranular bubble radius (m)	Intergranular bubble area (m2)	Intergranular bubble volume (m3)	Intergranular fractional coverage (/)	Intergranular saturation fractional coverage (/)	Intergranular gas swelling (/)	Intergranular fractional intactness (/)	Burnup (MWd/kgUO2)	FIMA (%)	Fuel density (kg/m3)	U235 (at/m3)	U238 (at/m3)	Pu (at/m3)	Pu238 (at/m3)	Pu239 (at/m3)	Pu240 (at/m3)	Pu241 (at/m3)	Pu242 (at/m3)	q (-)	Intergranular vented fraction (/)	Intergranular venting probability (/)	Porosity (/)	Fabrication porosity (/)	Open porosity (/)	Residual porosity (/)	Densification factor (/)	Gap oxygen partial pressure (MPa)	Stoichiometry deviation (/)	Equilibrium stoichiometry deviation (/)	Fuel oxygen partial pressure (MPa)	Fuel oxygen partial pressure - Blackburn (MPa)	Fuel oxygen partial pressure - Kato (MPa)	Fuel oxygen partial pressure - CALPHAD (MPa)	Fuel oxygen potential (KJ/mol)	Fuel oxygen potential - Blackburn (KJ/mol)	Fuel oxygen potential - Kato (KJ/mol)	Fuel oxygen potential - CALPHAD (KJ/mol)	U content (mol/m3)	O content (mol/m3)	O available content (mol/m3)	Pu content (mol/m3)	Mo/Ru in HCP_A3 (/)	Mo in oxide fraction (/)	Mo oxide valence (/)	Ba/Mo in oxide compounds (/)	Ba in oxide fraction (/)	Ba oxide valence (/)	JOG (Cs2MoO4) (/)	JOG (BaMoO4) (/)	
0	909.0505	3.45e+19	0	0	100000	1.975	1e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2e+13	0	0	0	0	0	0	0.5	0	1	0	0	10569.8	1.117189e+26	1.827432e+28	5.151575e+27	6.741065e+25	3.118866e+27	1.203261e+27	5.325573e+26	2.294797e+26	0.2188657	0	0.03419206	0.03560219	0.03560219	0.001424136	0.02670164	0	0	-0.025	0	1.694786e-36	0	1.694786e-36	0	-605.2008	0	-605.2008	0	30531.45	77194.93	1	8554.591	0	0	0	0	0	0	0	0	
28	909.0505	3.45e+19	0	0	100000	1.97525	1e-05	8.137584e+23	7.935982e+23	7.935982e+23	0	1.947128e+22	6.889499e+20	5.91192e+22	5.765457e+22	5.765457e+22	0	1.41458e+21	5.005192e+19	0.0008466271	5.91192e+23	5.765457e+23	5.765457e+23	0	1.41458e+22	5.005192e+20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.615944e+23	7.615944e+23	0	3.442824e+23	3.442824e+23	0	1.843128e+23	1.843128e+23	0	6.885648e+23	6.885648e+23	0	2.051784e+23	2.051784e+23	0	6.572664e+23	6.572664e+23	0	1.316251e+24	0	0	1.983217e+13	6339.268	42.43306	9.976394e-09	2.127574e-16	7.012852e-25	0.00421944	0.5	4.172402e-06	1	0.1188102	0.01477465	10569.8	1.117189e+26	1.827432e+28	5.151575e+27	6.741065e+25	3.118866e+27	1.203261e+27	5.325573e+26	2.294797e+26	0.2188657	0	0.03417367	0.03560219	0.03560219	0.001424136	0.02670164	0	0	-0.02475	0	1.764349e-36	0	1.764349e-36	0	-604.8968	0	-604.8968	0	30527.58	77194.93	1	8553.509	0	0	0	0	0	0	0	0	
56	909.0505	3.45e+19	0	0	100000	1.9755	1e-05	1.627517e+24	1.582021e+24	1.396557e+24	1.854636e+23	4.394201e+22	1.554272e+21	1.182384e+23	1.149331e+23	1.014593e+23	1.347385e+22	3.192368e+21	1.129172e+20	0.0009549959	1.182384e+24	1.149331e+24	1.014593e+24	1.347385e+23	4.831326e+20	1.738655e+19	3.255234e+22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.523189e+24	0	1.523189e+24	6.885648e+23	0	6.885648e+23	3.686256e+23	0	3.686256e+23	1.37713e+24	0	1.37713e+24	4.103568e+23	0	4.103568e+23	1.314533e+24	0	1.314533e+24	1.326215e+24	0	0	1.983217e+13	9002.084	75.79201	9.915633e-09	2.101737e-16	6.885497e-25	0.0041682	0.5	4.09663e-06	1	0.2376204	0.0295493	10569.8	1.117189e+26	1.827432e+28	5.151575e+27	6.741065e+25	3.118866e+27	1.203261e+27	5.325573e+26	2.294797e+26	0.2188657	0	0.03415374	0.03560219	0.03560219	0.001424136	0.02670164	0	0	-0.0245	0	1.837516e-36	0	1.837516e-36	0	-604.5897	0	-604.5897	0	30523.72	77194.93	1.143389	8552.427	1.106061	1	0	0.4524034	1	2	0	0	
84	909.0505	3.45e+19	0	0	100000	1.97575	1e-05	2.441275e+24	2.365163e+24	2.086038e+24	2.791243e+23	7.351315e+22	2.599272e+21	1.773576e+23	1.718281e+23	1.515498e+23	2.027826e+22	5.340699e+21	1.88836e+20	0.001064719	1.773576e+24	1.718281e+24	1.515498e+24	2.027826e+23	1.649044e+19	8.961103e+17	5.527796e+22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.284783e+24	0	2.284783e+24	1.032847e+24	0	1.032847e+24	5.529384e+23	0	5.529384e+23	2.065694e+24	0	2.065694e+24	6.155352e+23	0	6.155352e+23	1.971799e+24	0	1.971799e+24	1.326291e+24	1.35424e-10	1.379795e-05	1.976889e+13	14993.24	115.1374	1.170534e-08	2.928908e-16	1.13273e-24	0.005790126	0.5	6.717844e-06	1	0.3564306	0.04432395	10569.8	1.117189e+26	1.827432e+28	5.151575e+27	6.741065e+25	3.118866e+27	1.203261e+27	5.325573e+26	2.294797e+26	0.2188657	0	0.03413229	0.03560219	0.03560219	0.001424136	0.02670164	0	0	-0.02425	0	1.914513e-36	0	1.914513e-36	0	-604.2795	0	-604.2795	0	30519.86	77194.93	1.715083	8551.345	1.106061	1	0	0.452403	1	2	0	0	
112	909.0505	3.45e+19	0	0	100000	1.976	1e-05	3.255034e+24	3.144265e+24	2.685724e+24	4.585414e+23	1.06987e+23	3.781365e+21	2.364768e+23	2.284295e+23	1.951167e+23	3.331283e+22	7.772561e+21	2.747146e+20	0.001161698	2.364768e+24	2.284295e+24	1.951167e+24	3.331283e+23	5.624789e+17	3.336314e+17	8.047186e+22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.046378e+24	0	3.046378e+24	1.37713e+24	0	1.37713e+24	7.372512e+23	0	7.372512e+23	2.754259e+24	0	2.754259e+24	8.207136e+23	0	8.207136e+23	2.629066e+24	0	2.629066e+24	1.03053e+24	1.688053e-10	2.076384e-05	1.970388e+13	21713.75	159.0168	1.327209e-08	3.765442e-16	1.651169e-24	0.007419379	0.5	9.760331e-06	1	0.4752408	0.0590986	10569.8	1.117189e+26	1.827432e+28	5.151575e+27	6.741065e+25	3.118866e+27	1.203261e+27	5.325573e+26	2.294797e+26	0.2188657	0	0.03410934	0.03560219	0.03560219	0.001424136	0.02670164	0	0	-0.024	0	1.995582e-36	0	1.995582e-36	0	-603.966	0	-603.966	0	30516	77194.93	2.286778	8550.263	1.106061	1	0	0.4524027	1	2	0	0	
140	909.0505	3.45e+19	0	0	100000	1.97625	1e-05	4.068792e+24	3.918531e+24	3.445502e+24	4.730283e+23	1.45134e+23	5.127487e+21	2.95596e+23	2.846796e+23	2.503143e+23	3.43653e+22	1.054392e+22	3.725097e+20	0.001260199	2.95596e+24	2.846796e+24	2.503143e+24	3.43653e+23	1.917207e+16	3.144594e+17	1.09164e+23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.807972e+24	0	3.807972e+24	1.721412e+24	0	1.721412e+24	9.21564e+23	0	9.21564e+23	3.442824e+24	0	3.442824e+24	1.025892e+24	0	1.025892e+24	3.286332e+24	0	3.286332e+24	9.711867e+23	2.035397e-10	3.430354e-05	1.963768e+13	29468.73	207.4162	1.470591e-08	4.62297e-16	2.246205e-24	0.009078439	0.5	1.323307e-05	1	0.594051	0.07387325	10569.8	1.117189e+26	1.827432e+28	5.151575e+27	6.741065e+25	3.118866e+27	1.203261e+27	5.325573e+26	2.294797e+26	0.2188657	0	0.03408491	0.03560219	0.03560219	0.001424136	0.02670164	0	0	-0.02375	0	2.080986e-36	0	2.080986e-36	0	-603.6493	0	-603.6493	0	30512.14	77194.93	2.858473	8549.181	1.106061	1	0	0.4524024	1	2	0	0	
168	909.0505	3.45e+19	0	0	100000	1.9765	1e-05	4.88255e+24	4.688888e+24	4.1377e+24	5.511885e+23	1.870567e+23	6.605683e+21	3.547152e+23	3.406457e+23	3.006021e+23	4.004361e+22	1.358959e+22	4.799e+20	0.001352916	3.547152e+24	3.406457e+24	3.006021e+24	4.004361e+23	6.529835e+14	3.138064e+17	1.406946e+23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.569566e+24	0	4.569566e+24	2.065694e+24	0	2.065694e+24	1.105877e+24	0	1.105877e+24	4.131389e+24	0	4.131389e+24	1.23107e+24	0	1.23107e+24	3.943598e+24	0	3.943598e+24	9.159168e+23	2.098647e-10	3.546197e-05	1.957148e+13	38037.33	260.0348	1.602001e-08	5.486091e-16	2.90377e-24	0.01073709	0.5	1.704932e-05	1	0.7128612	0.0886479	10569.8	1.117189e+26	1.827432e+28	5.151575e+27	6.741065e+25	3.118866e+27	1.203261e+27	5.325573e+26	2.294797e+26	0.2188657	0	0.03405903	0.03560219	0.03560219	0.001424136	0.02670164	0	0	-0.0235	0	2.171005e-36	0	2.171005e-36	0	-603.3293	0	-603.3293	0	30508.28	77194.93	3.430167	8548.1	1.106061	1	0	0.4524021	1	2	0	0	
196	909.0505	3.45e+19	0	0	100000	1.97675	1e-05	5.696309e+24	5.45554e+24	4.844109e+24	6.114314e+23	2.325596e+23	8.208784e+21	4.138344e+23	3.963427e+23	3.519224e+23	4.442023e+22	1.689536e+22	5.963647e+20	0.001441071	4.138344e+24	3.963427e+24	3.519224e+24	4.442023e+23	2.22222e+13	3.137841e+17	1.749169e+23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.331161e+24	0	5.331161e+24	2.409977e+24	0	2.409977e+24	1.29019e+24	0	1.29019e+24	4.819954e+24	0	4.819954e+24	1.436249e+24	0	1.436249e+24	4.600865e+24	0	4.600865e+24	9.061284e+23	2.216851e-10	4.135117e-05	1.950517e+13	47407.7	316.712	1.724426e-08	6.356626e-16	3.62166e-24	0.01239871	0.5	2.119233e-05	1	0.8316714	0.1034226	10569.8	1.117189e+26	1.827432e+28	5.151575e+27	6.741065e+25	3.118866e+27	1.203261e+27	5.325573e+26	2.294797e+26	0.2188657	0	0.03403173	0.03560219	0.03560219	0.001424136	0.02670164	0	0	-0.02325	0	2.265941e-36	0	2.265941e-36	0	-603.0058	0	-603.0058	0	30504.42	77194.93	4.001862	8547.019	1.106061	1	0	0.4524018	1	2	0	0	
224	909.0505	3.45e+19	0	0	100000	1.977	1e-05	6.510067e+24	6.218912e+24	5.523426e+24	6.954866e+23	2.812328e+23	9.922082e+21	4.729536e+23	4.518013e+23	4.012745e+23	5.052681e+22	2.043145e+22	7.20835e+20	0.001524114	4.729536e+24	4.518013e+24	4.012745e+24	5.052681e+23	7.556237e+11	3.137834e+17	2.115225e+23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.092755e+24	0	6.092755e+24	2.754259e+24	0	2.754259e+24	1.474502e+24	0	1.474502e+24	5.508518e+24	0	5.508518e+24	1.641427e+24	0	1.641427e+24	5.258131e+24	0	5.258131e+24	8.887177e+23	2.310072e-10	4.589118e-05	1.943903e+13	57484.17	377.2536	1.839179e-08	7.230786e-16	4.393858e-24	0.01405595	0.5	2.56237e-05	1	0.9504816	0.1181972	10569.8	1.117189e+26	1.827432e+28	5.151575e+27	6.741065e+25	3.118866e+27	1.203261e+27	5.325573e+26	2.294797e+26	0.2188657	0	0.03400302	0.03560219	0.03560219	0.001424136	0.02670164	0	0	-0.023	0	2.366121e-36	0	2.366121e-36	0	-602.6788	0	-602.6788	0	30500.56	77194.93	4.573556	8545.938	1.106061	1	0	0.4524015	1	2	0	0	
252	909.0505	3.45e+19	0	0	100000	1.97725	1e-05	7.323826e+24	6.97916e+24	6.207782e+24	7.713773e+23	3.32926e+23	1.174002e+22	5.320728e+23	5.07033e+23	4.509927e+23	5.604023e+22	2.418693e+22	8.529072e+20	0.00160299	5.320728e+24	5.07033e+24	4.509927e+24	5.604023e+23	2.567082e+10	3.137834e+17	2.503981e+23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.85435e+24	0	6.85435e+24	3.098542e+24	0	3.098542e+24	1.658815e+24	0	1.658815e+24	6.197083e+24	0	6.197083e+24	1.846606e+24	0	1.846606e+24	5.915398e+24	0	5.915398e+24	8.752885e+23	2.423777e-10	5.220567e-05	1.937301e+13	68247.52	441.5275	1.947721e-08	8.109441e-16	5.218601e-24	0.01571043	0.5	3.033e-05	1	1.069292	0.1329719	10569.8	1.117189e+26	1.827432e+28	5.151575e+27	6.741065e+25	3.118866e+27	1.203261e+27	5.325573e+26	2.294797e+26	0.2188657	0	0.03397294	0.03560219	0.03560219	0.001424136	0.02670164	0	0	-0.02275	0	2.471896e-36	0	2.471896e-36	0	-602.3483	0	-602.3483	0	30496.71	77194.93	5.145251	8544.858	1.106061	1	0	0.4524013	1	2	0	0	
