Time (h)	Location	Phase	Phase instance	Moles (mol/m3)	Form units (mol/m3)	Sublattice	Sites	Constituent	Site fraction
56	at grain boundary	HALITE	HALITE	2.286777953	1.143388976	1	1	BA+2	1
56	at grain boundary	HALITE	HALITE	2.286777953	1.143388976	1	1	VA	1.100000259e-12
56	at grain boundary	HALITE	HALITE	2.286777953	1.143388976	2	1	O-2	1
56	at grain boundary	HALITE	HALITE	2.286777953	1.143388976	2	1	VA	1.100000259e-12
56	at grain boundary	HCP_A3	HCP_A3	8.346510233	8.346510233	1	1	BA	1.1e-12
56	at grain boundary	HCP_A3	HCP_A3	8.346510233	8.346510233	1	1	CS	0.006476290663
56	at grain boundary	HCP_A3	HCP_A3	8.346510233	8.346510233	1	1	MO	0.3030385637
56	at grain boundary	HCP_A3	HCP_A3	8.346510233	8.346510233	1	1	PD	0.2615264403
56	at grain boundary	HCP_A3	HCP_A3	8.346510233	8.346510233	1	1	RH	0.08164052696
56	at grain boundary	HCP_A3	HCP_A3	8.346510233	8.346510233	1	1	RU	0.2739800773
56	at grain boundary	HCP_A3	HCP_A3	8.346510233	8.346510233	1	1	TC	0.07333810102
56	at grain boundary	HCP_A3	HCP_A3	8.346510233	8.346510233	2	0.5	O	1.100440176e-12
56	at grain boundary	HCP_A3	HCP_A3	8.346510233	8.346510233	2	0.5	VA	1
84	at grain boundary	HALITE	HALITE	3.430166932	1.715083466	1	1	BA+2	1
84	at grain boundary	HALITE	HALITE	3.430166932	1.715083466	1	1	VA	1.100000259e-12
84	at grain boundary	HALITE	HALITE	3.430166932	1.715083466	2	1	O-2	1
84	at grain boundary	HALITE	HALITE	3.430166932	1.715083466	2	1	VA	1.100000259e-12
84	at grain boundary	HCP_A3	HCP_A3	12.53047492	12.53047492	1	1	BA	1.1e-12
84	at grain boundary	HCP_A3	HCP_A3	12.53047492	12.53047492	1	1	CS	0.007325437741
84	at grain boundary	HCP_A3	HCP_A3	12.53047492	12.53047492	1	1	MO	0.3027795658
84	at grain boundary	HCP_A3	HCP_A3	12.53047492	12.53047492	1	1	PD	0.2613029148
84	at grain boundary	HCP_A3	HCP_A3	12.53047492	12.53047492	1	1	RH	0.08157075024
84	at grain boundary	HCP_A3	HCP_A3	12.53047492	12.53047492	1	1	RU	0.2737459113
84	at grain boundary	HCP_A3	HCP_A3	12.53047492	12.53047492	1	1	TC	0.07327542004
84	at grain boundary	HCP_A3	HCP_A3	12.53047492	12.53047492	2	0.5	O	1.100440176e-12
84	at grain boundary	HCP_A3	HCP_A3	12.53047492	12.53047492	2	0.5	VA	1
112	at grain boundary	HALITE	HALITE	4.573555948	2.286777974	1	1	BA+2	1
112	at grain boundary	HALITE	HALITE	4.573555948	2.286777974	1	1	VA	1.100000259e-12
112	at grain boundary	HALITE	HALITE	4.573555948	2.286777974	2	1	O-2	1
112	at grain boundary	HALITE	HALITE	4.573555948	2.286777974	2	1	VA	1.100000259e-12
112	at grain boundary	HCP_A3	HCP_A3	16.71853815	16.71853815	1	1	BA	1.1e-12
112	at grain boundary	HCP_A3	HCP_A3	16.71853815	16.71853815	1	1	CS	0.007992723962
112	at grain boundary	HCP_A3	HCP_A3	16.71853815	16.71853815	1	1	MO	0.3025760327
112	at grain boundary	HCP_A3	HCP_A3	16.71853815	16.71853815	1	1	PD	0.2611272606
112	at grain boundary	HCP_A3	HCP_A3	16.71853815	16.71853815	1	1	RH	0.08151591808
112	at grain boundary	HCP_A3	HCP_A3	16.71853815	16.71853815	1	1	RU	0.2735619009
