Time (h)	Temperature (K)	Fission rate (fiss / m3 s)	Hydrostatic stress (MPa)	Grain radius (m)	Xe produced (at/m3)	Xe in grain (at/m3)	Xe in intragranular solution (at/m3)	Xe in intragranular bubbles (at/m3)	Xe at grain boundary (at/m3)	Xe released (at/m3)	Kr produced (at/m3)	Kr in grain (at/m3)	Kr in intragranular solution (at/m3)	Kr in intragranular bubbles (at/m3)	Kr at grain boundary (at/m3)	Kr released (at/m3)	Fission gas release (/)	Intragranular bubble concentration (bub/m3)	Intragranular bubble radius (m)	Intragranular gas swelling (/)	Intergranular bubble concentration (bub/m2)	Intergranular atoms per bubble (at/bub)	Intergranular vacancies per bubble (vac/bub)	Intergranular bubble radius (m)	Intergranular bubble area (m2)	Intergranular bubble volume (m3)	Intergranular fractional coverage (/)	Intergranular saturation fractional coverage (/)	Intergranular gas swelling (/)	Intergranular fractional intactness (/)	Burnup (MWd/kgUO2)	U235 (at/m3)	U238 (at/m3)	Intergranular vented fraction (/)	Intergranular venting probability (/)	
45500	1750	3e+18	0	4.337034e-05	1.17936e+26	9.121111e+25	8.730894e+24	8.248022e+25	6.489735e+24	2.023515e+25	1.4742e+25	1.140139e+25	1.091362e+24	1.031003e+25	8.112168e+23	2.529394e+24	0.1715774	1.830332e+23	1.699768e-09	0.003765197	3.562149e+10	2.96305e+09	3.567933e+11	2.759307e-06	1.403647e-11	1.483796e-17	0.5	0.5	0.03656071	1	16.67606	7.209709e+26	2.301694e+28	0	0.5228046	
46000	1750	3e+18	0	4.337034e-05	1.19232e+26	9.199289e+25	8.866735e+24	8.312615e+25	6.64639e+24	2.059272e+25	1.4904e+25	1.149911e+25	1.108342e+24	1.039077e+25	8.307987e+23	2.57409e+24	0.1727114	1.819649e+23	1.707588e-09	0.003795121	3.488639e+10	3.098517e+09	3.68046e+11	2.788227e-06	1.433224e-11	1.53094e-17	0.5	0.5	0.03694389	1	16.85932	7.209709e+26	2.301694e+28	0	0.5207531	
46500	1750	3e+18	0	4.337034e-05	1.20528e+26	9.27706e+25	9.002902e+24	8.37677e+25	6.805244e+24	2.095215e+25	1.5066e+25	1.159633e+25	1.125363e+24	1.047096e+25	8.506555e+23	2.619019e+24	0.1738364	1.809153e+23	1.715339e-09	0.003824842	3.417685e+10	3.23844e+09	3.7948e+11	2.817021e-06	1.462979e-11	1.578862e-17	0.5	0.5	0.03732542	1	17.04257	7.209709e+26	2.301694e+28	0	0.5186364	
47000	1750	3e+18	0	4.337034e-05	1.21824e+26	9.354428e+25	9.139382e+24	8.44049e+25	6.966326e+24	2.131339e+25	1.5228e+25	1.169304e+25	1.142423e+24	1.055061e+25	8.707907e+23	2.664174e+24	0.1749523	1.79884e+23	1.72302e-09	0.003854361	3.349156e+10	3.382926e+09	3.910963e+11	2.845695e-06	1.492913e-11	1.627568e-17	0.5	0.5	0.03770535	1	17.22582	7.209709e+26	2.301694e+28	0	0.5164545	
47500	1750	3e+18	0	4.337034e-05	1.2312e+26	9.431395e+25	9.276163e+24	8.503778e+25	7.129662e+24	2.167639e+25	1.539e+25	1.178924e+25	1.15952e+24	1.062972e+25	8.912078e+23	2.709549e+24	0.1760591	1.788705e+23	1.730635e-09	0.003883681	3.282934e+10	3.532083e+09	4.028957e+11	2.874253e-06	1.523028e-11	1.677062e-17	0.5	0.5	0.03808374	1	17.40908	7.209709e+26	2.301694e+28	0	0.5142078	
48000	1750	3e+18	0	4.337034e-05	1.24416e+26	9.507961e+25	9.413232e+24	8.566638e+25	7.295282e+24	2.204111e+25	1.5552e+25	1.188495e+25	1.176654e+24	1.07083e+25	9.119103e+23	2.755138e+24	0.1771565	1.778743e+23	1.738182e-09	0.003912801	3.218905e+10	3.686022e+09	4.148793e+11	2.902699e-06	1.553323e-11	1.727348e-17	0.5	0.5	0.03846064	1	17.59233	7.209709e+26	2.301694e+28	0	0.5118965	
48500	1750	3e+18	0	4.337034e-05	1.25712e+26	9.58413e+25	9.550577e+24	8.629073e+25	7.463215e+24	2.240748e+25	1.5714e+25	1.198016e+25	1.193822e+24	1.078634e+25	9.329019e+23	2.800935e+24	0.1782446	1.768951e+23	1.745664e-09	0.003941724	3.156966e+10	3.844857e+09	4.270482e+11	2.931036e-06	1.583799e-11	1.778432e-17	0.5	0.5	0.03883611	1	17.77559	7.209709e+26	2.301694e+28	0	0.5095209	
49000	1750	3e+18	0	4.337034e-05	1.27008e+26	9.659904e+25	9.688185e+24	8.691085e+25	7.633489e+24	2.277547e+25	1.5876e+25	1.207488e+25	1.211023e+24	1.086386e+25	9.541862e+23	2.846934e+24	0.1793231	1.759324e+23	1.753081e-09	0.003970452	3.097016e+10	4.008702e+09	4.394032e+11	2.959269e-06	1.614457e-11	1.83032e-17	0.5	0.5	0.03921019	1	17.95884	7.209709e+26	2.301694e+28	0	0.5070814	
49500	1750	3e+18	0	4.337034e-05	1.28304e+26	9.735284e+25	9.826044e+24	8.75268e+25	7.806135e+24	2.314503e+25	1.6038e+25	1.21691e+25	1.228256e+24	1.094085e+25	9.757669e+23	2.893128e+24	0.1803921	1.749857e+23	1.760433e-09	0.003998986	3.038963e+10	4.177675e+09	4.519456e+11	2.9874e-06	1.645298e-11	1.883016e-17	0.5	0.5	0.03958293	1	18.14209	7.209709e+26	2.301694e+28	0	0.5045785	
50000	1750	3e+18	0	4.337034e-05	1.296e+26	9.810273e+25	9.964143e+24	8.813858e+25	7.981182e+24	2.351609e+25	1.62e+25	1.226284e+25	1.245518e+24	1.101732e+25	9.976477e+23	2.939512e+24	0.1814513	1.740548e+23	1.767723e-09	0.004027327	2.982721e+10	4.351898e+09	4.646763e+11	3.015434e-06	1.676322e-11	1.936526e-17	0.5	0.5	0.03995437	1	18.32535	7.209709e+26	2.301694e+28	0	0.5020124	
