label,score_total,score_swd,score_Nd,score_Nd_drop,score_Rd,score_pressure,score_fdot_prior,score_rizk_gas_shape,score_highT_guard,f_n,K_d,rho_d,fission_rate,Dv_scale,Dg_scale,b_scale,gb_scale,gd_scale,coalescence_d_scale,capture_scale,swD_1p3_1600K,swB_1p3_1600K,Rd_1p3_1600K,Nd_1p3_1600K,Nd_1p3_1400K,Nd_1p3_1725K,Nd_drop_1725_over_1400_log10,swD_3p2_1600K,swB_3p2_1600K,max_f_cap_step_3p2_1600K,capture_fraction_sum_3p2_1600K,capture_raw_sum_3p2_1600K,dt_h,n_modes,use_full_exp,D1_Xe,D2_Xe,D2_Xe_over_Dg_unscaled,D2_Xe_scaled,D2_xe_scale,D3_Xe,Dg,Dv,family,score_bulk_shape,score_rizk_prior,score_swig_diag,trial_number,state,profile_Dv_fixed,profile_subdir,score_data,score_prior,p_d_over_eq_1p3_1200K,p_d_over_eq_1p3_1400K,p_d_over_eq_1p3_1600K,p_d_over_eq_1p3_1700K,p_b_over_eq_1p3_1600K,p_d_over_eq_3p2_1600K,p_b_over_eq_3p2_1600K,p_d_over_eq_max_1p3_1200_1700K,p_b_over_eq_max_1p3_1200_1700K,p_d_over_eq_max_3p2_1200_1700K,p_b_over_eq_max_3p2_1200_1700K,balanced_metric,rizk_distance_metric,pressure_metric,summary_kind
capture_only_v2_trial_00099,1.4762394874946672,0.5798452653743666,0.3639331311149044,0.023305654396831733,0.13546582774302784,0.728672614235155,0.06240065954669196,0.21837268279223288,0.33064994234595246,7.943992586862921e-08,700055.1722404793,40669079643641.41,4.330812132815059e+19,0.03,1.8078452591316876,0.20221445578004182,0.41423042594168147,2.4963131263852745,9.49678277949643,3.8990211336945837,2.6025329887525297,0.03264174037914805,84.55665710131834,1.0276949411326265e+19,1.948521060161001e+19,3.389000880323902e+18,-0.7596334224810465,4.527580903679032,1.1751067277607663,0.0008473646829754851,0.4118159892822165,0.4118159892822165,12.0,22,0,4.2934800659537927e-19,2.8430660979996015e-105,1.4153933040898462e-87,7.210976397994867e-106,0.2536337935677455,8.01200244570786e-20,9.210393646173413e-19,6.139307190902765e-22,capture_only,0.08128263126548214,0.27231430425434566,0.9079374093477156,99,TrialState.COMPLETE,0.03,UN_M7_codex_results/capture_only_dv_profile/dv_0p03,0.920986951641703,0.27231430425434566,29.191091316625673,13.313153359390588,4.46004659482292,3.674020640030394,1.0029039257246557,6.931573498059611,1.0052448164977643,29.191091316625673,1.1403531375977551,25.63112953622456,1.3862975760485,2.2031566424618854,0.27231430425434566,29.191091316625673,best_score_for_fixed_Dv
capture_only_v2_trial_00098,1.3174288913576504,0.6177881790820332,0.2993032825372576,0.0,0.14398958927699343,0.5220983724509048,0.00385890371820866,0.19847696875845705,0.5371771298717342,1.333342233975698e-08,714303.1741013683,46134997376870.37,4.955769524053456e+19,0.05,2.0120939811076415,1.1809008153680642,0.8994212274956753,3.6412978915928127,10.99394196415406,3.246511537102766,2.6531624076835567,0.07285640264899326,86.14529744507755,9.907874599865772e+18,2.2177361308829467e+19,2.623857338981155e+18,-0.9269696535262051,4.225862913863202,1.2843666378514662,0.0009116409717462306,0.3363336265897385,0.3363336265897385,12.0,22,0,4.2934800659537927e-19,3.041290004292325e-105,1.7868958189159968e-86,9.310258689229862e-105,3.0612860582482524,9.168173619498893e-20,1.0483608094465624e-18,1.0246617000811104e-21,capture_only,0.09763277174609197,0.20371054591194301,0.8067907584490861,98,TrialState.COMPLETE,0.05,UN_M7_codex_results/capture_only_dv_profile/dv_0p05,0.8987290662974468,0.20371054591194301,17.037554051231698,8.322493862484315,3.585695065547366,3.3295741886815953,1.0032004851836884,4.515768279600059,1.0027351573692014,17.037554051231698,1.1585559972039283,13.03875102063231,1.2371255825417917,1.856158992481645,0.20371054591194301,17.037554051231698,best_score_for_fixed_Dv
capture_only_v2_trial_00098,1.3534008975216938,0.7232689410173269,0.2983785744789925,0.0,0.10602811153868041,0.4164131383121593,0.051480209249287444,0.09054337613396979,0.631337872242392,1.7977474024616703e-07,659290.2799032958,28099296274258.402,5.629245814530852e+19,0.1,0.7238473635605179,0.42546391801369476,0.4231504516642845,4.186613248006579,8.21996759781818,3.6036937626935384,2.837954192306609,0.25159854267668375,98.52973482872038,7.082960664585588e+18,1.4228258491584266e+19,2.0109980781177231e+18,-0.8497400910733228,4.270942285293322,1.9177959815724857,0.0010635801031304566,0.29629808017505377,0.29629808017505377,12.0,22,0,4.2934800659537927e-19,3.2413609153516153e-105,4.494519739541579e-87,2.3977770847703638e-105,0.739743937003158,1.0414104756882076e-19,3.861646453451506e-19,2.052237976667112e-21,capture_only,0.1849533904344462,0.21426455739182396,1.0260475398591375,98,TrialState.COMPLETE,0.1,UN_M7_codex_results/capture_only_dv_profile/dv_0p10,0.9808318813518803,0.21426455739182396,13.190779903946504,6.74098288763536,3.32008114599009,3.3865915041622383,1.0022721578871363,3.270182025528874,1.0003054740782542,13.190779903946504,1.0244514696739777,9.16998025304689,1.0258047896490192,1.7880520511910873,0.21426455739182396,13.190779903946504,best_score_for_fixed_Dv
capture_only_v2_trial_00099,1.3949495881852056,0.761482880369014,0.3050305290831384,0.0,0.10056873315765665,0.3567485906469089,0.15637579898962292,0.04681889470009206,0.7551335160683592,1.71593577458938e-08,363231.17591013183,43109205673676.0,7.1671386045327426e+19,0.15,0.47170813860801397,0.28071191830855174,3.311572550367632,3.1909118822250906,8.203867181635784,0.06651854959560322,2.7402424502486413,0.9459846968779603,101.83144301865406,6.195190801037625e+18,1.21716895551332e+19,1.6272683279309315e+18,-0.8738916952329432,3.8838208775002596,5.382173219130111,3.75090383463377e-05,0.007128914749793291,0.007128914749793291,12.0,22,0,4.2934800659537927e-19,3.657422951670204e-105,6.055947582456164e-86,3.403079613120754e-104,9.304583194477681,1.3259206418385574e-19,2.6507170479652857e-19,3.0874485762889666e-21,capture_only,0.0884587352433649,0.2656669512918121,1.9278881859786332,99,TrialState.COMPLETE,0.15,UN_M7_codex_results/capture_only_dv_profile/dv_0p15,1.0200939641676479,0.2656669512918121,11.86960286791505,5.954699717858908,2.944401045282836,3.382615529086872,1.029378037387357,2.6336793844829565,1.045253100113788,11.86960286791505,1.9079091359749614,8.09060282319789,2.0348810134310424,1.7651284559285803,0.2656669512918121,11.86960286791505,best_score_for_fixed_Dv
capture_only_v2_trial_00068,1.341871016830297,0.8480432057555516,0.3578672727146465,0.0301460525697664,0.16900848433690874,0.008410019398381739,0.015493971375119979,0.12447507681315913,0.7242411562054446,1.0690125786021028e-07,649254.3942811204,31456574508172.242,4.824763533140654e+19,0.3,0.45745920696264675,3.1342292582056555,0.294736682336538,3.781180635111233,6.508027789799832,1.2099994583866525,2.583612320965777,0.2788199568296347,84.5203517352951,1.0215387621249104e+19,1.7481115858110796e+19,3.1245224240389274e+18,-0.7477855053015223,3.6722866896114503,1.0390462011252872,0.00029069231442731833,0.07163802955199627,0.07163802955199627,12.0,22,0,4.2934800659537927e-19,3.0008224534804694e-105,8.222713719067195e-87,4.264349756047376e-105,1.4210603333434204,8.925812536310209e-20,2.372411498516926e-19,6.146201640946713e-21,capture_only,0.08132266916329334,0.24390002027925833,0.7078296551891571,68,TrialState.COMPLETE,0.3,UN_M7_codex_results/capture_only_dv_profile/dv_0p30,1.2122080761919833,0.24390002027925833,3.6470573309216707,2.2369099602208293,1.3563269639708342,1.4925250808451844,1.0005592119948108,1.2787193461287871,1.0001111134784637,3.6470573309216707,1.001086311670648,2.9838586074720115,1.0005400059074565,1.3338911604144155,0.24390002027925833,3.6470573309216707,best_score_for_fixed_Dv
capture_only_v2_trial_00094,1.3745603055967162,0.8961793345953426,0.28742163725409364,0.0,0.15185003623852705,0.03238782543552694,0.18040192705163627,0.05221132252622868,1.0724020081199408,1.084698728492353e-08,608528.3455471111,29302867373330.91,7.574813271091406e+19,0.5,2.2168643768455603,0.7010456268229871,0.24158682562031347,0.636588335947412,8.264535112525898,0.07125679134018344,2.365271768303979,0.5118238530764525,89.06411672572982,7.992527571174221e+18,1.4562808498524064e+19,1.8818032459195405e+18,-0.8886709252505101,3.062457376254947,1.6702529611622208,3.3539675195885156e-05,0.004100278875186706,0.004100278875186706,12.0,22,0,4.2934800659537927e-19,3.760003506585016e-105,1.0537282331244323e-86,6.000793165665471e-105,1.59595414077569,1.4013404551519102e-19,1.2624644745768302e-18,1.0298967077002576e-20,capture_only,0.0898648414332025,0.20725699747758708,0.7109729597583062,94,TrialState.COMPLETE,0.5,UN_M7_codex_results/capture_only_dv_profile/dv_0p50,1.1741134205536197,0.20725699747758708,3.184923184483813,2.0260770090990814,1.2925034697298987,1.5400053706912757,1.0007243014116682,1.1520268439385013,1.0000737333048038,3.184923184483813,1.0138074733820686,2.3583469450770687,1.011275649849736,1.255779681353551,0.20725699747758708,3.184923184483813,best_score_for_fixed_Dv
capture_only_v2_trial_00086,1.3980883772782533,0.8641459601292089,0.27528462005613935,0.0,0.1633241635596129,0.06608270763235065,0.17492771312740968,0.03443707944730936,1.5040781782229062,2.546599181054665e-07,648457.8815174045,35349769915897.875,7.479933166845849e+19,1.0,0.5332926825020815,3.065510358735287,0.4625270229443919,4.50670527974943,6.997011879783073,0.1400949374295444,2.7518730108198253,0.4426591573881199,85.92010933246755,1.0357508934552027e+19,1.853545645441799e+19,2.006474593026151e+18,-0.9655696205863368,3.7077970807218046,1.5139673439073702,6.522147668567157e-05,0.008677267919878473,0.008677267919878473,12.0,22,0,4.2934800659537927e-19,3.736380896950266e-105,2.773635502805564e-86,1.5746671256700067e-104,4.2144180936030695,1.3837876358664822e-19,3.027645321986162e-19,2.0594492878976158e-20,capture_only,0.08868376036516595,0.23057977241823763,0.916973448416361,86,TrialState.COMPLETE,1.0,UN_M7_codex_results/capture_only_dv_profile/dv_1p00,1.1410754613014673,0.23057977241823763,2.449462832544037,1.6644415709690576,1.1548695241757265,1.3975206852622357,1.000693972925625,1.1156528843759261,1.0002084531275115,2.449462832544037,1.0011620181733727,2.0582728287095735,1.0004500811877832,1.2268410403645253,0.23057977241823763,2.449462832544037,best_score_for_fixed_Dv
