# T swD swB Rd Nd pd_over_eq pb_over_eq burnup swD1600 swB1600
900.0 0.19668444986675054 0.23544661057652697 25.344737756339153 2.8841511074358645e+19 8.756458656608928 1.0044762988721108 0.2 0.4469157277410186 0.0007475727858514546
950.0 0.2186740286278379 0.23635033794696522 26.310355113321528 2.8663450349472432e+19 5.856075416521789 1.001733242469491 0.5 1.2173871856554142 0.021700732195470866
1000.0 0.24765713453308774 0.23701537106516776 27.499638141508502 2.8430290478801834e+19 4.270924605410136 1.0007856304453955 0.8 1.7437635569777066 0.08160098392192727
1050.0 0.2833385665577144 0.23756371162216988 28.858167801619945 2.814562000822673e+19 3.3353415637387456 1.0004091518601272 1.1 2.0754230780182903 0.16121648775570074
1100.0 0.3250349827506139 0.2380832260867139 30.328267954022685 2.7816255758350692e+19 2.7463755879194545 1.0002416788487025 1.3 2.2350406674208254 0.2173697860395211
1150.0 0.371873001893427 0.23863350551985232 31.860462616523794 2.7450471456092123e+19 2.355285538967029 1.0001603142119364 1.6 2.42261193079022 0.3018744595005474
1200.0 0.42297798233117984 0.23925002531201664 33.418467392130076 2.705637225645508e+19 2.083779092164221 1.000117839757053 2.0 2.6174698342810303 0.4123568397365835
1250.0 0.4777838786229127 0.23994883814389326 34.98423793295212 2.6639472949719654e+19 1.8873492082718861 1.0000941919143915 2.5 2.813861243930765 0.5455179997719914
1300.0 0.5370237904339149 0.24072962910008164 36.578542982629884 2.61954406892127e+19 1.7368538314995392 1.0000800310530555 3.2 3.042517036015534 0.7228213144829188
1350.0 0.6061345359470994 0.2415867750877711 38.33494762202578 2.5685959754303623e+19 1.60608464342481 1.0000704638353457 4.0 3.2665017891416523 0.91377191381638
1400.0 0.7035223588397831 0.2426186470135201 40.66113462908065 2.4983358237491438e+19 1.4652635540715413 1.000062755534256 5.0 3.512116474625129 1.1373749348203688
1450.0 0.8653264743744055 0.2445031233700998 44.242449660048756 2.3854695951415902e+19 1.3047882545487475 1.0000562786880818 6.0 3.7318560895788404 1.346618091563532
1500.0 1.1290285105380784 0.24797768216840008 49.58068862731978 2.211457698652806e+19 1.1678702259748133 1.0000508363121607 nan nan nan
1550.0 1.5485428206326066 0.24527676943154492 57.364901682479214 1.9583749664893374e+19 1.0909285506038282 1.0000451797524712 nan nan nan
1600.0 2.2350406674208254 0.2173697860395211 69.33684461659102 1.6006802953896866e+19 1.0634208161779997 1.000040654903427 nan nan nan
1650.0 3.3494722834896953 0.16575522717006622 88.72138062414076 1.144993193269721e+19 1.069968153763329 1.0000400622636048 nan nan nan
1700.0 5.095123901758581 0.11019693077144913 122.3464976019895 6.641887512825181e+18 1.1222589777564604 1.0000471108953861 nan nan nan
1750.0 7.5838294576355505 0.06445700358745432 183.66267183934164 2.922383822369598e+18 1.2654997874303622 1.0000634186825261 nan nan nan
1800.0 10.647366176828914 0.03377642569006601 295.7081270156769 9.830232721236387e+17 1.56707025137742 1.0000814153802369 nan nan nan
1850.0 13.910745496144147 0.016503662375304214 493.291150292157 2.7666347214407715e+17 2.106757011340012 1.0000942825122128 nan nan nan
1900.0 17.030922740152388 0.007870725828449214 821.7910605050346 7.3259732995194e+16 2.9758794003680933 1.0001022638927481 nan nan nan
1950.0 19.84389797468469 0.0037840992149963215 1336.7069495433157 1.9834888264772896e+16 4.282624141686233 1.0001070721306873 nan nan nan
2000.0 22.33183583779665 0.0018637287770328827 2107.248216229283 5697557709029574.0 6.163609999557353 1.000109987091982 nan nan nan
