T,burnup,swelling_b_percent,swelling_d_percent,swelling_ig_percent,Nb,Nd,Rb_nm,Rd_nm,p_b,p_b_eq,p_d,p_d_eq,p_b_over_eq,p_d_over_eq,matrix_gas_percent,bulk_gas_percent,dislocation_gas_percent,qgb_gas_percent,f_cap_step_final,cap_raw_step_final,capture_fraction_sum,capture_raw_sum,capture_bubbles_cumulative,max_f_cap_step,candidate,grid
900.0,1.1,0.2682398780160438,0.18820214742382943,0.4564420254398733,1.0296372021302192e+23,2.174405482370504e+19,1.8390075092574865,27.44090794777809,1217649332.4535966,1207172884.7351704,893073237.9446703,80901113.19293118,1.0086784982092474,11.0390723031819,16.522512186917126,31.178900229098762,21.055466681668793,31.24312090231533,1.624835993088312e-08,1.624835993088312e-08,0.000329973463228084,0.000329973463228084,5.913085726181968e+18,2.686555745180215e-06,best_balanced,GAS_PARTITION
1000.0,1.1,0.2705098688121092,0.23245348654550207,0.5029633553576113,1.0218058798904374e+23,2.1475054419766297e+19,1.8488799054107135,29.564535547701354,1202499116.012968,1200726988.0013356,392668568.96759397,75089967.0457568,1.0014758792209562,5.2293080476159695,16.461612957195108,31.026677677173083,21.40769539277272,31.1040139728591,2.529706734237354e-08,2.529706734237354e-08,0.00040550226100044854,0.00040550226100044854,8.034069094773164e+18,3.8095175868202576e-06,best_balanced,GAS_PARTITION
1100.0,1.1,0.27198096334987815,0.30194261765402153,0.5739235810038996,1.012432118198316e+23,2.1058753569868837e+19,1.8579242135374239,32.468910397013666,1195383513.3834314,1194881892.2883816,223704199.8817668,68373098.23012061,1.00041980809843,3.271816045674199,16.398980956535354,30.80482086631735,21.85462180378231,30.94157637336498,3.9151198540670694e-08,3.9151198540670694e-08,0.000524790285169753,0.000524790285169753,1.1317639000707695e+19,5.694324729646912e-06,best_balanced,GAS_PARTITION
1200.0,1.1,0.27342787375764094,0.3926821979050444,0.6661100716626853,1.0030459500420171e+23,2.052622434452169e+19,1.8670005637594902,35.744934933216236,1189279179.590754,1189073020.7010179,150788705.50295168,62106701.38713972,1.000173377821334,2.4278975075977085,16.338147163379254,30.584881509520233,22.298880858279105,30.778090468821414,5.704423541676399e-08,5.704423541676399e-08,0.0006835846813629389,0.0006835846813629389,1.559060538787198e+19,9.468057736644438e-06,best_balanced,GAS_PARTITION
1300.0,1.1,0.2751298004626561,0.5012694863355424,0.7763992867981985,9.94057749785175e+22,1.99051095410141e+19,1.8764880489566749,39.17473155642966,1183173087.1041584,1183061091.8275325,112659644.21181123,56669182.19470572,1.0000946656748324,1.988023116775036,16.271224794839455,30.394657062106983,22.704727429291538,30.62939071376203,7.851692581131659e-08,7.851692581131659e-08,0.0008696119115535074,0.0008696119115535074,2.0742886220022563e+19,6.737590367699517e-06,best_balanced,GAS_PARTITION
1400.0,1.1,0.2766343544589209,0.6639257071228425,0.9405600615817633,9.780272286704617e+22,1.9006751386011496e+19,1.890117715283787,43.68922362078778,1174598032.8409972,1174530021.0927253,83676032.30297412,50813445.88013465,1.0000579055001153,1.6467301292724765,15.99077526804277,30.17344739807841,23.25036997544862,30.585407358430214,1.107709956999619e-07,1.107709956999619e-07,0.0011552481515647122,0.0011552481515647122,2.8440674794995237e+19,2.0868499776365436e-06,best_balanced,GAS_PARTITION
1500.0,1.1,0.27584180365341093,1.1052267833897926,1.3810685870432036,8.77703544287091e+22,1.6752547639647932e+19,1.9576777618050105,54.004171771271196,1134039213.529954,1133996637.9109933,51933013.81238352,41107935.316600524,1.0000375447488443,1.2633330623980896,13.259843870762396,29.56079268630374,25.281429366189368,31.897934076744512,1.9520609518881133e-07,1.9520609518881133e-07,0.001994814755644679,0.001994814755644679,4.6253867169513595e+19,2.173795815568712e-06,best_balanced,GAS_PARTITION
1600.0,1.1,0.23482467482508154,2.294113341033939,2.528938015859021,4.749425917546071e+22,1.183891227326357e+19,2.276868772909945,77.34011608182482,975055015.3222278,975023254.0467128,32238468.662804093,28704378.949357532,1.0000325748902739,1.1231202291358289,5.192798505736762,24.138128615241392,32.960767295548926,37.708305583472914,4.96845368428699e-07,4.96845368428699e-07,0.004682163365637361,0.004682163365637361,6.325359148828768e+19,4.705771852101079e-06,best_balanced,GAS_PARTITION
1700.0,1.1,0.12226621676884411,5.18533524936607,5.307601466134914,1.29252418634643e+22,4.863168484641585e+18,2.8265698929512144,136.53887021652616,785442099.941136,785404247.5780084,19874276.78251154,16259106.263875468,1.0000481947522493,1.2223474316462442,1.0923018564269948,11.777375009023917,45.3260370447648,41.8042860897843,2.6553086016069114e-06,2.6553086016069114e-06,0.01391287620574872,0.01391287620574872,6.517276181845905e+19,1.2349075520977775e-05,best_balanced,GAS_PARTITION
1800.0,1.1,0.038280498775166635,10.07728426049183,10.115564759266997,2.634278752260509e+21,9.161524916984741e+17,3.2614376710111843,297.2321007578695,680741718.7289634,680681412.2900916,12449443.884635385,7468910.640336426,1.0000885971583517,1.6668352968907147,0.20920421369800893,3.4863686025542924,53.58264822686477,42.72177895688292,1.0291674296078658e-05,1.0291674296078658e-05,0.03944519790559801,0.03944519790559801,4.460408186348532e+19,4.536007507910526e-05,best_balanced,GAS_PARTITION
