T_K,Dg,D1_Xe,D2_Xe_scaled,D3_Xe,tau_boundary_unscaled_h,tau_boundary_unscaled_days,irradiation_time_1p1_FIMA_days,irradiation_time_3p2_FIMA_days
1400.0,1.720711724456542e-19,2.56984711400453e-21,2.9449198733515696e-106,1.2821582109204226e-19,5888.3299394230835,245.34708080929514,62.879478722290294,182.92211991938998
1600.0,7.33571673864993e-19,4.2934800659537927e-19,4.895151025154585e-105,1.2821582109204226e-19,1381.203599486108,57.55014997858784,62.879478722290294,182.92211991938998
1700.0,4.8167323632717555e-18,3.532824850314724e-18,3.946714695915007e-104,1.2821582109204226e-19,210.3525294760525,8.764688728168855,62.879478722290294,182.92211991938998
1800.0,3.042955372416583e-17,2.3000292344816836e-17,3.978758947397585e-103,1.2821582109204226e-19,33.296966679426816,1.387373611642784,62.879478722290294,182.92211991938998
2000.0,7.31342189768822e-16,5.557410539509728e-16,5.4060721867612494e-101,1.2821582109204226e-19,1.385414174920847,0.057725590621701954,62.879478722290294,182.92211991938998
2200.0,9.901183863882954e-15,7.52543768382339e-15,7.55565243133933e-99,1.2821582109204226e-19,0.1023323928080279,0.004263849700334496,62.879478722290294,182.92211991938998
