block,parameter,top_n,min,median,max,direction_vs_1
C4_microstructure_escape,f_n,25,2.3056054259788617e-08,7.68330547030029e-08,1.579182863044506e-07,near/mixed
C4_microstructure_escape,K_d,25,140008.4435162463,215045.4223643016,299966.170526192,near/mixed
C4_microstructure_escape,rho_d,25,55227461874769.67,62961729785797.3,75568215891784.61,near/mixed
C4_microstructure_escape,fission_rate,25,4.559912044152792e+19,5.349936628960666e+19,5.672791129256367e+19,near/mixed
C4_microstructure_escape,Dv_scale,25,1.2442840718899009,1.3998404360796792,1.5100585778624223,near/mixed
C4_microstructure_escape,Dg_scale,25,0.5649461824025946,0.6662257895606634,0.752685133969393,low
C4_microstructure_escape,D2_xe_scale,25,0.23606830823268363,4.098233303483211,4.983798893747023,high
C4_microstructure_escape,b_scale,25,0.20012053755104675,0.2508126133417524,0.3053291076027235,low
C4_microstructure_escape,gb_scale,25,1.897511142908669,2.589279547553835,3.3279335553869536,high
C4_microstructure_escape,gd_scale,25,0.7062219946266126,0.9955853474677169,1.2023846133610552,near/mixed
C4_microstructure_escape,coalescence_d_scale,25,0.527231817421467,0.6442292736067912,0.804664009085526,low
C4_microstructure_escape,capture_scale,25,0.826073550449618,1.5947685473498037,1.9968499255961087,high
